Latvian	Latvian	probability
ʧ	ʧ	1.0
ʦ	-	1.0
ʣ	ʒ	1.0
ʃ	-	1.0
ɲ_i_#>	m_#>	1.0
ɡ̊	̂_ɡ	1.0
ɛː	j_e	1.0
æː	eː	1.0
æ_d	eː	1.0
æ	-	1.0
z̥	z	1.0
z	z	1.0
v_i	ʋ	1.0
v	ʋ	1.0
uː	i_̂	1.0
u_s	̂_d	1.0
u	a	1.0
t_s_#>	#>	1.0
s_#>	#>	1.0
r̩_s	a_r	1.0
r_t	r̩ː	1.0
r	r	1.0
l̩	̂_l	1.0
j	t_a	1.0
iː	iː	1.0
i_r	r̩_̂	1.0
i_l	u	1.0
e	eː_ʦ	1.0
d̥_s	d	1.0
d	d	1.0
b̥	̂_b	1.0
b	b	1.0
au̯	uː	1.0
ai̯	eː_̌	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_d	<#_d	1.0
t	t	0.833
m	m	0.818
a_#>	a_#>	0.75
n	n	0.667
p	p	0.6
k	k	0.571
iɛ̯	-	0.571
ɡ	̌_ɡ	0.5
ɡ	ɡ	0.5
l	l	0.5
i	-	0.5
aː	a_̂	0.5
aː	-	0.5
a	-	0.5
#>	i_#>	0.5
#>	a_#>	0.5
uɔ̯	uː_̌	0.444
k	a	0.429
iɛ̯	eː	0.429
p	-	0.4
ɛ	e_̌	0.357
ɛ	e	0.357
uɔ̯	u	0.333
s	s	0.333
a	o_̂	0.333
<#	<#_ʋ	0.333
<#	<#_j	0.333
<#	<#_d	0.333
ɛ	a	0.286
l	uː_̂	0.286
n	-	0.267
a_#>	#>	0.25
uɔ̯	a	0.222
l	ʎ	0.214
s	k	0.208
m	-	0.182
t	-	0.167
s	o	0.167
i	i	0.167
i	eː	0.167
i	a	0.167
a	oː	0.167
s	oː_̂	0.125
s	x	0.083
s	a	0.083
n	ɲ	0.067
