Italian	Campidanese	probability
b	b	1.0
f	f	1.0
kː	k	1.0
lː	ɖː	1.0
m	m	1.0
s	s	1.0
tː	t	1.0
ŋ	ŋ	1.0
ʎː	ʣ	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
ˈɔ	ˈo	1.0
ˈɛ	ˈe	1.0
a	a	0.991
d	-	0.411
o	u	0.861
ˈe	ˈi	0.571
n	-	0.062
t	ð	0.392
w	w	0.852
i	i	0.813
j	r	0.553
p	β	0.133
r	r	0.823
ˈu	ˈu	0.773
ʧ	ʧ	0.4
ˈo	ˈu	0.364
l	l	0.945
o	o	0.05
v	b	0.685
ɡ	ɡ	0.455
ɡ	ɣ	0.545
e	e	0.296
k	ɣ	0.066
r	rː	0.056
ʧ	ʒ	0.6
ˈo	ˈo	0.636
i	e	0.187
j	-	0.447
k	-	0.147
k	k	0.787
p	p	0.867
v	-	0.267
ˈu	ˈo	0.227
e	i	0.588
n	n	0.938
t	t	0.608
w	-	0.148
d	d	0.589
r	-	0.059
ˈe	ˈe	0.429
