Campidanese	Campidanese	probability
ˈɛ_n	ˈɛ_n	1.0
ˈu_n	ˈou̯_n	1.0
ˈo_u	ˈɔə̯_v	1.0
ˈo_n	ˈõũ̯	1.0
ˈa_n	ˈʌ̃	1.0
ˈa_i_#>	ˈeə̯_#>	1.0
ʧ	θ	1.0
ʃ	s	1.0
ɾ_ˈo	ˈɔə̯_r	1.0
ɡ	ɡ	1.0
ɛ_ɾ	r	1.0
ɖː	l	1.0
ɔ_z_ɔ̆_#>	#>	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z_ˈa	j_ˈeː	1.0
w	v	1.0
ŭ_#>	#>	1.0
ŭ	r_i	1.0
u_z_ŭ_#>	#>	1.0
u_z	o	1.0
u_#>	#>	1.0
t_ˈu	w	1.0
t_u_#>	t_#>	1.0
s	s	1.0
p	p	1.0
o	u	1.0
nː	-	1.0
n_ʤ	ɲ	1.0
n_i	j̃	1.0
n_a	n_ɐ	1.0
m	m	1.0
l_ˈi	l_ˈɛ	1.0
k_ˈu	k_ˈu	1.0
k_ɾ	ʧ	1.0
ĭ	-	1.0
i_n_i_#>	#>	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
d	d	1.0
a_n	ɐ_n	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_k	1.0
k	k	0.943
t	t	0.926
r	r	0.923
l	l	0.882
a	ɐ	0.859
ʒ	z	0.8
z	-	0.8
n	n	0.706
ɾ	r	0.696
ɛ	ɐ	0.667
ɭː	l	0.625
ʤ	ð	0.583
ð	d	0.583
β	v	0.571
j	-	0.571
ɣ	ɡ	0.562
b	v	0.545
ˈi_ɾ	ˈi	0.5
ˈi_ɾ	ˈeː	0.5
ʦ	θ	0.5
ʦ	t	0.5
i	ɐ	0.5
<#_ˈa	<#_ˈʌ̃	0.5
<#_ˈa	<#_ˈeə̯	0.5
b	b	0.455
ˈu	ˈo	0.452
β	-	0.429
j	j	0.429
u	ɐ	0.421
ð	t	0.417
ˈe	ˈɛə̯	0.375
ɭː	-	0.375
#>	r_#>	0.375
#>	n_#>	0.375
ɛ	-	0.333
ˈa	ˈeə̯	0.325
ˈi	ˈi	0.312
ˈe	ˈɛ	0.312
n	ˈõũ̯	0.294
ˈi	ˈɛ	0.281
ˈɔ	ˈou̯	0.276
ˈa	ˈʌ̃	0.275
u	u	0.263
ˈɛ	ˈɛə̯	0.259
ˈu	ˈou̯	0.258
ˈa	ˈa	0.25
ʤ	-	0.25
ɣ	ʧ	0.25
#>	l_#>	0.25
ˈo	ˈu	0.231
ˈo	ˈo	0.231
ˈo	-	0.231
u	-	0.211
ˈɔ	ˈɔə̯	0.207
ˈɔ	ˈɔ	0.207
ʒ	-	0.2
z	j_ˈeə̯_t	0.2
ˈe	-	0.188
ɣ	-	0.188
ˈɛ	ˈɛ	0.185
i	i	0.176
i	-	0.176
ʤ	ʤ	0.167
ˈi	ˈẽ	0.156
ˈo	ˈɔə̯	0.154
ˈo	ˈɔ	0.154
ˈa	-	0.15
ˈɛ	ˈi	0.148
ˈɛ	ˈẽ	0.148
ˈɛ	ˈeː	0.148
i	ˈi	0.147
ɾ	-	0.143
ˈɔ	ˈo	0.138
ˈi	-	0.125
ˈe	ˈeː	0.125
l	-	0.118
u	ˈɔə̯	0.105
ˈɔ	u	0.103
ˈu	ˈɔ	0.097
ˈu	ˈu	0.097
ˈu	-	0.097
ˈi	ˈeː	0.094
r	e	0.077
ˈɛ	-	0.074
t	θ	0.074
ɾ	j	0.071
ˈɔ	-	0.069
a	a	0.062
k	θ	0.057
ɾ	ˈi	0.054
