Palatine German	Palatine German	probability
ˈɛ_ɐ	ˈɛː	1.0
ˈɛ_r	ˈɛ_d	1.0
ˈɔ_ɐ	ˈɔː	1.0
ˈɑːɪ̯	ˈeɪ̯	1.0
ˈɑː_ɐ	ˈɛ_ɐ	1.0
ˈɑː_d̥	ˈa_d̥	1.0
ˈuː	ˈoː	1.0
ˈõː	ˈoː_n	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈøː_n	1.0
ˈiː_ɐ	ˈiː_ɐ	1.0
ˈi	ˈʏ	1.0
ˈaɪ̯_#>	ˈeɪ̯_#>	1.0
ˈau̯̯	ˈo	1.0
ʣ̥	ʦ	1.0
ʃ_d̥	ɕ	1.0
ə	ə	1.0
ɑ	ˈo_n	1.0
ŋ	ŋ	1.0
x_d̥	x	1.0
r_ˈɛː	ʀ	1.0
r_ə	d_ə	1.0
pʰ	p	1.0
n_s	n_z̥	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f_#>	ə_f_#>	1.0
eː	e_ŋ	1.0
<#_ˈu	<#_ˈʊ	1.0
f	f	0.912
r	ʀ	0.871
ɐ	ɐ	0.838
ˈɑ	ˈa	0.793
ˈiː	ˈeː	0.786
β	ʋ	0.781
n	n	0.755
ˈau̯	ˈuː	0.727
#>	ɡ̊_#>	0.667
ˈɛ	ˈɛ	0.65
ˈɔ	ˈɔ	0.615
b̥	b	0.613
ˈu	ˈo	0.6
ɪ	ɪ	0.6
ʃ	ʃ	0.574
l	l	0.544
ˈɑː	ˈaː	0.533
ˈeː	ˈiː	0.5
x	x	0.5
x	-	0.5
ˈɪ	ˈe	0.484
l	ɫ	0.456
ˈɛː	ˈeː	0.455
ɡ̊	k	0.448
s	z	0.447
ɪ	ə	0.4
d̥	d	0.4
ˈoː	ˈuː	0.389
ɡ̊	j	0.379
ˈɛː	ˈɛː	0.364
s	s	0.362
ʃ	ɕ	0.34
ˈɑː	ˈɔʊ̯	0.333
ˈaɪ̯	ˈiː	0.333
#>	ə_#>	0.333
d̥	d̥	0.3
ˈoː	ˈoː	0.278
ˈau̯	ˈɔʊ̯	0.273
ˈɪ	ˈɪ	0.258
n	ŋ	0.245
ˈɔ	-	0.231
b̥	v̥	0.226
ˈoː	-	0.222
ˈaɪ̯	ˈyː	0.222
ˈaɪ̯	-	0.222
β	v	0.219
ˈiː	ˈøː	0.214
ˈɑ	ˈaː	0.207
ˈɪ	ˈœ	0.194
s	z̥	0.191
ˈɛː	ˈeɪ̯	0.182
ˈeː	ˈyː	0.167
ˈeː	ˈeː	0.167
ˈeː	ˈeɪ̯	0.167
ˈaɪ̯	ˈɪ	0.167
b̥	p	0.161
ˈɔ	ˈo	0.154
ˈɛ	-	0.15
d̥	t	0.143
ˈɑː	ˈoː	0.133
ˈu	ˈɔ	0.133
ˈu	ˈoː	0.133
ˈu	-	0.133
r	d	0.129
d̥	ɡ̊	0.114
ˈoː	ˈɔ	0.111
ɐ	-	0.108
ɡ̊	ɣ̊	0.103
ˈɛ	ˈɛː	0.1
ˈɛ	ˈe	0.1
f	p	0.088
ɡ̊	-	0.069
ˈɪ	ˈʏ	0.065
ˈaɪ̯	ˈøʏ̯	0.056
ɐ	ˈɛ_ɐ	0.054
