Scots	Luxembourgish	probability
b	b	1.0
d	t	0.539
d	d	0.41
e	-	0.567
e	ɐ	0.277
e	ə	0.156
f	f	1.0
h	h	1.0
i	ə	1.0
j	ɡ	0.32
j	ˈɛː	0.32
j	j	0.252
j	ˈɑɪ̯	0.109
k	ɕ	0.292
k	χ	0.19
k	k	0.154
k	k_ə	0.132
k	-	0.116
k	ə_k	0.065
k	kʰ	0.052
kʰ	kʰ	0.88
kʰ	f	0.12
l	l	1.0
m	m	0.981
n	n	0.896
n	ŋ	0.104
p	f	0.512
p	f_ə	0.297
p	p	0.191
pʰ	f	1.0
r	ɐ	0.473
r	ʀ	0.429
r	-	0.098
s	z	0.378
s	ʃ	0.373
s	s	0.249
t	t	0.405
t	s	0.345
t	s_ə	0.129
t	ʦ	0.094
tʰ	ʦ	0.949
tʰ	b	0.051
v	v	0.59
v	f	0.41
w	v	0.61
w	w	0.252
w	ʀ	0.055
x	ɕ	0.857
x	χ	0.135
z	s	0.429
z	ʀ	0.427
z	z	0.144
ð	d	0.739
ð	n	0.261
ŋ	ŋ	0.5
ŋ	ŋ_ə	0.321
ŋ	e	0.18
ə	ɐ	0.826
ə	ə	0.09
ə	-	0.062
əi̯	ə	0.834
əi̯	-	0.166
ɡ	ɡ	0.793
ɡ	k	0.178
ɪ	ɐ	0.825
ɪ	-	0.175
ɫ	l	0.864
ɫ	l_ə	0.136
ɹ	ˈæɪ̯	1.0
ʃ	ʃ	1.0
ʍ	v	1.0
ʧ	kʰ	0.804
ʧ	ɕ	0.196
ˈa	ˈiə̯	1.0
ˈaːɪ̯	ˈæːʊ̯	0.672
ˈaːɪ̯	ˈə	0.328
ˈe	ˈeː	0.475
ˈe	ˈaː	0.134
ˈe	ˈu	0.088
ˈe	ˈoː	0.083
ˈe	ˈuə̯	0.078
ˈei̯	ˈaː	0.35
ˈei̯	ˈiː	0.148
ˈei̯	ˈəɪ̯	0.131
ˈei̯	ˈəʊ̯	0.127
ˈei̯	ə	0.093
ˈei̯	ˈiə̯	0.063
ˈei̯	ˈɑɪ̯	0.058
ˈeː	ˈoː_ə	0.458
ˈeː	ˈaː	0.347
ˈeː	ˈu	0.195
ˈi	ˈɑɪ̯	0.403
ˈi	ˈaː	0.203
ˈi	ˈɑ	0.203
ˈi	ˈiː	0.122
ˈiː	ˈəɪ̯	0.268
ˈiː	ˈə	0.15
ˈiː	ə	0.138
ˈiː	ˈaː	0.096
ˈiː	ˈoː	0.09
ˈiː	ˈe	0.077
ˈø	ˈu	0.302
ˈø	ˈʊ	0.265
ˈø	ˈəʊ̯	0.174
ˈø	ˈæ	0.152
ˈø	ˈɑ	0.106
ˈɑ	ˈɑ	0.591
ˈɑ	ˈaː	0.319
ˈɑ	ˈɛ	0.091
ˈɑː	ˈɑ	0.452
ˈɑː	ˈɑ_l	0.187
ˈɑː	ˈaː	0.117
ˈɑː	ˈəɪ̯	0.104
ˈɑː	ˈeː	0.089
ˈɑː	ˈə	0.051
ˈɔ	ˈaː	0.337
ˈɔ	ˈuː	0.311
ˈɔ	ˈo	0.241
ˈəi̯	ˈæːɪ̯	0.381
ˈəi̯	ˈɑɪ̯	0.216
ˈəi̯	ˈɑ	0.124
ˈəi̯	ˈeː	0.092
ˈəi̯	ˈe	0.071
ˈəi̯	ˈæɪ̯	0.07
ˈɛ	ˈɛː	0.158
ˈɛ	ˈoː	0.152
ˈɛ	ˈiə̯	0.122
ˈɛ	ˈe	0.115
ˈɛ	ˈəɪ̯	0.096
ˈɛ	ˈɛ	0.082
ˈɛ	ˈæ	0.078
ˈɛ	ˈeː	0.06
ˈɪ	ˈɑ	0.209
ˈɪ	ˈə	0.19
ˈɪ	ˈe	0.113
ˈɪ	-	0.088
ˈɪ	ˈi	0.08
ˈɪ	ˈiː	0.074
ˈʉ	ˈæːʊ̯	0.403
ˈʉ	ˈo	0.154
ˈʉ	ˈu	0.119
ˈʉ	ˈʊ	0.109
ˈʉ	ˈɑɪ̯	0.072
ˈʉ	-	0.066
ˈʌ	ˈo	0.518
ˈʌ	ˈu	0.188
ˈʌ	ˈiː	0.155
ˈʌ	ˈɑɪ̯	0.139
ˈʌʉ̯	ˈo	0.69
ˈʌʉ̯	ˈi	0.176
ˈʌʉ̯	ˈəɪ̯	0.133
θ	d	0.747
θ	n_t	0.153
θ	t	0.1
