East Low German	Eastphalian	probability
#>	#>	0.852
#>	ə_#>	0.148
<#	<#	1.0
b	b	0.952
b	-	0.052
d	d	0.928
d	-	0.067
f	f	0.982
h	h	0.974
j	j	1.0
k	k	1.0
k_#>	#>	0.495
kʰ	k	1.0
l	l	0.975
m	m	0.848
m	v_n	0.051
n	n	0.957
p	p	0.856
p	b	0.143
r	r	1.0
s	s	0.698
s	z	0.242
s	ʃ	0.057
t	t	0.738
t	t_ə	0.141
t	d	0.083
tʰ	t	1.0
v	v	1.0
w	w	0.495
x	x	0.891
x	ɣ	0.099
z	z	1.0
æ	ɐ	0.938
ç	ç	0.531
ç	ɣ	0.195
ç	-	0.112
ç	k	0.084
ç	j	0.064
ŋ	ŋ	0.87
ŋ	j	0.095
ɡ	ɣ	0.775
ɡ	ɡ	0.132
ɡ	j	0.072
ɣ	ɣ	0.495
ɪ	ɪ	1.0
ɾ	d	0.391
ɾ	-	0.307
ɾ	ˈeː	0.125
ɾ	t	0.115
ʃ	ʃ	0.557
ʃ	s	0.441
ˈa	ˈa	0.917
ˈae̯	ˈɛɪ̯	0.935
ˈae̯	ˈɛ	0.065
ˈaɪ̯	ˈɛɪ̯	0.495
ˈaʊ̯	ˈeo̯	0.462
ˈaʊ̯	ˈaʊ̯	0.375
ˈaʊ̯	ˈʊ	0.064
ˈaʊ̯	ˈoː	0.056
ˈaː	ˈa_ɐ	0.519
ˈaː	ˈaː	0.451
ˈeː	ˈeː	0.245
ˈiː	ˈiː	0.722
ˈiː	ˈeː	0.117
ˈiː	ˈɛɪ̯	0.102
ˈiː	ˈɛː	0.056
ˈoː	ˈɒː	0.322
ˈoː	ˈaː	0.199
ˈoː	ˈoː	0.183
ˈoː	ˈɛː	0.113
ˈuː	ˈuː	0.634
ˈuː	ˈoː	0.131
ˈuː	ˈeo̯	0.087
ˈuː	ˈʊ	0.07
ˈuː	ˈɔ	0.068
ˈyː	ˈyː	0.596
ˈyː	ˈɔʏ̯	0.253
ˈyː	ˈʏ	0.102
ˈøː	ˈøː	0.495
ˈœ	ˈœ	0.431
ˈœ	ˈɔ	0.106
ˈœː	ˈoː	0.517
ˈœː	ˈœ	0.297
ˈœː	ˈeː	0.113
ˈɒː	ˈɒː	0.754
ˈɒː	ˈoː	0.096
ˈɒː	ˈuː	0.075
ˈɒː	ˈɛː	0.062
ˈɔ	ˈɔ	1.0
ˈɔʏ̯	ˈɔʏ̯	0.558
ˈɔʏ̯	ˈøː	0.437
ˈɛ	ˈɛ	0.784
ˈɛ	-	0.084
ˈɛ	ˈœ	0.05
ˈɛɪ̯	ˈɛɪ̯	1.0
ˈɛː	ˈɛː	0.598
ˈɛː	ˈeː	0.394
ˈɪ	ˈɪ	0.943
ˈɪ	ˈɛ	0.057
ˈʊ	ˈʊ	0.831
ˈʊ	ˈʏ	0.074
ˈʊ	ˈuː	0.073
ˈʏ	ˈʏ	0.837
ˈʏ	w	0.137
