Westphalian	English	probability
aɪ̯	ˈiː	1.0
b	b	0.925
d	d	0.707
d	θ	0.258
f	f	1.0
h	h	1.0
j	j	1.0
k	k	0.469
k	ʧ	0.283
k	kʰ	0.159
k	-	0.053
l	l	0.597
l	ɫ	0.342
l	-	0.06
m	m	0.923
m	-	0.064
n	n	0.931
n	-	0.057
p	p	0.917
r	ɹ	0.994
s	s	0.949
t	t	0.669
t	tʰ	0.153
t	d	0.116
t	θ	0.05
v	w	0.694
v	v	0.268
x	ɡ	0.767
x	j	0.161
z	z	0.735
z	s	0.265
ç	t	0.793
ç	ʤ	0.143
ç	-	0.064
ŋ	ŋ	0.832
ŋ	-	0.168
ɐ	ə	0.725
ɐ	-	0.106
ɐ	d_ə	0.056
ɐ	ɪ	0.051
ə	ə	0.925
ə	ˈuː	0.075
ɡ	-	0.883
ɡ	ʤ	0.117
ɣ	-	1.0
ɪ	ɪ	1.0
ʃ	ʃ	0.632
ʃ	s	0.368
ʋ	w	0.559
ʋ	-	0.413
ˈa	ˈæ	0.555
ˈa	ˈɑː	0.146
ˈa	ˈeɪ̯	0.085
ˈa	ˈɐ	0.064
ˈa	ˈɒ	0.051
ˈaɪ̯	ˈiː	0.505
ˈaɪ̯	ˈaɪ̯	0.201
ˈaɪ̯	ˈe	0.149
ˈaɪ̯	ˈuː	0.059
ˈaɪ̯	ˈəʊ̯	0.059
ˈaʊ̯	ˈiː	0.403
ˈaʊ̯	ˈe	0.279
ˈaʊ̯	ˈaɪ̯	0.17
ˈaʊ̯	ˈeɪ̯	0.082
ˈaː	ˈɔː	0.397
ˈaː	ˈɑː	0.395
ˈaː	ˈeɪ̯	0.208
ˈeː	ˈəʊ̯	0.557
ˈeː	w	0.13
ˈeː	ˈuː	0.079
ˈeː	ˈɔː	0.079
ˈeː	ˈiː	0.065
ˈiɛ̯	ˈɛ	0.327
ˈiɛ̯	ˈiː	0.196
ˈiɛ̯	j	0.192
ˈiɛ̯	ˈe	0.173
ˈiɛ̯	ɜː	0.111
ˈiː	ˈaɪ̯	0.557
ˈiː	ˈɪ	0.221
ˈiː	ˈiː	0.139
ˈiː	j	0.084
ˈoː	ˈuː	0.446
ˈoː	ˈɐ	0.324
ˈoː	ˈəʊ̯	0.143
ˈoː	ˈʊ	0.087
ˈuə̯	ˈɐ	0.603
ˈuə̯	ˈʊ	0.302
ˈuə̯	ˈaʊ̯	0.095
ˈuː	ˈaʊ̯	0.52
ˈuː	ˈaɪ̯	0.196
ˈuː	ˈɐ	0.158
ˈuː	-	0.127
ˈuːə̯	ˈɜː	0.345
ˈuːə̯	ˈɐ	0.257
ˈuːə̯	ˈɔː	0.243
ˈuːə̯	ˈe	0.096
ˈuːə̯	ˈɒ	0.059
ˈyː	ˈaɪ̯	0.588
ˈyː	ˈɪ	0.412
ˈyːœ̯	ˈəʊ̯	1.0
ˈø	ˈe	0.714
ˈø	ˈɛ	0.286
ˈøː	ˈiː	0.984
ˈœː	ˈɔː	0.515
ˈœː	ˈɪ	0.485
ˈɒː	ˈɛ	1.0
ˈɔ	ˈɒ	0.466
ˈɔ	ˈəʊ̯	0.275
ˈɔ	ˈɔː	0.161
ˈɔ	ˈe	0.098
ˈɔː	ˈiː	0.255
ˈɔː	ˈeɪ̯	0.185
ˈɔː	ˈuː	0.164
ˈɔː	ˈɪ	0.105
ˈɔː	ˈɐ	0.101
ˈɔː	ˈəʊ̯	0.101
ˈɔː	ˈɜː	0.058
ˈɛ	ˈe	0.37
ˈɛ	ˈɪ	0.244
ˈɛ	ˈaɪ̯	0.121
ˈɛ	ˈeɪ̯	0.091
ˈɛ	ˈɐ	0.074
ˈɛ	ɪ	0.062
ˈɛː	ˈɑː	0.566
ˈɛː	ˈɜː	0.369
ˈɛː	ˈɛ	0.065
ˈɪ	ˈɪ	0.587
ˈɪ	ˈaɪ̯	0.298
ˈɪ	ˈe	0.057
ˈɪə̯	ˈe	0.336
ˈɪə̯	ˈəʊ̯	0.336
ˈɪə̯	ˈaɪ̯	0.204
ˈɪə̯	ˈɪ	0.124
ˈɪɛ̯	ˈe	0.311
ˈɪɛ̯	ˈeɪ̯	0.19
ˈɪɛ̯	ˈæ	0.102
ˈɪɛ̯	ˈəʊ̯	0.096
ˈɪɛ̯	ˈɪ	0.096
ˈɪɛ̯	ˈiː	0.088
ˈɪɛ̯	ˈɑː	0.068
ˈʊ	ˈɐ	0.832
ˈʊ	ˈaʊ̯	0.089
ˈʊ	ˈʊ	0.079
ˈʏ	ˈɪ	0.826
ˈʏ	ˈəʊ̯	0.136
