Swiss German	Alsatian	probability
b̥	b̥	0.857
b̥	v	0.125
d̥	d̥	0.936
d̥	t	0.064
f	f	1.0
fː	f	1.0
h	h	0.954
i	i	0.868
i	-	0.132
j	j	1.0
k	k	1.0
kː	k	1.0
l	l	1.0
m	m	1.0
mː	m	1.0
n	n	1.0
nː	n	1.0
p	p͡f	0.627
p	p	0.373
p͡f	p͡f	1.0
r	ʁ	1.0
rː	ʁ	1.0
s	s	1.0
sː	s	1.0
t	t	0.856
t	d̥	0.126
tː	t	1.0
æ	eː	1.0
ŋ	ŋ	0.809
ŋ	n	0.191
ə	ə	0.999
ɡ̊	ɡ̊	0.424
ɡ̊	j	0.241
ɡ̊	ʃ	0.192
ɡ̊	-	0.08
ɡ̊ː	k	0.9
ɡ̊ː	j	0.1
ʃ	ʃ	1.0
ʋ	ʋ	0.906
ʋ	w	0.094
ʦ	ʦ	1.0
ˈau̯	ˈʊː	0.707
ˈau̯	ˈɔi̯	0.293
ˈe	ˈɒ	0.438
ˈe	ˈeː	0.31
ˈe	ˈe	0.252
ˈei̯	ˈəi̯	0.889
ˈei̯	ˈei̯	0.111
ˈeː	ˈeː	0.831
ˈeː	ˈæː	0.169
ˈi	ˈi	0.796
ˈi	ˈiː	0.119
ˈi	ˈeː	0.057
ˈiə̯	ˈiː	0.792
ˈiə̯	ˈi	0.208
ˈiː	ˈiː	0.819
ˈiː	ˈi	0.181
ˈo	ˈo	0.664
ˈo	ˈu	0.151
ˈo	ˈoː	0.102
ˈo	ˈø	0.083
ˈou̯	ˈœ	0.418
ˈou̯	ˈʊː	0.323
ˈou̯	ˈo	0.259
ˈoː	ˈoː	0.827
ˈoː	ˈo	0.135
ˈu	ˈu	0.981
ˈuə̯	ˈʊː	0.768
ˈuə̯	ˈøː	0.232
ˈuː	ˈyː	0.86
ˈuː	ˈøi̯	0.14
ˈy	ˈi	0.755
ˈy	ˈu	0.089
ˈy	ˈiː	0.085
ˈy	ˈe	0.071
ˈyə̯	ˈiː	0.706
ˈyə̯	ˈʊː	0.294
ˈyː	ˈiː	0.562
ˈyː	ˈei̯	0.168
ˈyː	ˈi	0.154
ˈyː	ˈaː	0.117
ˈæ	ˈe	0.279
ˈæ	ˈæ	0.256
ˈæ	ˈɒ	0.157
ˈæ	ˈæː	0.14
ˈæ	ˈɛ	0.126
ˈæi̯	ˈəi̯	1.0
ˈæː	ˈæː	0.59
ˈæː	ˈeː	0.205
ˈæː	ˈæ	0.205
ˈø	ˈe	0.822
ˈø	ˈɒ	0.178
ˈøi̯	ˈu	0.463
ˈøi̯	ˈei̯	0.188
ˈøi̯	ˈəi̯	0.186
ˈøi̯	ˈai̯	0.163
ˈøː	ˈeː	0.787
ˈøː	ˈi	0.213
ˈɒ	ˈɒ	0.793
ˈɒ	ˈɒː	0.181
ˈɒː	ˈoː	0.348
ˈɒː	ˈɒ	0.316
ˈɒː	ˈɒː	0.281
ˈɒː	ˈeː	0.054
ˈɛi̯	ˈəi̯	1.0
χ	kʰ	0.404
χ	x	0.212
χ	ʃ	0.186
χ	ɡ̊	0.085
χ	i_ʃ	0.066
