Nynorsk Norwegian	Old Norse	probability
b	b	1.0
d	d	0.682
d	ð	0.268
e	i	0.351
e	ɑ	0.286
e	-	0.152
e	a	0.118
e	u	0.079
f	f	0.971
h	h	0.965
j	ɟ	0.387
j	j	0.354
j	ç	0.084
j	l_j	0.064
j	ʝː	0.064
k	k	1.0
kʰ	kʰ	0.693
kʰ	x	0.227
kʰ	cʰ	0.08
l	l	0.882
l	l̥	0.059
l	lː	0.058
lː	lː	0.532
lː	l	0.402
lː	rː	0.066
m	m	0.813
m	mː	0.149
mː	m	1.0
n	n	0.8
n	nː	0.121
n	-	0.069
nː	nː	0.573
nː	n	0.398
p	p	1.0
s	s	0.917
s	sː	0.054
sː	sː	1.0
t	t	1.0
tʰ	θ	0.614
tʰ	tʰ	0.361
tː	tː	1.0
v	v	1.0
ŋ	ŋ	1.0
ŋː	ŋ	1.0
ɑ	ɑ	0.897
ɑ	a	0.103
ɕ	cʰ	0.619
ɕ	θ	0.147
ɕ	c	0.093
ɕ	t	0.056
ɕː	cː	0.5
ɕː	t	0.5
ə	i	0.407
ə	ˈyː	0.361
ə	-	0.196
ɛ	i	1.0
ɡ	ɡ	0.488
ɡ	ɣ	0.364
ɡ	k	0.089
ɡ	-	0.059
ɡː	ɡː	0.784
ɡː	ɟː	0.216
ɪ	i	1.0
ɲ	ŋ	1.0
ɾ	r	0.867
ɾ	rː	0.067
ʃ	c	0.628
ʃ	s	0.229
ʃ	m	0.143
ʉ	u	1.0
ʋ	v	0.912
ʋ	w	0.066
ʰkː	kː	1.0
ʰpː	pː	1.0
ʰtː	tː	1.0
ˈeː	ˈe	0.32
ˈeː	ˈeː	0.319
ˈeː	ˈi	0.213
ˈeː	ˈɛ	0.051
ˈiː	ˈiː	0.694
ˈiː	ˈoː	0.11
ˈiː	ˈi	0.079
ˈiː	ˈeː	0.065
ˈiː	-	0.052
ˈoː	ˈɑː	0.901
ˈuː	ˈoː	0.638
ˈuː	ˈɔ	0.211
ˈuː	ˈɔː	0.067
ˈyː	ˈyː	0.549
ˈyː	ˈoː	0.339
ˈyː	ˈuː	0.07
ˈæ	j	0.816
ˈæ	ˈɛ	0.184
ˈæɪ̯	ˈɛi̯	0.81
ˈæɪ̯	ˈe	0.19
ˈæʉ̯	ˈɑu̯	0.833
ˈæʉ̯	ˈɑː	0.167
ˈæː	ˈɛː	1.0
ˈæːɪ̯	ˈɛi̯	1.0
ˈøː	ˈøː	0.671
ˈøː	ˈɒu̯	0.118
ˈøː	ˈɔ	0.087
ˈøː	rː	0.056
ˈœ	ˈɔ	0.922
ˈœ	j	0.078
ˈœʏ̯	ˈøy̯	1.0
ˈɑ	ˈɑ	0.76
ˈɑ	ˈa	0.119
ˈɑ	ˈɔ	0.101
ˈɑː	ˈɑ	0.717
ˈɑː	ˈe	0.163
ˈɔ	ˈo	0.618
ˈɔ	ˈy	0.176
ˈɔ	ˈɑː	0.104
ˈɔ	ˈoː	0.062
ˈɛ	ˈɛ	0.517
ˈɛ	ˈe	0.22
ˈɛ	ˈɑ	0.116
ˈɛ	ˈi	0.089
ˈɛː	ˈe	1.0
ˈɪ	ˈi	0.882
ˈɪ	ˈe	0.084
ˈʉ	ˈu	0.932
ˈʉ	ˈy	0.05
ˈʉː	ˈuː	0.691
ˈʉː	ˈu	0.113
ˈʉː	ˈyː	0.103
ˈʉː	j	0.093
ˈʊ	ˈo	0.472
ˈʊ	ˈy	0.309
ˈʊ	ˈɑ	0.219
ˈʏ	ˈy	0.518
ˈʏ	ˈi	0.171
ˈʏ	ˈu	0.171
ˈʏ	ˈyː	0.085
