Campidanese	Occitan	probability
<#_a	<#_a	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_i	<#_e	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʧ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈi	<#_ˈe	1.0
a_l	a_l	1.0
a_n	a_n	1.0
a_s	a_s	1.0
a_ð	a_ð	1.0
ă	-	1.0
d	t	1.0
i_r	ˈi	1.0
k	k	1.0
l	l	1.0
lː	ʎ	1.0
m	m	1.0
m_b	m_b	1.0
n_t_i	n_#>	1.0
n_t_u_#>	n_#>	1.0
n_ʤ	ɲ	1.0
nː	n	1.0
o_z_ŏ	s	1.0
p	-	1.0
r_i_#>	e_#>	1.0
r_k	r_k	1.0
r_ˈa_n	ɾ_ˈa	1.0
r_ˈe	ɾ_ˈe	1.0
r_ˈi	ɾ_ˈe	1.0
rː	r	1.0
s_k	s_k	1.0
s_p	s_p	1.0
t_ˈa	t_ˈa	1.0
ŭ	-	1.0
v	w	1.0
w	-	1.0
z_ĕ	s	1.0
ð	j_ɾ	1.0
ð_a	ð_ɔ	1.0
ð_u_#>	t_#>	1.0
ŋ	ŋ	1.0
ŋ_k	ŋ_k	1.0
ŋ_ɡ	ŋ_k	1.0
ɖː	l	1.0
ɡ_w	ɡ	1.0
ʃː_i	j_s	1.0
ʤ	ʤ	1.0
ʦ	ʦ	1.0
ʧ_i	i	1.0
ˈa_n	ˈa_n	1.0
ˈa_r	ˈa	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_n	ˈe	1.0
ˈi_k	ˈe_k	1.0
ˈi_lː	ˈi_l	1.0
ˈi_r	ˈi	1.0
ˈi_ɖː	ˈi_l	1.0
ˈo_l	ˈɔ	1.0
ˈo_r	ˈɔ_r	1.0
ˈo_ɣ	ɥ_ˈɔ	1.0
ˈu_n	ˈy_n	1.0
<#_ˈo	<#_ɥ	0.571
a_#>	#>	0.071
i	-	0.571
i_#>	e_#>	0.1
r	l	0.071
#>	w_#>	0.692
a	-	0.182
a	<#_e	0.182
e	e	0.692
e_r	d_ɾ	0.2
u_#>	e_#>	0.122
ɣ	k	0.2
ɣ	ʤ_e	0.2
ɣ	w	0.2
<#	<#_a	0.273
<#_b	<#_v	0.543
e_#>	e_#>	0.333
i	d_ɾ	0.143
t	w_t	0.083
ˈe	j_ˈɛ	0.093
ˈe	ˈe	0.233
ˈi_n	ˈi_n	0.333
β	w	0.333
<#	<#_k	0.364
<#	<#_s	0.364
<#_b	<#_ʤ	0.114
n	-	0.474
o	u	0.714
s	l	0.154
z	s_#>	0.714
ɣ	ɣ	0.4
ʒ	ʦ	0.714
ˈi	ˈe	0.414
j	l	0.25
j	ˈɛ	0.25
j	-	0.5
r	ɾ	0.405
r_ˈa	ɾ_ˈa	0.375
r_ˈa	ˈa	0.625
t	t	0.75
ˈo	u	0.065
ˈo_n	ˈu_n	0.5
ˈo_n	ˈu	0.5
<#_b	<#_ɡ	0.086
a	a	0.636
i	e	0.286
n	n	0.526
o	β	0.286
r	r	0.286
s	s	0.846
z	-	0.286
ʒ	z	0.286
ˈu	ˈy	0.346
<#_b	<#_b	0.257
e_#>	#>	0.667
t	ʧ	0.167
u	u	0.267
u	k_#>	0.267
u	-	0.467
ˈi_n	ˈi	0.667
ˈo	ˈu	0.387
ˈu	ˈi	0.077
ˈu	ˈu	0.577
β	β	0.667
#>	ɔ_#>	0.308
e	-	0.308
e_r	ɾ	0.8
r	-	0.238
u_#>	#>	0.878
ˈe	ˈɛ	0.628
ˈi	ˈɛ	0.138
ˈi	ˈi	0.448
<#_ˈo	<#_ˈɔ	0.429
a_#>	ɔ_#>	0.929
i_#>	#>	0.9
ˈa	ˈa	0.9
ˈo	ɥ_ˈɛ	0.129
ˈo	ˈɔ	0.419
