Swiss German	Danish	probability
fː	b̥	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
p͡f	pʰ	1.0
sː	ð̞ˠ	1.0
tː	-	1.0
ɡ̊ː	ɡ̊	1.0
ˈiə̯	ˈyˀ	1.0
ˈoː	ˈœˀ	1.0
ˈuə̯	ˈoˀ	1.0
ˈøː	ˈøː	1.0
ŋ	ŋ	0.071
ə	ˈeˀ	0.071
ɡ̊	w	0.211
ɡ̊	ɡ̊	0.41
ˈi	ˈe	0.651
ˈuː	ˈuˀ	0.941
ˈy	ˈœ	0.741
ˈæ	ˈɛ	0.561
ˈɒ	ˈɑ	0.1
ˈɒ	ˈɛ	0.121
ˈɒː	ˈa	0.421
f	b̥	0.12
i	ə	0.782
t	ð̞ˠ	0.382
ŋ	nˀ	0.272
ʋ	ˈo	0.062
ˈɒ	ˈʌ	0.072
r	ɐˀ	0.13
t	t	0.273
ʦ	ʦʰ	0.583
ˈi	ˈi	0.213
ˈiː	ˈiˀ	0.603
χ	-	0.463
d̥	-	0.664
ˈau̯	ˈœˀ	0.564
ˈo	ˈu	0.384
ˈæ	j	0.214
ˈæi̯	ˈeˀ_n	0.294
b̥	w	0.275
b̥	b̥	0.725
h	j	0.095
h	h	0.905
r	ʁ	0.365
s	-	0.055
s	s	0.945
ŋ	nˀ_#>	0.05
ŋ	ŋˀ	0.5
ə	-	0.185
ˈu	ˈɔ	0.595
ˈyː	ˈyː	0.195
ˈyː	ˈyˀ	0.735
ˈæ	ˈe	0.225
ˈɒ	ˈa	0.55
χ	kʰ	0.425
d̥	ʦʰ	0.336
n	-	0.096
r	-	0.076
ŋ	n_#>	0.096
ˈi	ˈiˀ	0.136
ˈo	ˈo	0.616
ˈæi̯	ˈeˀ	0.706
l	lˀ	0.187
l	l	0.787
t	d̥	0.297
ʃ	s_k	0.337
ʃ	s	0.657
ʦ	t	0.417
ˈau̯	ə	0.097
ˈiː	ˈiː	0.397
ˈu	ˈʌ	0.127
ˈu	ˈu	0.17
ˈyː	ˈy	0.07
ˈɒ	-	0.157
f	-	0.168
f	f	0.678
i	i	0.218
n	n	0.878
r	ɐ	0.428
ʋ	ʋ	0.938
ˈau̯	j	0.338
ˈu	ˈœ	0.108
ə	ə	0.709
ɡ̊	-	0.379
ˈuː	ˈuː	0.059
ˈy	ˈø	0.259
ˈɒː	ˈɔˀ	0.579
χ	k	0.079
