Swiss German	Danish	probability
b̥	b̥	0.77
b̥	-	0.126
b̥	v	0.093
b̥_ə	w	1.0
d̥	-	0.676
d̥	ʦʰ	0.256
d̥	d̥	0.06
d̥_l	l	0.463
f	f	0.673
f	b̥	0.137
f	ʋ	0.081
f	mˀ	0.054
f	-	0.045
fː	b̥	1.0
h	h	0.933
h	-	0.059
i	i	0.324
i	-	0.245
i	n	0.186
i	e	0.119
i	ə	0.049
j	-	0.306
j	ˈɔ	0.306
k	k	0.758
k	j	0.114
l	l	0.726
l	lˀ	0.227
l	nˀ	0.033
l	-	0.023
m	m	0.865
m	mˀ	0.061
m	-	0.058
mː	m	1.0
n	n	0.796
n	nˀ	0.115
n	-	0.064
n	ŋ	0.028
nː	nˀ	0.215
p	ð̞ˠ	1.0
p͡f	pʰ	0.415
p͡f	p	0.192
p͡f	b̥	0.192
r	-	0.398
r	ʁ	0.358
r	ɐ	0.133
r	ɐˀ	0.103
r_m	m	1.0
rː	ˈœˀ	0.1
s	s	0.809
s	ð̞ˠ	0.119
s	-	0.065
sː	ð̞ˠ	0.974
sː	nˀ	0.03
t	d̥	0.26
t	ð̞ˠ	0.255
t	t	0.218
t	-	0.204
t	ʦʰ	0.056
tː	-	1.0
ŋ	ŋˀ	0.359
ŋ	nˀ	0.305
ŋ	ŋ	0.162
ŋ	-	0.101
ə	ə	0.475
ə	-	0.224
ə	ɐ	0.223
ə	w	0.026
ə	jˀ	0.023
ɡ̊	-	0.552
ɡ̊	ɡ̊	0.353
ɡ̊	jˀ	0.035
ɡ̊	j	0.035
ɡ̊	ŋ	0.032
ʃ	s	0.645
ʃ	s_k	0.344
ʃ	f	0.025
ʃː	k	1.0
ʋ	ʋ	0.519
ʋ	-	0.242
ʋ	ˈo	0.178
ʋ	v	0.052
ʦ	ʦʰ	0.414
ʦ	t	0.273
ʦ	d̥	0.088
ʦ	-	0.086
ʦ	w	0.086
ʦ_ʋ	ʦʰ	0.463
ˈa	ˈa	0.186
ˈa	ˈɛ	0.176
ˈa	ˈʌ	0.162
ˈa	ˈeˀ	0.093
ˈa	ˈɑ	0.061
ˈau̯	ˈœˀ	0.594
ˈau̯	ˈøː	0.392
ˈe	ˈɛ	0.266
ˈe	ˈeˀ	0.202
ˈe	ˈe	0.202
ˈe	ˈæ	0.129
ˈe	ˈyː	0.123
ˈei̯	ˈeˀ	0.629
ˈei̯	ˈeˀ_n	0.361
ˈeː	ˈeː	0.574
ˈeː	ˈeˀ	0.266
ˈi	ˈe	0.495
ˈi	ˈiˀ	0.091
ˈi	ˈi	0.09
ˈi	ˈø	0.068
ˈi	ˈɑ	0.068
ˈiə̯	ˈyˀ	0.422
ˈiə̯	ˈɛˀ	0.223
ˈiə̯	ˈɛ	0.223
ˈiə̯	ˈiː	0.079
ˈiː	ˈiˀ	0.651
ˈiː	ˈiː	0.342
ˈo	ˈu	0.273
ˈo	ˈo	0.224
ˈo	ˈɛ	0.101
ˈo	ˈœ	0.101
ˈo	ˈœˀ	0.073
ˈou̯	ˈoː	0.5
ˈou̯	ˈʌˀ	0.5
ˈoː	ˈœˀ	0.481
ˈoː	ˈʌˀ	0.115
ˈoː	ɐˀ	0.111
ˈoː	ˈœ	0.111
ˈoː	ˈøː	0.047
ˈu	ˈu	0.315
ˈu	ˈœ	0.198
ˈu	ɐˀ	0.114
ˈu	ˈy	0.114
ˈu	-	0.082
ˈuə̯	ˈoˀ	0.696
ˈuə̯	ˈoː	0.169
ˈuə̯	ˈʌ	0.108
ˈuː	ˈuˀ	0.611
ˈuː	ˈɔ	0.148
ˈuː	ˈɔ_nˀ	0.148
ˈuː	ˈoˀ	0.067
ˈy	ˈœ	0.296
ˈy	ˈø	0.148
ˈy	ˈiː	0.101
ˈy	ˈoː	0.098
ˈy	ˈe	0.098
ˈyə̯	ˈœˀ	0.505
ˈyə̯	ˈo	0.192
ˈyə̯	ˈœ	0.111
ˈyː	ˈyˀ	0.201
ˈyː	ˈɛ	0.133
ˈyː	ˈeˀ	0.093
ˈyː	ˈy	0.093
ˈyː	ˈuː	0.091
ˈæ	j	0.207
ˈæ	ˈɛ	0.13
ˈæ	ˈe	0.099
ˈæ	ˈeˀ	0.075
ˈæ	ˈœː	0.075
ˈæi̯	ˈeˀ	1.0
ˈæː	ˈiˀ	0.561
ˈæː	ˈɑ	0.37
ˈæː	ˈɛ	0.035
ˈø	ˈœ	0.304
ˈø	ˈu	0.304
ˈø	ˈeː	0.162
ˈø	ˈʌ	0.093
ˈøi̯	ˈyˀ	0.182
ˈøi̯	ˈoˀ	0.182
ˈøi̯	ˈʌ	0.182
ˈøi̯	ˈœ	0.182
ˈøː	ˈøː	0.803
ˈøː	ˈʌ	0.07
ˈɒ	ˈa	0.378
ˈɒ	ˈɛ	0.147
ˈɒ	ˈʌ	0.07
ˈɒ	-	0.061
ˈɒ	ˈɑː	0.061
ˈɒː	ˈɔˀ	0.381
ˈɒː	ˈa	0.203
ˈɒː	ˈɛː	0.093
ˈɒː	ˈɛ	0.069
ˈɒː	ˈɑː	0.067
ˈɛi̯	ˈɛ	0.574
ˈɛi̯	ˈeˀ	0.266
χ	kʰ	0.353
χ	-	0.221
χ	j	0.149
χ	k	0.137
χ	ɡ̊	0.062
χ_t	t	1.0
