Eastphalian	Eastphalian	probability
ˈɛː	-	1.0
ˈɛə̯	ˈɑ	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈɒː	ˈɛː	1.0
ˈœ	-	1.0
ˈyː	ˈiː	1.0
ˈeo̯	ˈʊə̯	1.0
ˈaː	-	1.0
ˈaʊ̯	-	1.0
ɪ	i	1.0
ɣ̊	x	1.0
ɣ	x	1.0
ɡ	x	1.0
ɒː	iː	1.0
ɐ_t	ɾ_t	1.0
ç_#>	x_#>	1.0
ç	x	1.0
z̥	z̥	1.0
x	x	1.0
w	ʋ	1.0
v̥	v̥	1.0
t	t	1.0
r_ˈʏ	ɾ	1.0
r	ɾ	1.0
p	p	1.0
n_ə	n	1.0
n_n	n_ə	1.0
n_#>	#>	1.0
m	m	1.0
k	k	1.0
d̥	d̥	1.0
d	d	1.0
b_m	p_ə	1.0
b	b	1.0
<#_ˈʏ	<#_ˈɔ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#	<#_ˈɛː	1.0
ˈuː	ˈyː	0.833
ˈa	ˈɑ	0.826
v	ʋ	0.792
l	ɫ	0.778
f	v	0.778
s	s	0.714
#>	ə_#>	0.706
ˈiː	ˈi	0.692
z	z	0.684
ə	ə	0.667
j	x	0.667
ˈɔ	ˈɔ	0.625
ˈɪ	ˈɪ	0.609
ˈʏ	ˈɪ	0.6
ˈɛ	ˈæ	0.6
ˈɔʏ̯	ˈuː	0.6
n	n	0.559
ˈoː	-	0.556
ŋ	ŋ	0.556
ʃ	s	0.545
ˈɛɪ̯	ˈiː	0.5
ˈeː	ˈeː	0.5
ɐ	ɾ	0.487
ˈʊ	ˈɔ	0.462
ʃ	s_x	0.455
ˈoː	ˈʊə̯	0.444
ŋ	ŋ_k	0.444
ˈʏ	-	0.4
ˈɔʏ̯	-	0.4
ˈɔ	-	0.375
ɐ	ə_ɾ	0.359
ə	-	0.333
j	j	0.333
ˈʊ	-	0.308
s	z	0.286
ˈɛɪ̯	ˈɪə̯	0.273
n	ə	0.271
ˈɪ	ˈi	0.261
ˈeː	ɾ	0.25
ˈeː	-	0.25
ˈʊ	ˈu	0.231
f	v̥	0.222
ˈɛ	ˈeː	0.2
ˈɛ	-	0.2
ˈɛɪ̯	ˈæi̯	0.182
#>	z̥_#>	0.176
ˈuː	-	0.167
ˈiː	ˈyː	0.154
ˈiː	-	0.154
l	ɫ_ə	0.139
ˈɪ	-	0.13
v	v	0.125
#>	d̥_#>	0.118
z	z_ˈøː	0.105
z	z_ə	0.105
z	-	0.105
ɐ	ɾ_ə	0.103
ˈa	ˈɒː	0.087
ˈa	ˈæ	0.087
n	n_ə	0.085
v	v̥	0.083
l	ə_ɫ	0.083
ɐ	ə	0.051
n	n_d	0.051
