Brazilian Portuguese	Sicilian	probability
f	f	1.0
õ	u	1.0
ũ	i	1.0
w̃	n	1.0
ɐ̃	a	1.0
ˈĩ	ˈi	1.0
ˈũ	ˈu	1.0
b	-	0.11
e	ˈi	0.101
ĩ	ŋ	0.621
o	o	0.311
ɡ	-	0.051
ɡ	w	0.1
ɾ	z	0.051
ʃ	s	0.241
ʧ	n_t	0.661
ˈa	l_ˈa	0.061
ˈi	ʊ	0.061
ˈɐ̃	ˈu	0.101
ˈɔ	ˈu	0.511
ẽ	ˈɛ	0.052
ĩ	n	0.192
j	ɪ	0.092
o	w	0.052
o	ɪ	0.182
s	ʃː	0.122
w	l	0.272
z	nː	0.082
ɡ	ɡ	0.42
ɾ	r	0.132
ʎ	r	0.112
ʎ	ɟː	0.462
ʒ	z	0.082
ʤ	nː	0.122
ˈẽ	ˈi	0.42
ˈi	ˈi	0.782
ˈɛ	ˈi	0.092
b	p	0.343
e	a	0.143
h	r	0.33
p	-	0.063
t	t	0.493
v	v	0.833
w	ʊ	0.053
ʃ	c	0.163
ʃ	ɕ	0.253
ʒ	ʤ	0.223
ˈe	ˈɛ	0.243
ˈẽ	-	0.063
ˈõ	ˈu	0.283
a	ˈa	0.154
d	d	0.284
ẽ	i	0.214
h	ʐ	0.054
i	i	0.084
m	m	0.764
o	u	0.174
t	tː	0.064
t	d	0.074
w	-	0.154
z	ʤ	0.284
ɦ	ɾ	0.954
ɾ	ɽ	0.074
ɾ	-	0.114
ʧ	t	0.164
ˈa	ˈa	0.864
ˈe	ˈe	0.054
ˈõ	ˈo	0.194
ˈõ	ˈɔ	0.524
ˈɔ	ˈa	0.074
e	i	0.365
j̃	n	0.475
l	ɖː	0.435
l	l	0.525
s	ʦː	0.065
s	s	0.535
z	ɕ	0.525
ʃ	ʃ	0.095
ʃ	-	0.235
ʧ	tː	0.175
ˈẽ	ˈɛ	0.35
ˈo	ˈɔ	0.665
ˈɔ	ˈɔ	0.415
d	t	0.546
e	ˈu	0.086
ẽ	ʊ	0.596
h	ɾ	0.416
j̃	l	0.066
j̃	-	0.136
m	mː	0.236
n	n	0.816
s	ɕ	0.236
t	ʈː	0.06
t	ʈ	0.066
u	ʊ	0.896
w	w	0.446
ɾ	ɾ	0.6
ʎ	cː	0.376
ˈe	ɪ	0.086
ˈẽ	ˈa	0.06
ˈo	ˈu	0.286
ˈu	ˈu	0.976
e	-	0.227
i	ʊ	0.137
ĩ	mː	0.187
j	ɕ_ɪ	0.247
j	-	0.277
p	p	0.937
u	-	0.07
ʒ	j	0.667
ʤ	t	0.107
ʤ	-	0.727
ˈẽ	ˈu	0.107
a	a	0.578
b	v	0.148
b	b	0.378
e	ɪ	0.078
ẽ	ɪ	0.138
h	-	0.068
i	-	0.08
j	j	0.358
k	k	0.858
n	nː	0.148
t	n_t	0.188
ɐ	-	0.078
ɡ	k	0.38
ˈe	ˈi	0.488
a	i	0.119
a	-	0.149
d	-	0.099
i	ɪ	0.659
j̃	ɲː	0.259
k	kː	0.099
o	-	0.189
z	ɾ	0.109
ɐ	a	0.899
ˈe	ˈa	0.099
ˈɐ̃	ˈa	0.899
ˈɛ	ˈɛ	0.859
