Nuorese	Nuorese	probability
β_u	u	1.0
β_j	sː	1.0
ˈɛ_ɾ	ˈe_j	1.0
ˈɛ_n	ŋ	1.0
ˈɔ_j	j_ˈaː	1.0
ˈu_ɾ	ˈyː	1.0
ˈu_t	ˈu_s	1.0
ˈi_ɾ	ˈiː	1.0
ˈi_s	l_ˈeː	1.0
ˈe_l	ˈeː	1.0
ˈa_ɾ	ˈaː	1.0
ɾ_t	r_t	1.0
ɾ_a	j_a	1.0
ɲ	ɲ	1.0
ɛ_ɾ	e	1.0
ɖː	l	1.0
z_ɛ̆_#>	j_#>	1.0
z_u	z_u	1.0
ŭ	-	1.0
u_z	y	1.0
u_#>	#>	1.0
u	u	1.0
t_ɛ	ˈe	1.0
t_a	a	1.0
p_ɾ	ʧ	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
m_a	m	1.0
k_ˈi	s_ˈi	1.0
k_u	ɡ_u	1.0
j	-	1.0
i_s	s	1.0
f	f	1.0
e	-	1.0
d	d	1.0
ă	-	1.0
a_ɾ	ˈɛ	1.0
a_ð	ɥ	1.0
a_z	e	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_f_ɾ	<#_ʃ	1.0
<#_b	<#	1.0
<#_a	<#	1.0
#>	a_#>	1.0
a	a	0.93
n	ŋ	0.886
p	p	0.861
s	s	0.857
t	t	0.844
z	-	0.818
m	m	0.794
ɡ	z	0.778
ɣ	-	0.75
k_ɛ	ʒ_e	0.75
β	v	0.714
l	l	0.714
k_ɾ	ʤ	0.714
k	k	0.708
ð	-	0.7
ʣ	ʤ	0.667
ɔ̆	i	0.667
ɾ	r	0.62
ʦ	s	0.6
ŋ	ŋ	0.6
o	u	0.6
ɛ	-	0.595
ɔ	u	0.556
ˈa	ˈa	0.529
ˈe	ˈe	0.526
r	r_n	0.5
r	r	0.5
b	v	0.472
ɔ	-	0.444
nː	n	0.417
ˈɛ	ˈe	0.4
ʦ	-	0.4
ŋ	n	0.4
o	-	0.4
i	i	0.391
b	b	0.389
ˈi	ˈi	0.378
ˈo	ˈøː	0.35
i	-	0.348
ɛ	e	0.338
ɔ̆	-	0.333
nː	ŋ	0.333
ˈe	ˈeː	0.316
ˈɔ	ˈu	0.3
ð	d	0.3
ˈi	ˈe	0.297
β	-	0.286
l	-	0.286
k_ɾ	ʧ	0.286
ˈa	ˈaː	0.275
ˈu	ˈy	0.265
i	e	0.261
ɣ	ɡ	0.25
nː	-	0.25
k_ɛ	e	0.25
ˈɛ	ˈeː	0.24
ɾ	-	0.24
ˈu	ˈuː	0.235
ˈu	ˈu	0.235
ɡ	-	0.222
ˈɔ	ˈø	0.2
ˈo	ˈɔː	0.2
ˈo	ˈu	0.2
z	t_r	0.182
ˈu	ˈyː	0.176
ˈɔ	ˈøː	0.167
ʣ	z	0.167
ʣ	-	0.167
k	s	0.167
ˈi	-	0.162
ˈɛ	ˈɛ	0.16
ˈe	ˈɛː	0.158
ˈo	ˈɔ	0.15
s	ʃ	0.143
p	v	0.139
ˈɔ	ˈɔː	0.133
ˈɔ	-	0.133
k	ɡ	0.125
ˈɛ	ˈɛː	0.12
n	n	0.114
t	-	0.111
ˈi	ˈiː	0.108
ˈo	-	0.1
ɾ	j	0.1
ˈa	ˈɛː	0.098
ˈu	-	0.088
m	ŋ	0.088
b	-	0.083
ˈɛ	ˈiː	0.08
ˈɔ	ˈɔ	0.067
ˈa	w_ˈɛː	0.059
m	ŋ_ɡ	0.059
m	ŋ_k_w	0.059
b	p	0.056
ˈi	ˈeː	0.054
