Swiss German	Dutch	probability
b̥	b	0.672
b̥	v	0.151
b̥	f	0.136
b̥	-	0.044
d̥	d	0.476
d̥	t	0.321
d̥	-	0.186
f	v	0.713
f	p	0.158
f	f	0.111
fː	p	0.519
h	ɦ	0.869
h	-	0.065
h	k	0.065
i	ə	0.567
i	ɪ	0.277
i	-	0.131
j	j	1.0
k	k	1.0
l	ɫ	0.856
l	l	0.1
l_t	t	1.0
m	m	1.0
mː	m	0.519
n	n	0.976
n	-	0.039
nː	n	0.519
p	p	0.667
p	f	0.333
p͡f	p	0.922
p͡f	f	0.058
r	ɾ	0.927
r	-	0.059
rː	ɾ	0.14
s	z	0.513
s	s	0.307
s	t	0.174
sː	t	0.905
sː	s	0.091
t	t	0.609
t	d	0.365
tː	d	0.667
tː	-	0.333
w	ɫ	0.519
ŋ	ŋ	0.731
ŋ	n_t	0.268
ə	ə	0.671
ə	-	0.326
ɡ̊	χ	0.692
ɡ̊	-	0.222
ɡ̊	ŋ	0.049
ʃ	s	0.59
ʃ	s_χ	0.174
ʃ	z	0.14
ʃ	ɾ_s	0.083
ʃː	s	0.27
ʋ	ʋ	0.965
ʋ	-	0.048
ʦ	t	0.926
ʦ	d	0.077
ˈa	ˈɑ	0.57
ˈa	ˈɑu̯	0.242
ˈa	ˈɛ	0.157
ˈau̯	ˈoː	0.871
ˈau̯	ˈɑu̯	0.085
ˈe	ˈɛ	0.533
ˈe	ˈɪ	0.209
ˈe	ˈaː	0.15
ˈe	ˈeː	0.074
ˈei̯	ˈeː	0.517
ˈei̯	ˈɛi̯	0.309
ˈeː	ˈi	0.53
ˈeː	ˈeː	0.265
ˈeː	w	0.171
ˈi	ˈɪ	0.763
ˈi	ˈɛ	0.109
ˈi	ˈɛi̯	0.063
ˈi	ˈeː	0.063
ˈiə̯	ˈi	0.663
ˈiə̯	ˈɪ	0.306
ˈiː	ˈɛi̯	0.913
ˈiː	ˈɪ	0.082
ˈo	ˈɔ	0.522
ˈo	ˈoː	0.349
ˈo	ˈaː	0.076
ˈo	-	0.048
ˈou̯	ˈoː	0.78
ˈou̯	ˈɔ	0.219
ˈoː	ˈoː	0.79
ˈoː	ˈaː	0.209
ˈu	ˈɔ	0.81
ˈu	ˈʏ	0.186
ˈuə̯	ˈu	1.0
ˈuː	ˈœy̯	0.779
ˈuː	ˈɔ	0.205
ˈy	ˈɛ	0.343
ˈy	ˈi	0.24
ˈy	ˈʏ	0.158
ˈy	ˈoː	0.158
ˈy	ˈeː	0.084
ˈyə̯	ˈu	1.0
ˈyː	ˈi	0.391
ˈyː	ˈœy̯	0.21
ˈyː	ˈyː	0.156
ˈyː	ˈɛi̯	0.089
ˈyː	ˈu	0.076
ˈæ	ˈɛ	0.443
ˈæ	ˈeː	0.327
ˈæ	ˈɑ	0.141
ˈæ	ˈaː	0.069
ˈæi̯	ˈɛi̯	0.442
ˈæi̯	ˈeː	0.174
ˈæː	ˈaː	0.263
ˈæː	ˈɑ	0.263
ˈæː	ˈeː	0.207
ˈæː	ˈi	0.157
ˈø	ˈʏ	0.477
ˈø	ˈaː	0.204
ˈø	ˈɑ	0.204
ˈøi̯	ˈoː	0.322
ˈøi̯	ˈɔ	0.192
ˈøi̯	w	0.192
ˈøi̯	ˈeː	0.135
ˈøː	ˈoː	1.0
ˈɒ	ˈɑ	0.705
ˈɒ	ˈaː	0.235
ˈɒ	ˈøː	0.059
ˈɒ_l	ˈɑu̯	1.0
ˈɒː	ˈaː	0.63
ˈɒː	ˈɑ	0.359
ˈɛi̯	ˈeː	0.74
ˈɛi̯	ˈɛi̯	0.151
χ	k	0.632
χ	χ	0.322
χ	-	0.044
χ_s	s	1.0
