Scots	Scots	probability
ˈɪ_n	n	1.0
ˈɛː	ˈæː_ɡ̊	1.0
ˈøː	-	1.0
ˈiː_r	r	1.0
ˈe_n_#>	ˈæi̯_#>	1.0
ˈaːɪ̯	ˈyː	1.0
ˈaː	ˈi_ɡ̊	1.0
ʧ	ɣ̊	1.0
ʤ	kː_ə	1.0
ʍ	ʋ	1.0
ʃ_#>	ʃː_#>	1.0
ʃ	ʒ̊	1.0
ɪ	i_χː	1.0
ɛ	ə	1.0
ŋ	ŋ	1.0
ç	χː	1.0
z	z̥	1.0
w	ʋ	1.0
tʰ	ʦ	1.0
s_t	ʃː_tː	1.0
s_l	ʒ̊_l	1.0
r_ˈɪ	r	1.0
r_n	r_n	1.0
pʰ	p͡f	1.0
n_d_#>	ŋ_#>	1.0
m	m	1.0
kʰ	ɣ̊	1.0
k_s	χː_sː	1.0
i_n	æ	1.0
i	i	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	v̥	1.0
e	i_ɡ̊	1.0
d_r	tː_r	1.0
b	b̥	1.0
<#_r	<#_r	1.0
<#_k	<#_ɣ̊	1.0
<#	<#_ɡ̊	1.0
r	r	0.962
l	l	0.949
p	fː	0.818
ɡ	ɡ̊	0.8
#>	ɡ̊_#>	0.778
n	n	0.756
ˈʌu̯	-	0.75
ˈo	ˈo	0.727
θ	d̥	0.706
d	tː	0.692
ˈu	ˈuː	0.667
ə	ə	0.667
s	z̥	0.641
ˈʌ	ˈu	0.636
ˈəi̯	ˈiː	0.615
ˈuː	ˈuː	0.6
x	χː	0.6
ð	d̥	0.571
ˈø	ˈuə̯	0.556
ˈɑː	ˈɒ	0.5
ˈeː	ˈɒː	0.5
v	fː	0.5
v	b̥	0.5
j	j	0.5
j	-	0.5
ˈe	ˈæi̯	0.462
t	sː	0.462
ˈø	-	0.444
ˈɪ	ˈi	0.429
ð	tː	0.429
ˈuː	-	0.4
x	ɡ̊	0.4
ˈe	ˈɒ	0.385
ˈʌ	-	0.364
t	tː	0.359
k	χː	0.357
k	kː	0.357
ˈɛ	ˈæ	0.333
ˈu	-	0.333
ˈiː	ˈyː	0.308
ˈa	ˈɒ	0.308
ˈa	ˈæ	0.308
d	d̥	0.308
ˈɑː	ˈɒ_l	0.286
ˈeː	-	0.286
k	χː_ə	0.286
ˈo	-	0.273
ə	-	0.267
s	ʒ̊	0.256
ˈʌu̯	w	0.25
n	-	0.244
ˈɛ	-	0.238
ˈəi̯	ˈyː	0.231
ˈa	ˈɒː	0.231
#>	b̥_#>	0.222
ˈi	-	0.217
ˈɑː	-	0.214
ˈeː	ˈɒ	0.214
ɡ	-	0.2
p	p͡f	0.182
t	ʦ	0.179
θ	tː	0.176
ˈi	ˈyə̯	0.174
ˈi	ˈau̯	0.174
ˈəi̯	-	0.154
ˈiː	ˈæː	0.154
ˈiː	ˈyː_ɡ̊	0.154
ˈiː	ˈeː	0.154
ˈiː	ˈau̯	0.154
ˈe	ˈoː	0.154
ˈa	ˈø	0.154
ˈɛ	ˈæi̯	0.143
ˈi	ˈɒː	0.13
ˈi	ˈoː	0.13
θ	-	0.118
ˈɪ	ˈy	0.095
ˈɪ	ˈu	0.095
ˈɛ	ˈɒː	0.095
ˈɛ	ˈæː	0.095
ˈɛ	ˈe	0.095
ˈi	ˈyː	0.087
ˈi	ˈu	0.087
ˈiː	ˈei̯	0.077
ˈɪ	ˈɒ	0.071
ˈɪ	ˈæ	0.071
ə	d̥_ə	0.067
s	ʃː	0.051
s	sː	0.051
l	ɡ̊_l	0.051
