Alsatian	Alsatian	probability
ˈɛ	ˈɛ	1.0
ˈɒ_l	ˈɑː	1.0
ˈøː	-	1.0
ˈø	ˈu	1.0
ˈæː_j	ˈɛː	1.0
ˈæː	ˈiː	1.0
ˈæ	-	1.0
ˈyː	ˈu	1.0
ˈo_l	ˈuː	1.0
ˈi_n	ˈaːɪ̯	1.0
ˈaː	-	1.0
ˈai̯	ˈiː	1.0
ʃ_w	s	1.0
ʃ_t	s_t	1.0
ʁ_n	r_n	1.0
ʁ	r	1.0
ŋ	ŋ	1.0
s_ə	t	1.0
p͡f	p	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	#>	1.0
l	l	1.0
i_ʃ	k	1.0
h	h	1.0
f_ə	p	1.0
f	f	1.0
eː	i	1.0
e	v	1.0
<#_ʁ	<#_r	1.0
kʰ	kʰ	0.9
b̥	b	0.9
n	n	0.837
z̥	s	0.778
ˈi	ˈɪ	0.75
ɡ̊	ɡ	0.75
ʋ	w	0.727
ˈo	ˈo	0.667
f_#>	p_#>	0.667
d̥	d	0.667
ˈei̯	ˈiː	0.6
x	ç	0.6
t	d	0.581
s	s	0.571
ˈɒː	-	0.556
ʦ	tʰ	0.538
ə	-	0.512
ˈəi̯	ˈe	0.5
ˈeː	-	0.5
ˈe	ˈa	0.5
k	k	0.5
j	ˈiː	0.5
j	j	0.5
ˈu	ˈʌ	0.474
ə	ə	0.463
ʦ	t	0.462
ʃ	ʃ	0.438
s	t	0.429
ˈei̯	ˈe	0.4
x	x	0.4
i	i	0.4
i	-	0.4
ˈiː	ˈəi̯	0.389
ˈu	ˈɪ	0.368
ˈʊː	ˈø	0.333
ˈɒː	ˈeː	0.333
ˈoː	-	0.333
ˈo	-	0.333
k	-	0.333
f_#>	#>	0.333
ˈɒ	ˈɑː	0.304
ˈəi̯	ˈɛ	0.3
ˈe	ˈɛ	0.3
ˈoː	ˈi	0.267
ˈʊː	ˈi	0.25
ˈeː	ˈɛ	0.25
ˈeː	ˈiː	0.25
ʃ	k	0.25
ɡ̊	-	0.25
ˈiː	ˈi	0.222
z̥	z	0.222
d̥	θ	0.222
ˈɒ	ˈa	0.217
ˈəi̯	-	0.2
ˈe	ˈɪ	0.2
i	e	0.2
t	t	0.194
ʃ	s	0.188
ˈɒ	ˈe	0.174
ˈʊː	ˈɪ	0.167
ˈʊː	-	0.167
ˈiː	ˈɪ	0.167
ˈiː	-	0.167
k	ʤ	0.167
ˈu	-	0.158
ʋ	ʍ	0.136
ʋ	-	0.136
ˈoː	ˈiː	0.133
ˈoː	ˈeː	0.133
ˈoː	ˈe	0.133
ˈɒ	ˈɪ	0.13
ʃ	ç	0.125
n	-	0.116
ˈɒː	ˈoː	0.111
d̥	ð	0.111
kʰ	ʧ	0.1
b̥	-	0.1
t	ð	0.097
ˈɒ	ˈeː	0.087
ˈɒ	-	0.087
ˈʊː	ˈøː	0.083
ˈi	ˈu	0.083
ˈi	ˈi	0.083
ˈi	-	0.083
t	θ	0.065
t	-	0.065
ˈiː	ˈʌu̯	0.056
