Ladin	Ladin	probability
ˈu_r	ˈy	1.0
ˈo_w	ˈu	1.0
ˈe_#>	ˈa_#>	1.0
ˈa_t	ˈa	1.0
ʨ_#>	s_#>	1.0
ʧ	s	1.0
ʦ_#>	#>	1.0
ʒ_ɡ	v	1.0
ʃ_#>	s_#>	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
w_ˈɛ	w_ˈe	1.0
w_r_#>	#>	1.0
u	-	1.0
t_a	d_ɔ	1.0
t_#>	#>	1.0
s_ˈe	s_ˈe	1.0
s	s	1.0
n_t	ŋ	1.0
n_#>	#>	1.0
l_ˈe	l_ˈe	1.0
l_b	w_b	1.0
l_#>	w_#>	1.0
l	l	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_a	j_ɔ	1.0
f	f	1.0
e_r	ɾ_e	1.0
e_m	mː	1.0
e_#>	#>	1.0
d_l	j	1.0
b	b	1.0
a_d	a_d	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ɥ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#	1.0
<#_a	<#_a	1.0
m	m	0.931
p	p	0.9
t	t	0.857
ˈe_j	ˈe	0.818
ʨ	k	0.783
d	d	0.769
a	ɔ	0.757
v	v	0.741
ʃ	e_s	0.727
f_#>	w_#>	0.714
ˈi	ˈi	0.708
o	u	0.692
ʦ	s	0.667
ʒ	ʤ	0.667
e	e	0.643
ˈa	ˈa	0.622
n	ŋ	0.6
j_ˈɛ	ˈɛ	0.6
<#	<#_e	0.6
j	j	0.588
ˈo	ˈu	0.583
i	-	0.571
ˈɔ	w_ˈe	0.542
r	ɾ	0.537
ʥ	ʤ	0.5
ʥ	k	0.5
r_t	ˈe_ʀ	0.5
r_t	ʀ	0.5
ˈu	ˈy	0.455
s_#>	#>	0.429
#>	e_#>	0.417
r	ʀ	0.415
j_ˈɛ	e	0.4
<#	<#_a	0.4
ˈa	ˈã	0.378
w	ɥ	0.357
w	w	0.357
n	n	0.356
ˈɛ	ˈɛ	0.345
ˈe	ˈe	0.333
ʦ	-	0.333
o	-	0.308
ˈɔ	w	0.292
s_#>	s_ɔ_#>	0.286
s_#>	j_#>	0.286
i	i	0.286
f_#>	#>	0.286
e	-	0.286
ˈe	ˈɛ	0.278
ʃ	j_s	0.273
ˈo	ˈũ	0.25
d	-	0.231
ʨ	s	0.217
ˈi	ˈĩ	0.208
#>	ɔ_#>	0.208
ʒ	z	0.2
ˈɛ	ˈẽ	0.182
ˈu	ˈỹ	0.182
ˈu	ˈu	0.182
ˈu	-	0.182
ˈe_j	ˈɛ	0.182
j	-	0.176
a	a	0.176
ˈe	ˈẽ	0.167
#>	w_#>	0.167
ˈɛ	ˈa	0.164
w	ˈa_b	0.143
w	ˈa	0.143
t	ʧ	0.143
i	ĩ	0.143
ʒ	lː	0.133
#>	j_#>	0.125
j	ˈe_ʤ	0.118
j	i	0.118
ˈe	ˈu	0.111
ˈe	e	0.111
v	b	0.111
p	-	0.1
ˈɛ	ˈe	0.091
ˈɔ	w_ˈẽ	0.083
ˈɔ	-	0.083
ˈo	w_ˈẽ	0.083
ˈo	w_ˈe	0.083
ˈi	j_ˈe	0.083
#>	s_#>	0.083
v	w_ɾ	0.074
v	-	0.074
e	i	0.071
m	m_b	0.069
ˈɛ	ˈe_j	0.055
ˈɛ	ˈa_j	0.055
