Romansch	Provençal	probability
ˈɛː	ˈɛ	1.0
ˈɛ_ʦ	j_ˈe	1.0
ˈuɔ̯	ˈu	1.0
ˈo	ɥ_ˈe	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ˈa_t	ˈa	1.0
ˈa_j	ˈe	1.0
ʧ	s	1.0
ʦ	-	1.0
ʒ_ɡ	v	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ə_n	ã_ŋ	1.0
z	-	1.0
v_ˈa	v_ˈa	1.0
s	s	1.0
r_ˈiː	ɾ_ˈi	1.0
r_ə	ɾ_ɔ	1.0
r_t	ʀ	1.0
o	u	1.0
n_ʨ	ŋ	1.0
n_t	ŋ	1.0
m	m	1.0
k_w	k	1.0
k_l	k_l	1.0
k	k	1.0
d_i	ʤ_e	1.0
b	b	1.0
a	a	1.0
p	p	0.961
f	f	0.943
ʨ	k	0.898
d	d	0.873
ˈɔː	w_ˈe	0.866
l	l	0.863
ə_r	ɾ_e	0.8
ˈuː	ˈu	0.745
t	t	0.74
r_ˈa	ɾ	0.696
n	ŋ	0.669
v	v	0.663
ŋ	ŋ	0.629
e	e	0.627
i	-	0.621
ˈiː	ˈi	0.576
ʎ	j	0.576
ˈiə̯	ˈɛ	0.574
ʥ	ʤ	0.571
ə	ɔ	0.562
w	w	0.523
ˈa_w	ˈa	0.503
ˈa_w	ˈã	0.497
r	ʀ	0.488
ˈeː	ˈe	0.462
ˈɔ	ˈã	0.452
u	u	0.449
ˈa	ˈa	0.446
ˈiə̯	-	0.426
ˈiː	ˈy	0.424
ˈi	ˈĩ	0.396
ˈɛ	ˈɛ	0.385
ˈɛ	ˈẽ	0.384
i	y	0.379
ʃ	e_s	0.375
e	-	0.373
ŋ	ŋ_k	0.371
ˈu	ˈũ	0.369
ˈɔ	w_ˈe	0.359
ˈu	ˈu	0.359
ˈeː	-	0.348
ʃ	z	0.344
w	-	0.34
r	ɾ	0.331
j	j	0.314
r_ˈa	ɾ_ˈa	0.304
ˈi	ˈi	0.299
n	n	0.29
ʎ	-	0.283
t	-	0.26
ˈuː	ˈe	0.255
ˈa	-	0.245
ˈɛ	ˈe	0.231
ʥ	-	0.219
ʥ	ɡ	0.21
ə_r	e	0.2
v	b	0.196
ə	e	0.195
ˈeː	ˈɛ	0.19
ˈi	ˈỹ	0.187
u	a	0.187
ə	a	0.186
ˈa	ˈã	0.172
ʃ	ʤ	0.17
ˈu	w_ˈẽ	0.168
j	ˈẽ	0.158
r	ɾ_e	0.146
j	ˈɛ	0.145
v	-	0.141
ʎ	ˈe_j	0.14
ˈa	ˈe	0.137
w	k	0.137
l	-	0.137
j	-	0.137
ˈɔː	w	0.134
u	-	0.134
d	-	0.127
ˈi	ˈy	0.118
u	ũ	0.115
u	ĩ	0.115
ˈɔ	-	0.114
ʃ	j_s	0.111
ˈu	w	0.104
ʨ	ʧ	0.102
j	w	0.096
ˈɔ	ɥ	0.074
j	ˈe	0.073
ə	-	0.058
f	ˈɔ_w	0.057
