Romansch	Campidanese	probability
b	b	1.0
e	e	1.0
j	-	1.0
o	o	1.0
ʦ	z	1.0
ˈaː	ˈa	1.0
ˈiə̯	ˈe	1.0
ˈo	ˈo	1.0
ˈɔː	ˈo	1.0
d	ð	0.351
l	-	0.221
n	-	0.071
r	-	0.101
s	s	0.781
t	t_i	0.071
ŋ	ŋ	0.681
ə	i	0.081
ə	e	0.171
ɲ	-	0.261
ʨ	k_u	0.061
ʨ	t_u	0.111
ˈeː	ˈi	0.291
n	n	0.62
p	p	0.992
u	o	0.442
w	ɣ_u	0.092
ʎ	ʣ_u	0.2
ʎ	j	0.262
ʥ	ɣ	0.522
ˈe	ˈi	0.642
ˈɛ	ˈo	0.2
d	-	0.103
k	k	0.923
m	m_i	0.123
m	m	0.83
w	u	0.303
ə	a	0.683
ʃ	ʒ	0.073
ʃ	ʃː	0.093
ʃ	s	0.463
ʨ	t_i	0.093
ˈiː	ˈu	0.223
i	i	0.214
l	r	0.124
l	l_u	0.134
t	ð_u	0.094
v	-	0.244
ɡ	b	0.204
ʎ	j_u	0.34
ʧ	-	0.244
ˈi	ˈi	0.754
ˈu	ˈu	0.324
ˈuː	ˈo	0.64
ˈɔ	ˈa	0.74
ˈɛː	ˈe	0.564
d	d	0.505
w	-	0.605
ɡ	ɡ	0.625
ʃ	ʒ_i	0.345
ʨ	k	0.695
ˈa	ˈi	0.075
ˈɛ	ˈe	0.515
i	u	0.786
r	r_u	0.106
v	b	0.756
ʧ	ʧ	0.756
ˈi	ˈu	0.246
ˈu	ˈo	0.676
ˈuː	ˈu	0.36
ˈɔ	ˈo	0.26
ˈɛ	ˈi	0.286
ˈɛː	ˈe_ɖː	0.436
k	-	0.077
n	n_u	0.157
s	o_z	0.057
s	z	0.127
t	t	0.707
ˈa	ˈa	0.617
ˈiː	ˈi	0.777
r	r	0.498
t	t_u	0.088
u	ˈo	0.558
ɡ	ʤ	0.128
ʎ	ʣ	0.088
ʎ	l	0.088
ʥ	-	0.478
ˈa	ˈe	0.128
ˈa	-	0.148
ˈe	ˈe	0.358
f	-	0.159
f	f	0.799
l	ɖː	0.089
l	l	0.389
n	n_i	0.109
r	r_i	0.219
ŋ	ŋ_ɡ	0.319
ɲ	ɲː	0.739
ˈeː	ˈe	0.709
