Auvergnat	Auvergnat	probability
ˈɛ	ˈɛ	1.0
ˈɔ̃	-	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈiː_#>	1.0
ˈi	ˈi	1.0
ˈe_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_ʎ	ˈa_j	1.0
ˈa_#>	ˈaː_#>	1.0
ʒ	ʧ	1.0
ʎ_#>	l_i_#>	1.0
ʃ	ʧ	1.0
ʀ_ə	i	1.0
ʀ_#>	r_t_#>	1.0
ɲ	ɲ	1.0
ɪ	s	1.0
ɥ	a_ʧ	1.0
ɡʲ	s	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɔ	e	1.0
ɒ_ʀ	e_r	1.0
ŋ_d	n	1.0
ŋ_#>	#>	1.0
y	-	1.0
w_ˈɔ̃	ˈo	1.0
w_ˈẽ	ˈu	1.0
w_ʀ	v	1.0
w_#>	f_#>	1.0
vʲ	v	1.0
v	v	1.0
ũ	o	1.0
s_#>	j_#>	1.0
pʲ	p_ˈeː	1.0
p	p	1.0
mʲ	m	1.0
m	m	1.0
lː	z_u	1.0
l_ˈa	l_ˈa	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ʀ	d	1.0
j_#>	#>	1.0
ĩ	i	1.0
fʲ	f	1.0
f	f	1.0
dʲ	d	1.0
d	d	1.0
b_ʀ	r	1.0
ã	a	1.0
a	a	1.0
<#_ʧ	<#	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_d	1.0
<#_l	<#_l	1.0
ʀ	r	0.915
t	t	0.885
b	b	0.824
<#_n	<#_n	0.818
ˈa_w	ˈa_l	0.778
s	s	0.766
n	n	0.765
w_ˈɔ	ˈuː	0.714
ʧ	c	0.708
w	w	0.667
<#	<#_l	0.667
l	l	0.654
ɒ	a	0.636
ˈẽ	ˈi	0.625
ʎ	l	0.6
u	o	0.6
i	i	0.6
e	i	0.6
ˈũ	ˈo	0.571
ŋ	ŋ	0.564
ə	i	0.562
ˈɪ	ˈe	0.524
ˈɪ̃	ˈɛ	0.5
ˈɪ̃	-	0.5
ʀ_ə_#>	ˈeː_#>	0.5
ʀ_ə_#>	#>	0.5
z	d	0.5
z	-	0.5
j	ˈɛ	0.5
j	-	0.5
ˈa	ˈa	0.474
ˈy	ˈu	0.444
ˈu	ˈo	0.435
ˈœ	v_ˈɔ	0.429
ˈũ	-	0.429
ˈe	j_ˈɛ	0.419
ʎ	ˈɛ	0.4
u	u	0.4
i	-	0.4
e	-	0.4
ˈu	ˈoː	0.391
ˈẽ	-	0.375
ʤ	j	0.375
ˈɔ	ˈa	0.364
#>	t_#>	0.345
ˈy	ˈuː	0.333
<#	<#_ʧ	0.333
ʤ	ʤ	0.312
ʤ	-	0.312
#>	s_#>	0.31
ˈa	ˈaː	0.289
ˈœ	w	0.286
ˈœ	-	0.286
w_ˈɔ	ˈo	0.286
w	-	0.286
ˈɔ	ˈɛ	0.273
s	ʧ	0.234
ŋ	n_t	0.231
ˈy	ˈo	0.222
ˈa_w	ˈa	0.222
ŋ	n	0.205
ˈɪ	-	0.19
ˈɔ	ˈuː	0.182
ˈɔ	-	0.182
ɒ	e	0.182
ɒ	-	0.182
<#_n	<#_ɲ	0.182
b	v	0.176
#>	r_#>	0.172
ʧ	t	0.167
ˈe	ˈɛ	0.161
ˈe	j	0.161
ˈe	-	0.161
ə	e	0.156
ʧ	-	0.125
ə	r_i	0.125
n	ŋ	0.118
n	-	0.118
t	s_t	0.115
l	ˈe	0.115
l	j	0.115
l	-	0.115
#>	ʧ_#>	0.103
ˈe	ˈiː	0.097
ˈɪ	ˈeː_t	0.095
ˈɪ	ˈeː	0.095
ˈɪ	j	0.095
ə	r	0.094
ˈu	ˈɔ	0.087
ˈu	ˈu_t	0.087
ˈa	ˈiː	0.079
#>	p_#>	0.069
ə	-	0.062
ˈa	ˈɛ	0.053
ˈa	a	0.053
ˈa	-	0.053
