Nuorese	Nuorese	probability
β_ɛ	w	1.0
β_u	w	1.0
β	β	1.0
ˈu_ɾ	ˈu	1.0
ˈi_ɾ	ˈi	1.0
ˈa_ɾ_ɛ_#>	#>	1.0
ʦ	s	1.0
ɾ_ˈa	l_ˈa	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	ɾ_ə	1.0
ɾ_k	r_k	1.0
ɾ_b	β	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɣ	-	1.0
ɛ_#>	#>	1.0
ɖː	ʎ	1.0
ð_ɛ	w	1.0
z_ɛ̆_#>	s_#>	1.0
z_ɔ̆_#>	s_#>	1.0
z_ă_#>	s_#>	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ_#>	#>	1.0
t_u	w	1.0
p_u	s	1.0
n_ˈu	n_ˈɔ	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_u_#>	#>	1.0
n_t	n	1.0
n_a	n_ə	1.0
n	n	1.0
l_u_#>	l_#>	1.0
k_ɾ	ʎ	1.0
k_ɛ	w	1.0
k_u_#>	k_#>	1.0
k_a	k_ə	1.0
j_z	z	1.0
i_k	ə	1.0
f	f	1.0
a	ə	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_ʎ	1.0
<#_i	<#_ə	1.0
<#_a	<#_ə	1.0
<#	<#_k	1.0
#>	ə_#>	1.0
ˈa	ˈa	0.883
d	d	0.857
p	p	0.846
m	m	0.833
b	b	0.833
s	s	0.788
o	u	0.778
z	-	0.75
u	u	0.75
l	l	0.692
t	t	0.688
t_a	t_ə	0.667
ˈo	ˈɔ	0.647
ʣ	ʎ	0.625
k	k	0.61
ɛ_ɾ	ɾ	0.6
ð	-	0.6
ɛ	ə	0.593
ˈi	ˈi	0.59
ɔ	-	0.588
j	-	0.571
ˈɛ	ˈe	0.538
ɡ	ɡ	0.538
ɾ	ɾ	0.529
ˈu	ˈu	0.5
ˈu	ˈo	0.5
ŋ	ɲ	0.5
ŋ	-	0.5
ˈɔ	ˈɔ	0.485
ˈɛ	ˈɛ	0.462
ɡ	ʒ	0.462
ˈe	ˈe	0.455
nː	ɲ	0.455
i	-	0.444
j	ˈa	0.429
ɔ	u	0.412
ɛ_ɾ	ɾ_ə	0.4
ð	ð	0.4
i	ə	0.389
ʣ	ʒ	0.375
r	ɾ	0.375
r	r	0.375
e	ə	0.375
e	-	0.375
nː	n	0.364
t_a	ð_ə	0.333
ˈe	ˈɛ	0.318
l	ʎ	0.308
ˈi	ˈɛ	0.256
z	s	0.25
u	w	0.25
r	r_n	0.25
e	i	0.25
ˈɔ	ˈo	0.242
ˈo	ˈo	0.235
ɾ	r	0.235
o	-	0.222
k	s	0.22
ɾ	l	0.196
t	ð	0.188
ˈɔ	ˈu	0.182
nː	n_d	0.182
m	ŋ	0.167
i	i	0.167
ˈi	ˈe	0.154
p	β	0.154
ɛ	w	0.148
ɛ	-	0.148
d	-	0.143
ˈe	ˈi	0.136
k	ɣ	0.122
s	ʃ	0.121
ˈo	ˈu	0.118
ɛ	ˈi	0.111
b	-	0.111
ˈɔ	-	0.091
ˈe	ɾ_ˈe	0.091
s	-	0.091
t	j_t	0.062
t	-	0.062
b	b_ə	0.056
