Swabian	East Low German	probability
a	n	0.629
a	-	0.236
a	m	0.132
b	b	0.756
b	f	0.208
b	v	0.042
b_a	m	0.49
b̥	p	0.118
b̥͡f	p	1.0
d	d	0.46
d	t	0.3
d	-	0.114
d	ɾ	0.102
e	-	0.683
e	æ	0.221
f	f	0.759
f	p	0.144
f	-	0.066
f	b	0.034
h	h	1.0
i	ɪ	0.058
j	j	1.0
k	-	1.0
kʰ	kʰ	0.862
kʰ	-	0.117
l	l	1.0
m	m	0.913
m	-	0.053
m	v	0.044
n	n	0.975
n	m	0.036
p͡f	f	0.323
p͡f	p	0.158
s	z	0.337
s	t	0.32
s	s	0.308
s	-	0.03
s	ɾ	0.028
t	t	1.0
x	x	0.625
x	k	0.193
x	ç	0.168
ç	k	0.504
ç	ç	0.454
ŋ	ŋ	1.0
ɐ	n	0.24
ə	-	0.24
ɡ	ɡ	0.324
ɡ	ç	0.242
ɡ	j	0.171
ɡ	k	0.125
ɡ	x	0.105
ɡ_a	ŋ	0.841
ɡ_a	n	0.104
ɪ	ɪ	1.0
ʁ	r	0.881
ʁ	-	0.118
ʃ	ʃ	0.829
ʃ	s	0.164
ʋ	v	0.846
ʋ	w	0.127
ʋ	-	0.039
ʌ	æ	0.953
ʌ	-	0.052
ʕ	-	0.896
ʕ	t	0.104
ʕ_ʦ	t	1.0
ʦ	tʰ	0.677
ʦ	t	0.315
ˈa	ˈa	0.723
ˈa	ˈɒː	0.08
ˈa	ˈɔ	0.059
ˈa	ˈɪ	0.052
ˈa	ˈaʊ̯	0.045
ˈa_ʕ	ˈaː	1.0
ˈae̯	ˈae̯	0.283
ˈae̯	ˈʏ	0.163
ˈae̯	ˈɛː	0.163
ˈae̯	ˈuː	0.163
ˈae̯	ˈɔʏ̯	0.11
ˈao̯	ˈuː	0.59
ˈao̯	ˈaʊ̯	0.227
ˈao̯	ˈœ	0.099
ˈao̯	ˈœː	0.075
ˈaː	ˈɒː	0.275
ˈaː	ˈaː	0.234
ˈaː	ˈa	0.203
ˈaː	ˈɛ	0.117
ˈaː	ˈɛː	0.087
ˈe	ˈɪ	0.478
ˈe	ˈœ	0.215
ˈe	ˈɛ	0.187
ˈe	ˈaː	0.082
ˈeə̯	ˈɛ	0.392
ˈeə̯	ˈɔʏ̯	0.221
ˈeə̯	ˈae̯	0.221
ˈeː	ˈae̯	0.206
ˈeː	ˈɪ	0.179
ˈeː	ˈɔʏ̯	0.126
ˈeː	ˈeː	0.126
ˈeː	ˈyː	0.121
ˈi	ˈɪ	0.591
ˈi	ˈiː	0.21
ˈi	ˈɛ	0.082
ˈi	ˈae̯	0.066
ˈi	ˈœː	0.052
ˈiə̯	ˈae̯	0.618
ˈiə̯	ˈɔʏ̯	0.367
ˈiː	æ	0.28
ˈiː	ˈaɪ̯	0.28
ˈiː	ˈɔʏ̯	0.28
ˈiː	ˈœː	0.104
ˈo	ˈʊ	0.667
ˈo	ˈɔ	0.138
ˈo	ˈɒː	0.091
ˈo	ˈuː	0.091
ˈoː	ˈaʊ̯	0.434
ˈoː	ˈɒː	0.223
ˈoː	ˈɔ	0.109
ˈoː	ˈuː	0.109
ˈoː	ˈœː	0.083
ˈu	ˈɔ	0.312
ˈu	ˈʏ	0.312
ˈu	ˈʊ	0.179
ˈu	ˈaʊ̯	0.179
ˈuə̯	ˈaʊ̯	1.0
ˈuː	ˈaʊ̯	0.182
ˈuː	ˈuː	0.182
ˈɔ	ˈɔ	0.4
ˈɔ	ˈuː	0.207
ˈɔ	ˈøː	0.126
ˈɔ	ˈœ	0.119
ˈɔe̯	ˈae̯	0.597
ˈɔe̯	ˈae̯_n	0.176
ˈɔe̯	ˈɪ	0.12
ˈɔə̯	ˈaʊ̯	1.0
ˈɔː	ˈɒː	0.432
ˈɔː	ˈoː	0.302
ˈɔː	ˈa	0.087
ˈɔː	ˈɛː	0.083
ˈəi̯	ˈiː	0.65
ˈəi̯	ˈyː	0.195
ˈəi̯	ˈɪ	0.136
ˈɛ	ˈɛ	0.344
ˈɛ	ˈiː	0.246
ˈɛ	ˈɛː	0.193
ˈɛ	ˈa	0.118
ˈɛ	ˈʏ	0.047
ˈɛː	ˈɛ	0.282
ˈɛː	ˈɒː	0.186
ˈɛː	ˈɛɪ̯	0.186
ˈɛː	ˈɛː	0.186
ˈɛː	ˈoː	0.126
ˈɪ	ˈɪ	0.734
ˈɪ	ˈʏ	0.257
ˈʌ	ˈaː	0.66
ˈʌ	ˈiː	0.158
