Swabian	East Low German	probability
a	n	0.887
a	-	0.113
b	b	0.727
b	f	0.182
b	m	0.064
b̥͡f	p	0.949
b̥͡f	f	0.051
d	d	0.565
d	t	0.262
d	ɾ	0.089
d	-	0.067
e	æ	1.0
eə̯	ae̯	1.0
f	f	0.708
f	p	0.245
h	h	0.967
i	ɪ	1.0
j	j	1.0
kʰ	kʰ	0.985
l	l	0.979
m	m	0.936
n	n	0.968
p͡f	pʰ	1.0
s	z	0.389
s	t	0.333
s	s	0.263
t	t	1.0
x	x	0.698
x	k	0.266
ç	k	0.747
ç	ç	0.253
ŋ	ŋ	0.829
ŋ	-	0.171
ɡ	ɡ	0.24
ɡ	ŋ	0.21
ɡ	ç	0.194
ɡ	k	0.131
ɡ	j	0.12
ɡ	x	0.063
ɪ	ɪ	1.0
ʁ	r	0.912
ʁ	-	0.088
ʃ	ʃ	0.818
ʃ	s	0.182
ʋ	v	0.838
ʋ	w	0.119
ʌ	æ	0.94
ʌ	-	0.06
ʕ	-	1.0
ʣ	t	1.0
ʦ	tʰ	0.797
ʦ	t	0.203
ˈa	ˈa	0.609
ˈa	ˈɒː	0.128
ˈa	ˈaː	0.072
ˈa	ˈɛ	0.063
ˈa	ˈɔ	0.052
ˈae̯	ˈɔʏ̯	0.236
ˈae̯	ˈʏ	0.2
ˈae̯	ˈae̯	0.156
ˈae̯	ˈiː	0.115
ˈae̯	ˈuː	0.099
ˈae̯	ˈɪ	0.088
ˈae̯	ˈɛː	0.054
ˈae̯	ˈeː	0.052
ˈao̯	ˈuː	0.564
ˈao̯	ˈaʊ̯	0.284
ˈao̯	ˈʊ	0.052
ˈaː	ˈɒː	0.335
ˈaː	ˈa	0.263
ˈaː	ˈaː	0.174
ˈaː	ˈɛː	0.093
ˈaː	ˈɛ	0.068
ˈaː	ˈaʊ̯	0.066
ˈe	ˈɪ	0.593
ˈe	ˈɛ	0.217
ˈe	ˈœ	0.127
ˈe	ˈaː	0.063
ˈeə̯	ˈɔʏ̯	0.752
ˈeə̯	ˈae̯	0.178
ˈeə̯	ˈɛ	0.069
ˈeː	ˈyː	0.24
ˈeː	ˈøː	0.24
ˈeː	ˈae̯	0.137
ˈeː	ˈaɪ̯	0.129
ˈeː	ˈɔʏ̯	0.098
ˈeː	ˈeː	0.059
ˈeː	ˈɪ	0.059
ˈi	ˈɪ	0.663
ˈi	ˈiː	0.139
ˈi	ˈae̯	0.074
ˈi	ˈɛ	0.074
ˈi	ˈœː	0.05
ˈiə̯	ˈae̯	0.749
ˈiə̯	ˈɔʏ̯	0.251
ˈiː	ˈaɪ̯	0.28
ˈiː	ˈɔʏ̯	0.275
ˈiː	ˈœː	0.17
ˈiː	ˈɛː	0.131
ˈiː	ˈɪ	0.101
ˈo	ˈʊ	0.63
ˈo	ˈɔ	0.159
ˈo	ˈɒː	0.107
ˈoː	ˈaʊ̯	0.444
ˈoː	ˈɒː	0.327
ˈoː	ˈɔ	0.105
ˈoː	ˈuː	0.053
ˈu	ˈʏ	0.394
ˈu	ˈɔ	0.269
ˈu	ˈʊ	0.17
ˈu	ˈœ	0.075
ˈu	ˈœː	0.053
ˈuə̯	ˈaʊ̯	0.785
ˈuə̯	ˈɔʏ̯	0.215
ˈuː	ˈaʊ̯	0.778
ˈuː	ˈuː	0.222
ˈɔ	ˈɔ	0.457
ˈɔ	ˈɒː	0.2
ˈɔ	ˈuː	0.181
ˈɔ	ˈɔʏ̯	0.12
ˈɔe̯	ˈae̯	0.923
ˈɔe̯	ˈɪ	0.077
ˈɔə̯	ˈaʊ̯	1.0
ˈɔː	ˈɒː	0.543
ˈɔː	ˈoː	0.256
ˈɔː	ˈɛː	0.11
ˈɔː	ˈa	0.091
ˈəi̯	ˈiː	0.603
ˈəi̯	ˈyː	0.241
ˈəi̯	ˈɪ	0.156
ˈɛ	ˈɛ	0.396
ˈɛ	ˈiː	0.217
ˈɛ	ˈɛː	0.129
ˈɛ	ˈa	0.099
ˈɛ	ˈɪ	0.085
ˈɛ	ˈʏ	0.074
ˈɛː	ˈɒː	0.332
ˈɛː	ˈɛ	0.281
ˈɛː	ˈoː	0.186
ˈɛː	ˈɛː	0.12
ˈɛː	ˈɛɪ̯	0.081
ˈɪ	ˈɪ	0.73
ˈɪ	ˈʏ	0.27
ˈʌ	ˈiː	0.671
ˈʌ	ˈaː	0.329
