Proto-Germanic	Proto-Germanic	probability
β_ɑ	ʋ	1.0
ˈɛː	ˈoː	1.0
ˈɑː	ˈoː	1.0
ˈɑi̯_w	ˈøː	1.0
ˈɑ_ŋ	ˈɑ	1.0
ˈɑ_ð	ˈɑː	1.0
ˈu_ŋ	ˈʉ	1.0
ˈĩː	ˈɛ	1.0
ˈiː_n	ˈiː_n	1.0
ˈiː	ˈiː	1.0
ˈi_ŋ	ˈɪ	1.0
ˈeː	ˈeː	1.0
ˈe_w	ˈeː	1.0
ɸ	f	1.0
ɣ_ɑ	ɡ	1.0
ɣ_j	ɡː	1.0
ɡʷ	j	1.0
ɡ	ŋː	1.0
ɔ̃ː	e	1.0
ɔːu̯	e	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑː_n	ɑ	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ɑ	1.0
ɑ_l	l	1.0
ŋ_k	ʰkː	1.0
ŋ	ɲ	1.0
z_#>	#>	1.0
z	-	1.0
x_t	ʰtː	1.0
u_n_#>	ˈiː_#>	1.0
t_ɑ	t	1.0
t_i	t	1.0
sː	ɾ_s	1.0
s_ˈe	ʂ	1.0
s_w	s	1.0
s_k	ʂ	1.0
s_#>	#>	1.0
r_ɑ	ɾ	1.0
r_n	ɾ_n	1.0
r_#>	ɾ_#>	1.0
pː	ʰpː	1.0
nː	nː	1.0
n_θ	nː	1.0
n_ɑ̃_#>	#>	1.0
n_ɑ	n	1.0
n_s	sː	1.0
n_d	nː	1.0
mː	m_j	1.0
m_ɑ	m	1.0
lː	lː	1.0
l_θ	lː	1.0
l_ɑ	l	1.0
l_d	lː	1.0
kː	-	1.0
k_ɑ	k	1.0
k_s	k	1.0
k_i	k	1.0
jː	ɡː	1.0
j_ɔ̃ː_#>	ə_#>	1.0
j	-	1.0
iː	-	1.0
i_ɸ	ʋ	1.0
e	-	1.0
b	b	1.0
a	ŋ	1.0
<#_ɣ	<#_ɡ	1.0
<#_x	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_ç	1.0
#>	e_#>	1.0
r	ɾ	0.923
s	s	0.909
m	m	0.909
d	d	0.9
l	l	0.862
ˈuː	ˈʉː	0.857
ð	-	0.842
p	p	0.818
i	-	0.815
ˈɑi̯	ˈæɪ̯	0.769
x	h	0.769
u	-	0.765
t	t	0.75
n	n	0.679
ˈɔː	ˈuː	0.667
ɣ	ɡ	0.615
<#_w	<#_ʋ	0.611
β	ʋ	0.6
ɔːː	e	0.6
xʷ	kʰ_ʋ	0.6
ˈɑu̯	ˈæʉ̯	0.562
ˈɑ	ˈɑ	0.511
θ	tʰ	0.5
ˈɑ_x	ˈɔ	0.5
ˈɑ_x	ˈoː	0.5
ˈeu̯	ˈʉː	0.5
ˈeu̯	ˈyː	0.5
ɛː	e	0.5
ɛː	-	0.5
kʷ	kʰ	0.5
kʷ	-	0.5
<#_ˈɑi̯	<#_ˈɛ	0.5
<#_ˈɑi̯	<#_ˈæɪ̯	0.5
ɑ	-	0.462
w	-	0.462
β	-	0.4
ˈi	ˈɪ	0.4
xʷ	-	0.4
k	kʰ	0.389
<#_w	<#	0.389
ˈu	ˈʉ	0.385
ɣ	j	0.385
w	ʋ	0.385
θ	-	0.346
ˈɔː	ˈøː	0.333
k	k	0.333
ɑ	ɑ	0.308
ˈɑu̯	ˈœʏ̯	0.25
ˈɑ	ˈɑː	0.244
u	e	0.235
ˈe	-	0.233
ˈɑi̯	ˈoː	0.231
ˈu	ˈʏ	0.231
ɑ	e	0.231
x	-	0.231
ˈi	ˈiː	0.2
ˈe	ˈɛ	0.2
ɔːː	ɑ	0.2
ɔːː	n	0.2
ˈɑu̯	-	0.188
i	ɾ	0.185
p	pʰ	0.182
ˈu	ˈɔ	0.179
ˈe	ˈeː	0.167
k	ɡ	0.167
ˈi	ˈɛ	0.16
ð	d	0.158
ˈɑ	ˈɛ	0.156
t	ʰtː	0.156
w	v	0.154
ˈuː	-	0.143
n	-	0.143
ˈi	ˈeː	0.12
ˈi	-	0.12
k	ç	0.111
n	ə_n	0.107
ˈu	ˈʊ	0.103
ˈe	j	0.1
d	-	0.1
t	-	0.094
m	mː	0.091
θ	ç	0.077
θ	d	0.077
r	-	0.077
n	nː	0.071
l	lː	0.069
l	j	0.069
ˈe	ˈʏ	0.067
ˈe	ˈæː	0.067
ˈe	ˈoː	0.067
ˈe	j_ˈœ	0.067
s	ʂ	0.055
ˈu	ˈœ	0.051
ˈu	ˈuː	0.051
