Middle High German	Old High German	probability
ˈɛ	ˈɛ	1.0
ˈɑː	ˈɑː	1.0
ˈɑ_r	ˈɑ_r	1.0
ˈɑ	ˈɑ	1.0
ˈøː	ˈoː	1.0
ˈøy̯	ˈou̯	1.0
ˈæː	ˈɑː	1.0
ˈyə̯	ˈuo̯	1.0
ˈy	ˈu	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈuo̯	1.0
ˈu	ˈu	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈou̯	1.0
ˈo	ˈo	1.0
ˈiː	ˈiː	1.0
ˈi	ˈi	1.0
ˈeː	ˈeː	1.0
ˈei̯	ˈei̯	1.0
ˈe	ˈe	1.0
ʦː	ʦː	1.0
ʦ	ʦ	1.0
ʃː	s_k	1.0
ɡ	ɡ	1.0
ɛ	ɛ	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
xː	xː	1.0
x	x	1.0
w_ə	w_ɑ	1.0
w	w	1.0
tː	tː	1.0
t	t	1.0
s̻ː	s̻ː	1.0
s̻	s̻	1.0
s_ˈɑ	s_ˈɑ	1.0
s	s	1.0
rː	rː	1.0
r_n	r_n	1.0
p͡f	p͡f	1.0
p	p	1.0
oː	oː	1.0
ou̯	ou̯	1.0
nː	nː	1.0
n_ə	n_i	1.0
n	n	1.0
mː	mː	1.0
m_ə	m_o	1.0
m	m	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
i	ɑ	1.0
h	h	1.0
fː	fː	1.0
f_ə	f_ɑ	1.0
d̥	t	1.0
d	d	1.0
b	b	1.0
v	f	0.98
r	r	0.943
ˈiə̯	ˈio̯	0.892
ˈyː	ˈiu̯	0.824
f	f	0.791
ə	ɑ	0.597
ʃ	s	0.508
ʃ	s_k	0.492
f	i_f	0.209
ˈyː	-	0.176
ə	e	0.139
ə	i	0.117
ˈiə̯	ˈie̯	0.108
r	r_i	0.057
