Gothic	German	probability
a	ə	0.71
a	-	0.238
aː	-	1.0
b	b	0.947
d	tʰ	0.642
d	-	0.2
d	t	0.158
e	ə	1.0
f	f	0.965
h	h	0.646
h	x	0.135
h	ŋ	0.085
i	-	0.933
i	ɐ	0.067
iː	-	0.918
iː	ɐ	0.082
j	-	0.325
j	ˈɔʏ̯	0.287
j	ʁ	0.221
j	j	0.168
k	kʰ	0.372
k	ç	0.355
k	-	0.181
k	k	0.091
kʷ	ʁ	1.0
l	l	1.0
lː	l	1.0
m	m	0.847
m	n	0.124
n	n	0.953
nː	n	1.0
oː	ə	0.594
oː	ɐ	0.333
oː	-	0.073
p	f	0.765
p	p͡f	0.235
r	ɐ	0.555
r	ʁ	0.433
s	-	0.744
s	z	0.097
s	ʃ	0.09
s	s	0.068
t	s	0.403
t	ʦ	0.344
t	t	0.243
u	-	0.636
u	ə	0.364
w	v	0.968
x	ç	0.669
x	k	0.331
z	-	0.67
z	ʃ	0.33
ð	t	0.971
ŋ	ŋ	0.81
ŋ	n	0.19
ɔː	-	1.0
ɡ	ɡ	0.843
ɡ	-	0.157
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	ç	0.534
ɣ	ɡ	0.466
ʍ	v	0.891
ʍ	-	0.109
ˈa	ˈa	0.702
ˈa	ˈaː	0.138
ˈa	ˈɛ	0.101
ˈeː	ˈaː	0.376
ˈeː	ˈoː	0.317
ˈeː	ˈiː	0.252
ˈeː	ˈa	0.055
ˈi	ˈɪ	0.663
ˈi	ˈeː	0.086
ˈi	ˈʏ	0.07
ˈi	ˈaʊ̯	0.052
ˈiu̯	ˈiː	0.408
ˈiu̯	ˈɔʏ̯	0.333
ˈiu̯	-	0.244
ˈiː	ˈaɪ̯	0.761
ˈiː	ˈiː	0.142
ˈiː	ˈɪ	0.097
ˈoː	ˈuː	0.75
ˈoː	ˈɔʏ̯	0.25
ˈu	ˈʊ	0.49
ˈu	ˈɔ	0.135
ˈu	ˈœ	0.104
ˈu	ˈoː	0.089
ˈu	ˈaː	0.078
ˈu	ˈaʊ̯	0.058
ˈuː	ˈaʊ̯	0.568
ˈuː	ˈʊ	0.289
ˈuː	ˈuː	0.143
ˈɔ	ˈɔ	0.685
ˈɔ	ˈʊ	0.154
ˈɔ	ˈoː	0.124
ˈɔː	ˈoː	0.465
ˈɔː	ˈøː	0.285
ˈɔː	ˈaʊ̯	0.186
ˈɔː	ˈɔ	0.064
ˈɛ	ˈɛ	0.769
ˈɛ	ˈɛː	0.169
ˈɛ	ˈeː	0.063
ˈɛː	ˈaɪ̯	0.828
ˈɛː	ˈɛ	0.071
ˈɛː	ˈa	0.051
β	b	0.961
θ	d	0.627
θ	t	0.283
θ	-	0.076
