Belarusian	Czech	probability
ˈɵ_r	ˈr̩	1.0
ˈɵ	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈæ_#>	ɛ_#>	1.0
ˈu	ˈu	1.0
ˈo_w	ˈl̩	1.0
ˈo_#>	o_#>	1.0
ʦ	ʦ	1.0
ʐ	ʒ	1.0
ʂ	ʃ	1.0
ɫ_a	ˈɛː	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɨ	iː	1.0
ɣ_ˈo	ɦ	1.0
ɣ	ɦ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
x	x	1.0
w	f	1.0
u	ˈu	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
lʲ_#>	l_#>	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
i	iː	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
<#_lʲ	<#_l	1.0
<#_a	<#_ˈo	1.0
ˈa	a	0.867
ʦʲ	t	0.81
m	m	0.778
æ	ˈɛ	0.75
v	v	0.733
ˈɨ	ˈɪ	0.667
ʧ	ʧ	0.667
ʣʲ	d	0.667
vʲ	v	0.636
ˈi	ˈɪ	0.6
e	ɛ	0.6
ˈe	ˈɛ	0.579
r	r	0.571
ˈæ	ˈɛ	0.5
ˈæ	ˈa	0.5
ʌ	l	0.5
ʌ	-	0.5
nʲ	ɲ	0.5
nʲ	n	0.5
ˈo	ˈo	0.419
ˈi	ɪ	0.4
e	-	0.4
vʲ	v_j	0.364
ˈɨ	ˈiː	0.333
ʧ	ʦ	0.333
ʣʲ	ɟ	0.333
v	-	0.267
a	o	0.262
æ	ɛ	0.25
r	r̝	0.25
m	m̩	0.222
ˈe	ˈiː	0.211
ʦʲ	c	0.19
ˈo	ˈuː	0.161
a	ˈo	0.143
a	ɛ	0.143
a	a	0.143
ˈa	ˈa	0.133
ˈo	ˈɛ	0.129
a	-	0.119
r	r̝̊	0.107
ˈe	ˈɛː	0.105
ˈe	j	0.105
ˈo	l	0.097
r	ˈr̩	0.071
a	ˈɛ	0.071
a	ˈa	0.071
ˈo	ˈaː	0.065
ˈo	ˈa	0.065
ˈo	ɛ	0.065
