East Frisian Low Saxon	East Frisian Low Saxon	probability
ˈʏə̯	ˈi	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɪ_n	n	1.0
ˈɛːɪ̯_#>	#>	1.0
ˈɑːʊ̯	ˈau̯	1.0
ˈɑː_ɐ	ˈɑ	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈu	1.0
ˈœy̯_n	ˈĩː	1.0
ˈœy̯	ˈiː	1.0
ˈøːø̯	-	1.0
ˈøː_n	ˈõː	1.0
ˈøy̯	ˈu	1.0
ˈæːɪ̯	ˈeː	1.0
ˈæː	ˈiː	1.0
ˈæɪ̯_n	ˈãː	1.0
ˈyː	ˈoi̯	1.0
ˈuːu̯	-	1.0
ˈeːe̯	ˈɛ_d̥	1.0
ˈeː_ɡ	ˈoĩ̯	1.0
ʊ	-	1.0
ɫ	l	1.0
ɑɪ̯	ɛː	1.0
ɐ_m	m	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
w	v	1.0
v̥	b̥	1.0
v	v	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r	ʀ	1.0
n_ˈɒː	n	1.0
n_n	n_ə	1.0
n_#>	#>	1.0
l	l	1.0
k_n	ɡ̊_ə	1.0
j	-	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ˈɪ	d̥_ˈi	1.0
ˈɪ	ˈi	0.905
m	m	0.87
ˈʊ	ˈu	0.778
ˈɑʊ̯	ˈuː	0.778
ˈøː	-	0.75
ˈuː	ˈau̯	0.75
d	d̥	0.75
ɣ̊	ʃ	0.714
ˈʏ	ˈi	0.667
ˈɑːɑ̯	-	0.667
ˈeː	-	0.625
ˈœ	-	0.6
b	b̥	0.6
n	n	0.574
χ	ʃ	0.571
ˈiː	ˈai̯	0.571
p	f	0.571
ɐ	æ̆	0.568
ˈɛ	-	0.556
ˈɛːɪ̯	ˈeː	0.5
ˈɛːɪ̯	ˈai̯	0.5
ˈɒːɒ̯	ˈɑː	0.5
ˈɒːɒ̯	-	0.5
ˈɑ	ˈɑ	0.5
ˈæɪ̯	ˈiː	0.5
ɣ̊_#>	k_#>	0.5
ɣ̊_#>	#>	0.5
k	kʰ	0.458
ˈɒː	ˈɑː	0.455
ˈɛ	ˈɛ	0.444
χ	x	0.429
ˈɔ	ˈo	0.429
ɡ	ɡ̊	0.429
n	ə	0.426
ˈœ	ˈo	0.4
b	p	0.4
ɐ	ɐ	0.378
ˈeː	ˈɛ	0.375
ˈʏ	-	0.333
ˈɑːɑ̯	ˈa	0.333
ˈɑː	ˈɑː	0.333
ˈɑː	ˈæ	0.333
ˈɑː	-	0.333
ˈæɪ̯	ˈaː	0.333
s	ʃ	0.333
s	s	0.333
ˈoː	ˈoː	0.294
ˈɔ	ˈu	0.286
ˈɔ	-	0.286
ˈiː	-	0.286
ɣ̊	x	0.286
t	t	0.279
ˈɒː	ˈa	0.273
t	ʦ	0.256
ˈɑ	ˈa	0.25
ˈøː	ˈaː	0.25
ˈuː	-	0.25
d	t	0.25
ɡ	ɣ̊	0.238
ˈoː	ˈɔ	0.235
ˈoː	ˈaː	0.235
t	s	0.233
ˈʊ	ˈo	0.222
ˈɑʊ̯	-	0.222
p	v̥	0.214
ˈɒː	ˈoː	0.182
ˈoː	-	0.176
ˈæɪ̯	-	0.167
s	ʒ̊	0.167
s	k_s	0.167
k	x	0.167
ˈɑ	ˈɑː	0.15
ˈiː	ˈɑ̃i̯	0.143
ɡ	k	0.143
p	p	0.143
m	m_ə	0.13
k	ʃ	0.125
k	k	0.125
k	-	0.125
t	z̥	0.116
ˈɑ	-	0.1
ˈɪ	ˈai̯	0.095
ɡ	ʒ̊	0.095
ɡ	j	0.095
ˈɒː	ˈɛ̃ː	0.091
p	pʰ	0.071
t	d̥	0.07
ˈoː	oː	0.059
ɐ	i	0.054
