Corsican	Corsican	probability
ʧː	-	1.0
ʦː	ʦ	1.0
ʤ	-	1.0
ʣ	ʣ	1.0
ʒ	ʃ	1.0
ʎ_u_#>	ʎ_#>	1.0
ʎ	ʎ	1.0
ʃː	ʃ_t	1.0
ʃ	s	1.0
w	-	1.0
v_e	w_ə	1.0
u_#>	#>	1.0
sː_u_#>	s_#>	1.0
s_ˈe	ʃ_ˈa	1.0
rː	r	1.0
r_t	r_t	1.0
r_a	r_ˈa	1.0
o	u	1.0
nː	n	1.0
n_u_#>	n_#>	1.0
n_t	m_t	1.0
n	n	1.0
mː	m	1.0
lː_u_#>	l_#>	1.0
lː	-	1.0
l_u_#>	r_#>	1.0
kː_a	k_ə	1.0
k_u_#>	k_#>	1.0
k_r	k_r	1.0
i_d	i_d	1.0
e_#>	#>	1.0
c	k_ʎ	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
#>	i_#>	1.0
s	s	0.909
k	k	0.897
t	t	0.88
ˈu	ˈu	0.857
r	r	0.854
ʧ	ʦ	0.833
e	i	0.83
p	p	0.808
a	ə	0.765
ˈi	ˈi	0.75
d	d	0.722
m	m	0.7
i	i	0.692
u	u	0.682
ɡ	ɡ	0.667
tː	p_t	0.667
f	f	0.643
ɟ	ʣ	0.6
ŋ	n	0.6
<#_a	<#_a	0.6
ɲ	-	0.571
j	l	0.545
ˈa	ˈa	0.512
ˈo	ˈu	0.5
l	r	0.5
l	l	0.5
ˈe	ˈe	0.429
ɲ	ɲ	0.429
<#	<#_a	0.429
ɟ	ʤ	0.4
ŋ	ŋ	0.4
<#_a	<#	0.4
f	ç	0.357
ˈɛ	e̯ˈa	0.333
ɡ	-	0.333
v	j	0.333
tː	t	0.333
ˈɔ	ˈu	0.325
i	-	0.308
ˈɔ	ˈo	0.3
ˈo	ˈo	0.3
ˈe	e̯ˈa	0.286
ˈe	-	0.286
v	v	0.286
<#	<#_ʦ	0.286
<#	<#_ʣ	0.286
d	ʣ	0.278
j	j	0.273
ˈɛ	ˈi	0.262
ˈa	ˈɨ	0.256
ˈɔ	o̯ˈa	0.25
ˈɛ	ˈe	0.238
v	-	0.238
u	i	0.205
ˈo	o̯ˈa	0.2
m	ɲ	0.2
p	k	0.192
j	-	0.182
ʧ	ʧ	0.167
ˈa	ˈa_r	0.163
ˈu	-	0.143
a	i	0.137
ˈi	ˈə	0.125
ˈi	-	0.125
t	ʦ	0.12
ˈɛ	-	0.119
k	-	0.103
m	-	0.1
v	w	0.095
s	ʃ	0.091
e	ə	0.085
e	e	0.085
ˈɔ	u	0.075
ˈa	e̯ˈa	0.07
u	ə	0.068
a	-	0.059
