Westphalian	West Flemish	probability
b	b	0.922
b	p	0.078
d	t	0.468
d	d	0.465
d	-	0.064
f	v	0.876
f	f	0.116
h	-	0.874
h	z	0.124
j	j	1.0
k	k	0.939
k	-	0.055
k	ɦ	0.038
l	l	0.865
l	w	0.063
l	-	0.041
l	n	0.04
m	m	0.903
m	n	0.093
n	n	0.92
n	-	0.079
p	p	0.869
p	f	0.118
r	ɾ	1.0
s	z	0.523
s	s	0.473
t	t	0.976
t	d	0.035
v	v	0.752
v	ʋ	0.188
w	ʋ	1.0
x	ɦ	0.589
x	h	0.407
z	s	0.644
z	z	0.25
ç	h	0.714
ç	-	0.173
ç	ç	0.093
ŋ	ŋ	0.815
ŋ	-	0.1
ŋ	n	0.083
ɐ	ɾ	1.0
ə	ə	0.558
ə	-	0.44
ɡ	ɦ	1.0
ɣ	ɦ	1.0
ɪ	ə	0.561
ɪ	m	0.425
ʃ	s	0.58
ʃ	ʃ	0.245
ʃ	z	0.171
ʃ_k	s	1.0
ˈa	ˈɑ	0.752
ˈa	ˈɒː	0.074
ˈa	ˈɔ	0.056
ˈa	ˈæ	0.056
ˈa	ˈɛː	0.056
ˈaɪ̯	ˈiə̯	0.763
ˈaɪ̯	w	0.089
ˈaɪ̯	ˈɛː	0.072
ˈaɪ̯	ˈɒː	0.07
ˈaʊ̯	ˈoː	0.752
ˈaʊ̯	ˈuə̯	0.095
ˈaʊ̯	ˈɑ	0.078
ˈaʊ̯	ˈu	0.077
ˈaː	ˈɒː	0.603
ˈaː	ˈɑ	0.389
ˈeː	ˈɛː	0.768
ˈeː	ˈiə̯	0.149
ˈeː	ˈeː	0.077
ˈiɛ̯	ˈɔ	0.512
ˈiː	ˈi	0.701
ˈiː	ˈiə̯	0.152
ˈiː	ˈyː	0.08
ˈiː	ˈœ	0.065
ˈoː	ˈuə̯	1.0
ˈuə̯	ˈøː	0.338
ˈuə̯	ˈuə̯	0.338
ˈuː	ˈyː	0.758
ˈuː	ˈu	0.19
ˈuːə̯	ˈɔ_ɾ	0.384
ˈuːə̯	ˈɔ	0.291
ˈuːə̯	ˈøː	0.171
ˈuːə̯	ˈoː	0.074
ˈyː	ˈiə̯	0.562
ˈyː	ˈoː	0.239
ˈyː	ˈyː	0.162
ˈyːœ̯	ˈoː	1.0
ˈø	ˈiə̯	0.263
ˈøː	ˈuə̯	0.761
ˈøː	ˈoː	0.232
ˈœː	ˈoː	0.644
ˈœː	ˈɒː	0.25
ˈɒː	ˈɒː	1.0
ˈɔ	ˈɔ	0.683
ˈɔ	ˈoː	0.231
ˈɔ_l	ˈu	1.0
ˈɔː	ˈɒː	0.792
ˈɔː	ˈoː	0.206
ˈɛ	ˈæ	0.424
ˈɛ	ˈɛ	0.29
ˈɛ	ˈœ	0.102
ˈɛ	ˈɪ	0.08
ˈɛ	ˈɑ	0.077
ˈɛː	ˈɑ	0.392
ˈɛː	ˈæ	0.231
ˈɛː	ˈɛː	0.231
ˈɪ	ˈɪ	0.563
ˈɪ	ˈɛ	0.238
ˈɪ	ə	0.081
ˈɪ	ˈiə̯	0.068
ˈɪ	-	0.056
ˈɪə̯	ˈeː	0.841
ˈɪə̯	ˈøː	0.114
ˈɪɛ̯	ˈeː	0.509
ˈɪɛ̯	ˈæ	0.207
ˈɪɛ̯	ˈæ_ɾ	0.18
ˈɪɛ̯	ˈiə̯	0.076
ˈʊ	ˈu	0.445
ˈʊ	ˈœ	0.311
ˈʊ	ˈyː	0.23
ˈʏ	ˈœ	0.723
ˈʏ	ˈu	0.213
