Bokmål Norwegian	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.881
d	-	0.066
d	t	0.053
f	f	0.952
h	h	1.0
i	e	0.902
i	ɑ	0.098
j	j	0.644
j	ɡ	0.212
j	-	0.117
k	k	0.818
k	ɕ	0.131
k	-	0.052
kʰ	kʰ	1.0
kː	ʰkː	0.677
kː	ɕː	0.323
l	l	0.957
lː	lː	0.604
lː	l	0.328
lː	ɾ	0.068
m	m	1.0
mː	m	0.936
mː	mː	0.064
n	n	0.957
nː	nː	0.631
nː	d	0.261
nː	n	0.108
p	p	1.0
pʰ	pʰ	1.0
pː	ʰpː	1.0
s	s	0.911
s	ʃ	0.089
sː	s	0.904
sː	sː	0.096
t	t	0.955
tʰ	tʰ	0.914
tʰ	ɕ	0.086
tː	ʰtː	0.537
tː	t	0.225
tː	tː	0.161
tː	ɕː	0.077
ŋ	ŋ	1.0
ŋː	ŋː	0.888
ŋː	ɲ	0.112
ɕ	ɕ	1.0
ə	e	0.422
ə	ɑ	0.415
ə	ə	0.07
ɡ	ɡ	0.968
ɡː	ɡː	0.749
ɡː	jː	0.251
ɪ	ɪ	1.0
ɳ	ɾ_n	0.937
ɳ	nː	0.063
ɾ	ɾ	0.971
ʂ	ʃ	0.789
ʂ	s	0.211
ʃ	ʃ	1.0
ʈ	t	1.0
ʈː	t	1.0
ʋ	ʋ	0.835
ʋ	-	0.131
ˈeː	ˈeː	0.707
ˈeː	ˈæɪ̯	0.17
ˈeː	ˈoː	0.074
ˈiː	ˈiː	0.863
ˈiː	ʋ	0.121
ˈoː	ˈoː	0.985
ˈuː	ˈuː	0.72
ˈuː	ˈʊ	0.242
ˈyː	ˈyː	0.672
ˈyː	ˈʉː	0.224
ˈyː	ˈɛ	0.066
ˈæ	ˈæ	0.663
ˈæ	ˈeː	0.337
ˈæɪ̯	ˈæɪ̯	0.472
ˈæɪ̯	ˈeː	0.333
ˈæɪ̯	ˈɛ	0.154
ˈæː	ˈæː	0.552
ˈæː	ˈøː	0.338
ˈæː	ˈeː	0.072
ˈøː	ˈøː	0.456
ˈøː	ˈæʉ̯	0.315
ˈøː	ˈœʏ̯	0.181
ˈœ	ˈʏ	0.242
ˈœ	ˈøː	0.201
ˈœ	ˈœʏ̯	0.164
ˈœ	ˈɔ	0.164
ˈœ	ˈæʉ̯	0.105
ˈœ	ˈœ	0.075
ˈœʏ̯	ˈœʏ̯	1.0
ˈɑ	ˈɑ	0.953
ˈɑː	ˈɑː	0.929
ˈɑː	ˈɑ	0.071
ˈɔ	ˈɔ	0.717
ˈɔ	ˈʉ	0.142
ˈɔ	ˈoː	0.11
ˈɛ	ˈɛ	0.76
ˈɛ	ˈæɪ̯	0.11
ˈɛ	ˈœ	0.072
ˈɪ	ˈɪ	0.853
ˈɪ	ˈɛ	0.064
ˈʉ	ˈʉ	1.0
ˈʉː	ˈʉː	0.865
ˈʉː	ˈeː	0.051
ˈʊ	ˈɔ	0.518
ˈʊ	ˈʊ	0.482
ˈʏ	ˈʏ	0.951
