Italian	Aragonese	probability
bː	-	1.0
kː	k	1.0
mː	m	1.0
nː	ɲ	1.0
rː	r	1.0
s	s	1.0
u	-	1.0
z	s	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʎː	ʎ	1.0
ʧː	-	1.0
ˈe	ˈe	1.0
k	k	0.881
tː	j	0.191
ˈɔ	w_ˈe	0.461
ˈɛ	ˈe	0.61
e	a	0.062
lː	l	0.152
r	-	0.122
t	ð	0.402
tː	t	0.632
ɡ	ɣ	0.312
ˈo	w_ˈe	0.142
ˈɔ	ˈe	0.272
d	-	0.123
l	l	0.903
o	-	0.053
r	ɾ	0.793
v	β	0.343
ˈo	ˈo	0.743
ˈɔ	ˈo	0.173
b	β	0.104
d	d	0.664
f	f	0.944
i	i	0.174
n	n	0.914
p	p	0.794
ʤ	-	0.084
ˈi	ˈi	0.954
ˈɔ	ˈu	0.094
e	ˈe	0.195
j	-	0.225
o	o	0.905
r	r	0.085
w	-	0.145
w	w	0.855
ˈo	ˈu	0.115
ˈu	w	0.075
d	ð	0.086
f	f_j	0.056
j	j	0.246
n	-	0.086
p	β	0.206
ʤ	ʧ	0.916
b	b	0.87
d	t	0.127
k	ɣ	0.07
m	m	0.97
tː	j_t	0.177
v	b	0.657
ʧ	θ	0.97
ˈa	ˈa	0.927
i	-	0.368
i	e	0.458
lː	ʎ	0.848
t	t	0.598
ɡ	ɡ	0.688
ˈu	ˈu	0.88
a	a	0.949
e	j	0.059
e	ɾ_e	0.079
e	-	0.109
e	e	0.459
j	l	0.529
ˈɛ	j_ˈe	0.39
