Slovak	Czech	probability
b	b	1.0
d	d	1.0
iː	iː	1.0
j	j	1.0
k	k	1.0
l	l	1.0
n	n	1.0
p	p	1.0
s	s	1.0
t	t	1.0
v	v	1.0
z	z	1.0
ɦ	ɦ	1.0
ɫ	l	1.0
ʃ	ʃ	1.0
ʊ̯ˈɔ	ˈuː	1.0
ʎ	l	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈaː	ˈaː	1.0
ˈr̩	ˈr̩	1.0
ˈu	ˈu	1.0
ˈuː	ˈou̯	1.0
a	a	0.881
ɪ̯ˈɛ	ˈɛː	0.201
ˈɫ̩	l_ˈu	0.671
ɟ	ɟ	0.332
m	m_ɲ	0.213
ɲ	n	0.903
ˈi	ˈiː	0.33
ˈɔ	ˈo	0.913
ˈɛ	ˈɛ	0.873
c	t	0.734
i	iː	0.784
r	r̝̊	0.14
r	r	0.634
x	x	0.974
ʋ	v_j	0.274
ɪ̯ˈɛ	ˈiː	0.385
ɪ̯ˈɛ	ˈɛ	0.415
c	c	0.266
i	ɪ	0.216
r	r̝	0.226
ʋ	v	0.726
ˈa	ˈaː	0.156
m	m	0.787
ɲ	ɲ	0.097
ˈa	ˈɛ	0.287
ˈa	ˈa	0.557
ˈi	ˈɪ	0.67
ˈɔ	ˈuː	0.087
ˈɛ	ˈɛː	0.127
ɛ	ɛ	0.988
ɟ	d	0.668
a	ɛ	0.119
ɔ	o	0.989
ˈɫ̩	ˈl̩	0.329
