Middle High German	West Flemish	probability
ˈɛ_h	ˈiə̯	1.0
ˈɑː	ˈɒː	1.0
ˈɑ_l	ˈu	1.0
ˈøː	ˈoː	1.0
ˈæː	ˈɒː	1.0
ˈyə̯	ˈuə̯	1.0
ˈuə̯	ˈuə̯	1.0
ˈoː	ˈoː	1.0
ˈou̯	ˈoː	1.0
ˈiə̯	ˈiə̯	1.0
ˈe	-	1.0
ʦː	t	1.0
ʦ_ə	t_ə	1.0
ʦ	t	1.0
ʃː	s	1.0
ɡ_ə	ɦ	1.0
ɡ	ɦ	1.0
ɛ	iə̯	1.0
ə_r	ɾ	1.0
ə_n	n	1.0
ə_l	ə_l	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_s	s	1.0
x	h	1.0
w_ə	ʋ_ə	1.0
v	v	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ə	z̥	1.0
r	ɾ	1.0
p͡f	p	1.0
p	p	1.0
ou̯	ˈoː	1.0
nː	n	1.0
n_ˈɑ	n_ˈɒː	1.0
n_ə	n_ə	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i	ə	1.0
h	-	1.0
fː	p	1.0
d̥	d̥	1.0
d	d	1.0
b̥	v̥	1.0
w	ʋ	0.917
n	n	0.91
b	b	0.773
ˈuː	ˈyː	0.765
ˈyː	ˈiə̯	0.757
ˈɑ	ˈɑ	0.741
f	p	0.692
ˈiː	ˈi	0.683
l	l	0.681
s	z	0.651
ˈi	ˈɪ	0.646
ə	ə	0.646
r_ə	ɾ	0.548
ɡ̊	-	0.527
t_ə	d	0.516
kː_ə	k	0.512
ˈei̯	ˈɛː	0.507
ˈeː	ˈɛː	0.5
ˈeː	-	0.5
kː_ə	ɦ_ə	0.488
t_ə	d_ə	0.484
ˈy	ˈœ	0.46
r_ə	ɾ_ə	0.452
ˈo	ˈoː	0.445
ʃ	ʃ_h	0.431
t	t	0.424
ˈu	ˈɔ	0.417
ˈu	ˈu	0.401
ʃ	s	0.371
t	d	0.352
ɡ̊	k	0.348
ˈɛ	-	0.345
ˈɛ	ˈæ	0.338
l	w	0.319
ˈɛ	ˈeː	0.317
ˈiː	-	0.317
f	v_ə	0.308
ˈei̯	ˈeː	0.281
ˈy	ˈɪ	0.275
ˈy	ˈoː	0.265
s	s	0.254
ˈo	ˈɔ	0.248
ˈyː	ˈyː	0.243
ˈuː	-	0.235
b	v	0.227
t	d̥	0.224
ˈɑ	ˈɒː	0.219
ˈei̯	-	0.213
ˈi	-	0.202
ʃ	z	0.198
ˈo	ˈœ	0.186
ˈu	ˈøː	0.183
ə	-	0.181
ˈi	ˈæ	0.152
ə	n_ə	0.131
ɡ̊	ç	0.125
ˈo	-	0.122
s	z̥	0.095
n	-	0.09
w	-	0.083
