Čakavian	Lithuanian	probability
ʦ	-	1.0
ʒ	ɡʲ	1.0
ʃ	ɕ	1.0
ɲ	p	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
u	-	1.0
p	pʲ	1.0
oː	aː	1.0
n_oː	n	1.0
l_a	eː	1.0
i_̂	̂	1.0
eː_̂	ɛ	1.0
d̥	d_ɐ	1.0
c	k_tʲ	1.0
b̥	m_b	1.0
b	b	1.0
a_k	ʊ	1.0
aː	-	0.936
z	ʑ	0.874
k	k	0.766
ʧ	k	0.723
r̩	ɪ	0.669
̌	̂	0.667
x	-	0.667
ʋ	vʲ	0.654
i	ɪ	0.622
m	mʲ	0.574
l	ɫ	0.531
eː	-	0.524
n	n	0.517
r	r	0.49
eː	ɛ	0.476
l	lʲ	0.469
o	ɐ	0.446
m	m	0.426
r	rʲ	0.421
t	t	0.41
i	eː	0.378
d	d	0.366
̂	̌	0.357
̂	-	0.357
iː	uː	0.352
a	ɐ	0.352
s	ɕ	0.347
ʋ	v	0.346
t	-	0.337
d	dʲ	0.335
̌	̌	0.333
x	ʃ	0.333
r̩	ɪ_rʲ	0.331
s	ʃ	0.327
d	-	0.299
uː	ɐ	0.293
n	s	0.278
ʧ	bʲ	0.277
e	ɛ	0.273
e	-	0.273
e	ɪ	0.254
t	tʲ	0.253
a	uə̯	0.237
k	kʲ	0.234
o	æː	0.229
uː	ɪ_ɫ	0.225
o	aː	0.219
n	nʲ	0.206
uː	-	0.205
e	æː	0.2
s	sʲ	0.197
a	oː	0.172
iː	iː	0.17
uː	aʊ̯	0.169
iː	eː	0.166
̂	̂	0.143
iː	iə̯	0.14
iː	aɪ̯	0.14
s	s	0.129
z	ʒ	0.126
uː	ɛʊ̯	0.108
̂	ˈ	0.107
o	ɪ_ˈ	0.106
a	eː	0.1
a	-	0.099
r	rʲ_ɪ	0.088
aː	z	0.064
