Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈɛː	1.0
ˈɔ_l	ˈɑu̯	1.0
ˈœ	-	1.0
ˈøː	ˈøː	1.0
ˈuː_æ	ɾ	1.0
ˈoː_æ	ɾ	1.0
ˈeː	ˈɪə̯	1.0
ˈaɪ̯	ˈiː_z	1.0
ɾ	-	1.0
ɣ	x	1.0
ɡ̊	k	1.0
ç_#>	x_#>	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
w	ʋ	1.0
v	ʋ	1.0
s	s	1.0
pʰ	-	1.0
kʰ	k	1.0
f	v	1.0
d̥	d̥	1.0
d	d	1.0
b_m_#>	ˈɛː_#>	1.0
b	b	1.0
ae̯	iː	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
l	ɫ	0.952
ˈɒː	ˈɛː	0.889
r	ɾ	0.867
ˈa	ˈɑ	0.864
ɡ	x	0.818
p	p	0.818
ˈuː	ˈyː	0.8
m	m	0.786
v̥	v̥	0.778
ŋ	ŋ	0.75
t	t	0.737
ˈɛː	ˈeː	0.714
ˈɔ	ˈɔ	0.714
ɪ	ɪ	0.667
ç	x	0.667
j	x	0.667
ʃ	s	0.636
ˈʊ	ˈɔ	0.615
ˈɪ	ˈɪ	0.6
ˈɛ	ˈæ	0.6
ˈɔʏ̯	ˈuː	0.6
ˈœː	-	0.6
ˈyː	ˈiː	0.6
ˈiː	ˈi	0.6
k	k	0.6
ˈoː	ˈʊə̯	0.5
ˈoː	ˈɛː	0.5
ˈaː	ˈæ_ɾ	0.5
ˈaː	ɾ	0.5
ˈaʊ̯	ˈʊə̯	0.5
#>	w_#>	0.5
#>	k_#>	0.5
n	n	0.479
æ	ə_ɾ	0.424
ˈɛ	-	0.4
ˈɔʏ̯	-	0.4
ˈœː	ˈøː	0.4
ˈyː	-	0.4
k	k_ə	0.4
ˈae̯	ˈɪə̯	0.381
ˈae̯	ˈiː	0.381
ˈʏ	ˈɪ	0.333
ɪ	i	0.333
ç	ŋ_k	0.333
æ	ɾ	0.333
j	j	0.333
n	ə	0.31
ˈɛː	-	0.286
ˈɔ	ˈøː	0.286
ˈiː	ˈiː	0.267
ŋ	x_ə	0.25
ˈɪ	ˈi	0.24
ˈʊ	ˈu	0.231
ʃ	s_x	0.227
ˈʏ	ˈʏ	0.222
ˈʏ	ˈɔ	0.222
ˈʏ	ˈæ	0.222
v̥	-	0.222
ˈuː	ˈʊə̯_ɾ	0.2
ˈaʊ̯	ˈuː	0.2
ˈae̯	ˈæi̯	0.19
ɡ	x_ə	0.182
p	p_ə	0.182
ˈɪ	-	0.16
ˈʊ	ˈʏ	0.154
ˈaʊ̯	ˈu	0.15
ˈaʊ̯	-	0.15
ˈa	ˈɒː	0.136
ʃ	z	0.136
ˈiː	ˈyː	0.133
r	ˈɔ	0.133
t	t_ə	0.132
æ	ə	0.121
ˈɒː	-	0.111
n	n_d	0.099
n	n_ə	0.085
t	d̥	0.079
m	ə	0.071
m	v̥	0.071
m	v_ə	0.071
æ	ˈʊə̯_ɾ	0.061
æ	ɾ_ə	0.061
t	ɾ_t	0.053
