Friulian	Asturian	probability
c	k	1.0
o	o	1.0
p	p	1.0
u	-	1.0
ʤ	ʃ	1.0
ˈe	ˈe	1.0
ˈeː	ˈe	1.0
ˈoː	ˈo	1.0
ˈɛ	ˈe	1.0
b	β	0.221
d	-	0.131
f	f	0.861
l	l	0.331
t	t	0.371
v	b	0.71
ʧ	θ_j	0.061
ˈi	j_ˈe	0.161
ˈu	ˈu	0.921
a	a	0.682
d	ð	0.402
j	<#_a	0.122
l	ʎ_u	0.062
m	m_e	0.052
r	r	0.102
t	t_u	0.092
t	ʧ	0.102
t	-	0.182
ŋ	ɲ	0.112
ɡ	ɡ	0.532
j	ʝ	0.073
j	j	0.373
k	k	0.803
l	ʎ	0.373
n	n	0.973
r	ɾ	0.663
z	-	0.743
ŋ	n_u	0.323
ʧ	-	0.23
ˈaː	ˈa	0.463
ˈuː	ˈu	0.473
f	β_u	0.074
j	<#_e	0.284
t	ð	0.14
ɲ	ɲ	0.634
ˈa	ˈa	0.824
e	e	0.085
e	a	0.915
i	ˈe_ɾ	0.185
l	-	0.155
r	ɾ_u	0.065
s	θ	0.145
s	s	0.735
ˈi	ˈe	0.225
ˈi	ˈi	0.615
ˈiː	j_ˈe	0.225
ˈiː	ˈi	0.775
ˈo	-	0.215
ˈo	ˈu	0.225
ˈɔ	ˈo	0.365
ˈɔ	w_ˈe	0.635
f	β	0.066
i	e	0.446
r	ð_ɾ	0.056
t	t_e	0.096
w	-	0.166
w	w	0.726
ŋ	ŋ	0.536
ɲ	n	0.366
ˈo	ˈo	0.56
i	u	0.227
l	l_u	0.077
v	β	0.247
z	θ	0.257
ˈuː	ˈe	0.527
a	-	0.318
d	d	0.468
j	-	0.148
k	-	0.098
m	m	0.948
s	s_u	0.058
w	ˈo	0.108
ɡ	ɣ	0.408
ˈaː	a	0.068
ˈaː	ˈa_ɾ	0.468
b	b	0.779
i	-	0.059
k	k_u	0.099
ɡ	-	0.059
ʧ	θ	0.709
ˈa	ˈe	0.139
ˈu	-	0.079
