Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈɪ	ˈi	1.0
ˈœʏ̯	ˈaː	1.0
ˈæ	-	1.0
ˈuː_#>	ˈuɐ̯_d̥_#>	1.0
ʋ_#>	b̥_#>	1.0
ʈː	ɐ_ʦ	1.0
ʂ	ʃ	1.0
ɾ_ə	s	1.0
ɪ	ˈu_ŋ	1.0
ɡ_ə	ŋ	1.0
ɡ	ɡ̊	1.0
ə_ɾ	a	1.0
ə_n	eɐ̯	1.0
ə_#>	#>	1.0
ŋː	ŋ	1.0
ç	kʰ	1.0
tʰ	ʦ	1.0
t_ə	s_n	1.0
sː	s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
pː	f	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	f	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l_ˈøː	l	1.0
kː	ŋ_ɡ̊	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈøː	<#	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_tʰ	<#_d̥	1.0
<#_n	<#_n	1.0
n	n	0.9
k	x	0.8
t	s	0.75
l	l	0.741
ˈʏ	ˈu	0.714
lː	j	0.714
ˈæɪ̯	ˈoɐ̯	0.7
ˈyː	ˈiɐ̯	0.7
ˈɑː	ˈɒː	0.667
ˈɔ	ˈu	0.625
ʋ	ʋ	0.625
s	s	0.606
ˈʉ	ˈu	0.6
ə	a	0.556
nː	n_d̥	0.55
ˈæː	ˈe	0.5
ˈæː	-	0.5
ɳ	ɐ_n	0.5
ɳ	n	0.5
ˈʉː	ˈau̯	0.471
ˈiː	ˈai̯	0.467
ˈoː	-	0.444
tː	x_d̥	0.444
ˈuː	ˈuɐ̯	0.429
ˈɛ	ˈe	0.412
ɾ	r	0.4
ˈɔ	-	0.375
ˈeː	ˈeː	0.375
ˈeː	-	0.375
ˈɑ	ˈo	0.364
j	-	0.364
ˈøː	ˈeː	0.357
ˈuː	ˈo	0.357
ˈɑː	ˈɑ	0.333
ˈœ	-	0.333
ˈoː	ˈɒː	0.333
ɡː	ɡ̊_a	0.333
ɡː	ɡ̊	0.333
ɡː	-	0.333
tː	ʦ	0.333
s	ʃ	0.333
#>	ɡ̊_#>	0.333
ˈæɪ̯	-	0.3
ˈyː	ˈai̯	0.3
ˈʉː	-	0.294
ˈʏ	ˈi	0.286
ˈøː	ˈou̯	0.286
lː	j_d̥	0.286
#>	n_#>	0.278
j	h	0.273
l	j	0.259
ˈeː	ˈoɐ̯	0.25
ɾ	ɐ	0.25
t	d̥	0.25
nː	n	0.25
ˈɛ	ˈoɐ̯	0.235
ˈœ	ˈu	0.222
ˈœ	ˈaː	0.222
ˈœ	ʋ	0.222
ˈoː	ˈɑ	0.222
ə	n	0.222
tː	s	0.222
ˈøː	-	0.214
ˈuː	-	0.214
ˈʉ	ˈo	0.2
ˈʉ	ʋ_ˈo	0.2
ˈiː	ˈi	0.2
ˈiː	-	0.2
nː	-	0.2
k	ç	0.2
ˈɑ	ˈɑ	0.182
ˈɑ	ˈa	0.182
j	ˈe	0.182
j	ɡ̊	0.182
#>	a_#>	0.167
ˈøː	ˈuɐ̯	0.143
ˈɑ	ˈɒː	0.136
ˈɑ	ˈɑː	0.136
ˈiː	ˈai̯_d̥	0.133
ʋ	β	0.125
ʋ	m	0.125
ʋ	f	0.125
ɾ	d̥_a	0.125
ɾ	a	0.125
ˈʉː	ˈoː	0.118
ˈʉː	ˈiɐ̯	0.118
ˈɛ	ˈi	0.118
ˈɛ	ˈe_ɡ̊	0.118
ˈɛ	ˈai̯	0.118
ə	ə	0.111
#>	ŋ_#>	0.111
#>	b̥_#>	0.111
ɾ	ɐ_d̥	0.1
n	ɑ	0.1
s	d̥	0.061
ə	ŋ	0.056
ə	-	0.056
