Eastphalian	East Low German	probability
ˈʏ	ˈʏ	1.0
ˈʊ	ˈʊ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔʏ̯	ˈɔʏ̯	1.0
ˈɔ	ˈɔ	1.0
ˈœ	ˈœ	1.0
ˈøː	ˈɔʏ̯	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈeo̯	ˈaʊ̯	1.0
ˈaː	ˈaː	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈa_ɐ	ˈaː	1.0
ˈa	ˈa	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ_ə	ç	1.0
ɣ	ɡ	1.0
ɡ	-	1.0
ɐ_n	æ_n	1.0
ç	ç	1.0
z_ə	s	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v_n	m	1.0
v	v	1.0
t_n	t_n	1.0
r_ə	æ	1.0
r	r	1.0
p	p	1.0
m_n	m	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
b	b	1.0
n	n	0.959
ˈɛɪ̯	ˈae̯	0.92
ə	-	0.917
ˈɒː	ˈɒː	0.867
d	d	0.854
ŋ	ŋ	0.846
ɐ	æ	0.833
t	t	0.786
j	j	0.714
ˈeː	ˈɛː	0.667
k	k	0.562
s	ʃ	0.522
s	s	0.478
k	kʰ	0.438
ˈoː	ˈœː	0.429
ˈeː	ˈiː	0.333
ˈoː	ˈɒː	0.286
ˈoː	ˈuː	0.286
j	-	0.286
t	tʰ	0.179
ŋ	ŋ_k	0.154
ˈɒː	ˈoː	0.133
ɐ	ɾ_æ	0.111
ə	ç	0.083
d	t	0.083
ˈɛɪ̯	ˈiː	0.08
d	ɾ	0.062
ɐ	-	0.056
