Asturian	Megleno-Romanian	probability
ˈu	ˈu	1.0
ˈe_β	w	1.0
ˈe_u	k	1.0
ʧ	p_t	1.0
ʝ_a	ˈɛ	1.0
ɾ_e	i	1.0
ɲ	n	1.0
ɣ	k	1.0
ɟ͡ʝ	j	1.0
ð	t	1.0
w	ˈo	1.0
t	t	1.0
r	r	1.0
j	i	1.0
i	-	1.0
f	f	1.0
e_s	s	1.0
b_j	ɔ	1.0
b	v	1.0
ɾ	r	0.984
n	n	0.947
k	k	0.886
m	m	0.884
s	s	0.88
a	ə	0.821
l	r	0.738
ʎ	l	0.735
o	u	0.711
ʃ	ʃ	0.699
p	p	0.685
ˈi	ˈi	0.667
ˈo	ˈu	0.657
ɡ	ɡ	0.656
d	d	0.64
u	u	0.622
ˈa	ˈa	0.609
e	i	0.585
ʝ	k_ʎ	0.564
ŋ	n	0.547
w_ˈe	o̯ˈa	0.536
θ	ʦ	0.464
w_ˈe	ˈo	0.464
β	-	0.446
ʝ	ʎ	0.436
θ	ʃ	0.394
ˈa	ˈɔ	0.391
j_ˈe	ˈa	0.385
j_ˈe	ˈi	0.384
d	z	0.36
ŋ	j_n	0.356
ɡ	w	0.344
β	p	0.301
ʃ	ʒ	0.301
o	-	0.289
ˈe	ˈe	0.278
ˈe	e̯ˈa	0.273
ʎ	-	0.265
l	l	0.262
ˈo	ˈo	0.259
β	b	0.253
j_ˈe	ˈe	0.231
e	-	0.216
e	ə	0.199
ˈi	-	0.196
a	-	0.179
ˈe	ˈa	0.163
p	kʲ	0.158
p	-	0.158
ˈe	-	0.154
u	-	0.151
θ	ʧ	0.142
ˈi	ʎ	0.137
s	ʃ	0.12
m	-	0.116
k	-	0.114
u	ə	0.113
u	r	0.113
ˈe	ˈi	0.098
ŋ	ŋ	0.096
ˈo	-	0.084
n	-	0.053
