Westphalian	West Frisian	probability
ˈɛː	-	1.0
ˈɔ_l	ˈɔː	1.0
ˈɔ	-	1.0
ˈɒː	ˈa	1.0
ˈœː	-	1.0
ˈø	ˈøə̯	1.0
ˈyː	j_ˈuə̯	1.0
ˈyə̯	ˈɪ	1.0
ˈuə̯	-	1.0
ˈoː	ˈuə̯	1.0
ˈiɛ̯	-	1.0
ˈa_l	ˈɪə̯	1.0
ɪ	ə	1.0
ɣ	-	1.0
ç	χ	1.0
v̥	f	1.0
t_n	t_ə	1.0
t	t	1.0
p	p	1.0
n_n	n_ə	1.0
l	l	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
aɪ̯	ɪ	1.0
s	s	0.897
m	m	0.882
b	b	0.879
ʋ	v	0.831
ŋ	ŋ	0.828
d	d	0.826
k	k	0.803
r	r	0.768
n	n	0.674
ˈuːə̯	ˈoə̯	0.667
v	ʋ	0.662
ˈaʊ̯	ˈɪə̯	0.643
ʃ	s	0.639
ˈaː	ˈaː	0.567
ˈɪ	ˈɪ	0.56
z	s	0.556
x	ɡ	0.55
ɐ	r	0.548
ˈa	ˈa	0.54
ˈʊ	ˈɔ	0.539
ˈɪɛ̯	-	0.538
ə	ə	0.52
ˈøː	ˈiə̯	0.501
ɡ	z	0.501
ˈɪə̯	j	0.5
ˈɪə̯	-	0.5
ɡ	ɣ	0.499
ˈiː	ˈi	0.493
ˈʏ	-	0.481
ə	-	0.48
z	z	0.444
ˈaː	-	0.433
ˈɛ	ˈɪ	0.41
ˈeː	ˈiə̯	0.402
ˈuː	ˈuː	0.4
ˈøː	-	0.399
ˈɔː	ˈiə̯	0.387
ˈiː	ˈiː	0.381
ʃ	s_k	0.361
ˈaʊ̯	-	0.357
ˈʏ	ˈɛː	0.346
ˈeː	-	0.337
ˈaɪ̯	ˈiə̯	0.334
ˈuːə̯	-	0.333
ɐ	ə_r	0.309
ˈʊ	ˈu	0.301
x	χ	0.291
ˈɪɛ̯	ˈɛ	0.275
v	-	0.266
ˈeː	ˈɪə̯	0.261
n	ə	0.253
ˈɔː	ˈoə̯	0.24
ˈɪ	ˈi	0.23
ˈaɪ̯	ˈɪə̯	0.203
ˈuː	ˈyː	0.2
ˈuː	ˈoː	0.2
ˈuː	-	0.2
ˈa	ˈɔː	0.194
ˈaɪ̯	j	0.193
ˈɔː	ˈaː	0.191
ˈɪɛ̯	ˈiə̯	0.187
ˈɔː	ˈɪə̯	0.183
ˈɛ	ˈɛ	0.177
ˈʏ	ˈø	0.173
ŋ	n	0.172
ˈɛ	ˈa	0.169
ʋ	l	0.169
ˈʊ	ˈuː	0.16
x	-	0.158
ɐ	ˈɪə̯_r	0.143
k	k_ə	0.137
ˈaɪ̯	ˈiː	0.135
ˈaɪ̯	j_ˈɪ	0.135
ˈa	ˈaː	0.134
ˈiː	j	0.126
d	ʦ	0.123
ˈɛ	ˈɛi̯	0.122
ˈɛ	j_ˈɔ	0.122
b	-	0.121
ˈɪ	ˈiː	0.12
m	r_m	0.118
r	r_ˈuː	0.116
r	-	0.116
s	ɕ	0.103
ˈa	-	0.102
ˈøː	ˈu̯o	0.1
ˈɪ	ˈɔ	0.09
v	ʋ_ˈɪ	0.072
k	ʦ	0.06
d	-	0.051
