Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ˈɪː_ð	1.0
ˈɛɪ̯	ˈiːe̯	1.0
ˈɔː	ˈʉə̯	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈyː	ˈʏː	1.0
ˈeɪ̯	-	1.0
ʒ	-	1.0
ɪ	ʉ_ŋ	1.0
ɡ_#>	k_#>	1.0
ç	ʥː	1.0
z̥_#>	s_#>	1.0
x_d	tː	1.0
x_#>	#>	1.0
v_ˈʊ	ˈʉ	1.0
tʰ	tʰ	1.0
t_#>	#>	1.0
s_l	l̥	1.0
r	r	1.0
p	p	1.0
n_#>	#>	1.0
kʰ	kʰ	1.0
k	-	1.0
j	ʥ	1.0
h	j	1.0
f_#>	#>	1.0
d_#>	#>	1.0
b_m	p_ɑ	1.0
b_#>	p_#>	1.0
b	b	1.0
aɪ̯	ɔ̃	1.0
<#_ɡ	<#	1.0
<#_v	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#_d	<#	1.0
v	w	0.864
ˈʊ	ˈʉ	0.778
f	f	0.773
z	s	0.75
m	m	0.696
l	ɽ	0.675
ˈøː	-	0.667
ˈuː	ˈɑːu̯	0.615
#>	ɑ_#>	0.609
ˈɔ	-	0.6
x	ɣ	0.6
t	t	0.6
d_n	ð_ɑ	0.6
ˈɪ	ˈɪ	0.593
ɐ	r	0.59
ˈeː	-	0.545
s	s_t	0.5
s	s	0.5
ˈɔʏ̯	ˈyːœ̯	0.444
ɡ	ɡ	0.444
ʃ	s	0.435
ˈiː	ˈɑːi̯	0.429
ˈaː	ˈɑ_r	0.429
ˈa	ˈɑ	0.421
n	n	0.408
ˈʏ	ˈʏ	0.4
ˈɔ	ˈo	0.4
x	-	0.4
t	tː	0.4
d_n	t	0.4
ˈɛ	ˈɛ	0.375
ˈɛ	-	0.375
ç_#>	ɣ_#>	0.375
ç_#>	#>	0.375
ŋ	ɑ	0.357
ŋ	ŋ	0.357
d	d	0.338
ˈɔʏ̯	-	0.333
ˈøː	ˈʉː	0.333
n	ɑ	0.306
ʃ	s_ʨ	0.304
ˈʏ	ˈʉ	0.3
ˈʏ	-	0.3
ˈaʊ̯	ˈʉːə̯	0.292
ˈiː	ˈɪː	0.286
ˈaː	ˈɔː	0.286
ˈaː	r	0.286
ŋ	ŋ_ɡ	0.286
ˈeː	ˈæ	0.273
ˈoː	ˈɔː	0.263
ˈoː	-	0.263
ˈa	-	0.263
ʃ	s_k	0.261
ɐ	ɛ_r	0.256
ˈɛ	ˈɛː	0.25
ˈaʊ̯	ˈœː	0.25
ˈaʊ̯	-	0.25
ç_#>	ɡ_#>	0.25
z	s_j	0.25
d	t	0.246
ˈaɪ̯	j_ˈʉːə̯	0.24
ˈuː	ˈʉː	0.231
f	v	0.227
ˈʊ	-	0.222
ˈɔʏ̯	ˈœː	0.222
m	v	0.217
#>	ɔ_#>	0.217
ˈiː	-	0.214
ˈoː	ˈɑː	0.211
ˈa	ˈɑː	0.211
d	ð	0.185
ˈeː	ˈɪː	0.182
#>	ɡ_#>	0.174
n	nː	0.163
ˈaɪ̯	ˈɛ	0.16
ˈaɪ̯	ˈiːe̯	0.16
ˈaɪ̯	-	0.16
ˈoː	ˈɑ	0.158
ˈuː	-	0.154
d	tʰ	0.154
ˈaʊ̯	ˈoː	0.125
l	lː	0.125
ˈaɪ̯	j	0.12
ˈɪ	ˈɪː	0.111
ˈɪ	ˈiːe̯	0.111
ɡ	ʨ	0.111
ɡ	ɣ_ɛ	0.111
ɡ	ɣ	0.111
ɡ	ɡː	0.111
ɡ	-	0.111
ˈoː	ˈʉ	0.105
ˈa	ˈɔ	0.105
l	l	0.1
v	-	0.091
m	ɛ_n	0.087
ˈaʊ̯	ˈʉə̯	0.083
n	n_d	0.082
ˈaɪ̯	ˈʉːə̯	0.08
ˈaɪ̯	ˈɪː	0.08
ˈɪ	j	0.074
ˈɪ	-	0.074
ˈiː	ˈɪ̃ː	0.071
ɐ	nː	0.051
ɐ	n	0.051
ɐ	-	0.051
