Saterland Frisian	Saterland Frisian	probability
ˈɛː_z	ˈɛː	1.0
ˈœː	ˈʊə̯	1.0
ˈøː	ˈœɪ̯	1.0
ˈyː	ˈi	1.0
ˈoːu̯_l	ˈɔ_ɫ	1.0
ˈoːu̯_d	ˈʊə̯_r	1.0
ˈoː_l	ˈœu̯	1.0
ˈiːu̯	ˈɪə̯	1.0
ˈeːu̯	ˈɪə̯	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ɣ_j	χ	1.0
ɣ	χ	1.0
ɡ	χ	1.0
ə_n	ə_ŋ	1.0
ŋ	ŋ	1.0
z_ə	s	1.0
z	s	1.0
x_t	χ	1.0
w	v̥	1.0
s_l	s_ɫ	1.0
s_k	s	1.0
r	r	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
k_s	s	1.0
k	k	1.0
j_ˈʊ	ˈə	1.0
j_ˈuː	ˈyː	1.0
j_ˈoː	ˈi	1.0
i	i	1.0
h	ɦ	1.0
f	v̥	1.0
b	b	1.0
<#_t	<#_d	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_j	<#_χ	1.0
<#	<#_d	1.0
#>	v̥_#>	1.0
s	s	0.96
t	t	0.878
v	v	0.875
ˈɪ	ˈə	0.867
n	n	0.867
ˈʊ	ˈɔ	0.818
ə	-	0.759
x	χ	0.75
ˈaː	ˈa	0.714
ˈoː	ˈʊə̯	0.667
j	-	0.625
ˈa	ˈa	0.6
ɪ	ə	0.6
ˈi	ˈəɪ̯	0.583
ˈeː	ˈɪə̯	0.556
ˈɛː	ˈœ	0.5
ˈɛː	-	0.5
ˈɛ	-	0.5
ˈɔː_r	ˈɔ_r	0.5
ˈɔː_r	r	0.5
ˈɔː	ˈɑː	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈa	0.5
ˈiː_r	ˈɑː_r	0.5
ˈiː_r	r	0.5
ə_l	ɫ	0.5
ə_l	ə_ɫ	0.5
d	d̥	0.492
ˈuː	ˈœɪ̯	0.429
ˈoːu̯	ˈu	0.412
ˈa	ˈɛ	0.4
ɪ	-	0.4
ˈiː	ˈə	0.385
j	j	0.375
d	d	0.373
ˈɛɪ̯	ˈu	0.316
ˈiː	ˈəɪ̯	0.308
ˈɔː	ˈa	0.286
ˈaː	-	0.286
ˈɛɪ̯	ˈɑː	0.263
ˈɛ	ˈæ	0.25
ˈɛ	ˈa	0.25
ˈi	-	0.25
ə	ə	0.241
ˈoːu̯	ˈa	0.235
ˈɔː	-	0.214
ˈɛɪ̯	ˈi	0.211
ˈuː	ˈʊə̯	0.19
ˈʊ	ˈœ	0.182
ˈi	ˈɪə̯	0.167
ˈeː	ˈʊə̯	0.167
ˈiː	ˈɪə̯	0.154
ˈiː	ˈæː	0.154
ˈuː	ˈɪø̯	0.143
ˈuː	ˈɔ	0.143
ˈoː	ˈɑː	0.143
ˈoː	ˈa	0.143
ˈɪ	-	0.133
x	ŋ	0.125
x	v̥	0.125
v	-	0.125
t	-	0.122
ˈoːu̯	ˈʊə̯_r	0.118
ˈoːu̯	ˈɑː	0.118
ˈoːu̯	ˈœu̯	0.118
ˈeː	ˈəɪ̯	0.111
ˈeː	-	0.111
ˈɛɪ̯	ˈɑː_r	0.105
ˈɛɪ̯	-	0.105
ˈuː	ˈu	0.095
d	-	0.068
ˈeː	w	0.056
