Spanish	Spanish	probability
β_ɾ	w_ʀ	1.0
β_j	ʤ	1.0
β_e_#>	w_#>	1.0
ˈo_ð	ˈu	1.0
ˈi_ʝ	ˈe_l	1.0
ˈi_ɾ	ˈi	1.0
ˈe_ɾ	ʀ_ə	1.0
ˈe_ɣ	ˈɔ_k	1.0
ˈe_s	ˈɔ	1.0
ˈe_l	ˈa_l	1.0
ˈa_ɾ	ˈa	1.0
ˈa_l	ˈa_w	1.0
ʧ_o	j	1.0
ʧ_e	j	1.0
ʧ	-	1.0
ɾ_ˈa	ʀ_ˈa	1.0
ɾ_t	ʀ	1.0
ɾ_o	ə	1.0
ɾ_a	ʀ_ɔ	1.0
ɾ_#>	#>	1.0
ɣ_w	ɡ	1.0
ŋ	ŋ	1.0
ð_ɾ	j_ʀ	1.0
u	-	1.0
s_ˈe	s_ˈɪ	1.0
s_l	lː	1.0
r	ʀ	1.0
o_ɾ	u_ʀ	1.0
o_s	ˈa	1.0
o_#>	#>	1.0
n_t	ŋ	1.0
n_o	ŋ	1.0
m_ˈo	l	1.0
m_b	m	1.0
k_ˈo	k_w	1.0
k_w	k	1.0
k_o	k	1.0
f	f	1.0
e_ɾ	b_ˈe	1.0
e_s	ɪ	1.0
e_#>	#>	1.0
a_t	ɥ	1.0
<#_ˈo	<#_ˈa	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_x	<#_ʤ	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_e	<#	1.0
<#_a	<#_ɒ	1.0
<#	<#_f	1.0
#>	ə_#>	1.0
p	p	0.9
t	t	0.875
x	ʎ	0.857
m	m	0.821
w	w	0.815
i	-	0.8
a	ɔ	0.771
e	ə	0.76
l	l	0.737
ɡ	ɡ	0.7
ˈi	ˈi	0.682
θ_#>	s_#>	0.667
s	-	0.667
j_ˈe	ˈe	0.667
d	d	0.667
<#_l	<#_l	0.647
k	ʧ	0.611
ð	d	0.6
ˈa	ˈa	0.581
β	b	0.579
ɾ	ʀ	0.562
ɲ	ɲ	0.556
θ	s	0.5
ʝ	l	0.5
ʝ	-	0.5
j	j	0.5
j	-	0.5
ˈo	ˈu	0.457
n	n	0.455
b	v	0.429
n	ŋ	0.424
ˈu	ˈy	0.421
ɟ͡ʝ	p_l	0.4
ð	-	0.4
b	b	0.393
k	k	0.389
<#_l	<#_ʎ	0.353
θ_#>	#>	0.333
ɣ	ʤ	0.333
ɣ	ɡ	0.333
ɣ	-	0.333
s	s	0.333
o	ə	0.308
ˈa	ˈã	0.302
ɡ	k	0.3
l	-	0.263
ˈe	ˈɔ	0.255
ˈo	w	0.229
θ	-	0.227
ɲ	m	0.222
ɲ	-	0.222
j_ˈe	ˈẽ	0.222
β	-	0.211
ˈe	ˈɪ	0.2
ɟ͡ʝ	ʤ	0.2
ɟ͡ʝ	l	0.2
ɟ͡ʝ	k_l	0.2
i	ĩ	0.2
d	-	0.2
w	-	0.185
ˈi	ˈĩ	0.182
ˈe	ˈe	0.182
b	vʲ	0.179
ˈo	ˈœ	0.171
e	-	0.16
ˈu	ˈu	0.158
ˈu	w_ˈẽ	0.158
ˈu	-	0.158
o	w	0.154
ɾ	-	0.146
x	-	0.143
a	ɒ	0.143
ˈi	-	0.136
d	dʲ	0.133
o	ɔ	0.128
o	-	0.128
t	ʧ	0.125
n	-	0.121
j_ˈe	ˈɪ̃	0.111
ˈe	-	0.109
m	mʲ	0.107
β	v	0.105
β	l	0.105
ˈu	ˈœ	0.105
o	u	0.103
θ	ʒ	0.091
θ	ʃ	0.091
θ	z	0.091
ˈo	ˈũ	0.086
e	j	0.08
o	ŋ	0.077
o	j	0.077
ˈe	ˈɔ̃	0.073
m	-	0.071
ˈa	ˈe	0.07
p	-	0.067
ˈo	ˈa	0.057
ˈe	ə	0.055
ˈe	j	0.055
