Proto-Germanic	Limburgish	probability
a	-	1.0
b	b	0.964
b	-	0.044
d	d	0.796
d	t	0.202
d_ɑ	t	1.0
e	ə	1.0
i	-	0.746
i	ə	0.196
i	ɪ	0.056
i_j	ə	1.0
i_z	j	0.5
i_z	ə	0.5
iː	ə	0.667
iː	-	0.333
j	-	0.648
j	j	0.267
j	ˈʏː	0.078
j_ɑ	ə	1.0
jː	ˈɛːi̯	0.492
k	k	0.827
k	-	0.076
k	x	0.05
k	ɦ	0.05
k_i	k	1.0
k_s	k	1.0
kʷ	k	0.758
kʷ	v	0.09
kː	k	1.0
l	l	0.751
l	j	0.079
l	-	0.058
l	l_ə	0.051
l	n	0.039
l_u	l	1.0
l_ɑ	l	1.0
lː	l	1.0
m	m	0.93
m	n	0.058
m	-	0.034
m_ɑ	m	1.0
m_ɔːː	m	1.0
mː	m	1.0
n	n	0.625
n	-	0.339
n	ŋ	0.035
n_i	n	1.0
n_u	n	1.0
n_ɑ̃	ə	1.0
nː	n	0.857
nː	ˈɪ	0.122
p	p	1.0
pː	p	0.574
pː	t	0.282
r	ʀ	0.835
r	ʀ_ə	0.122
r	-	0.042
r_i	ʀ	1.0
r_n	ʀ	1.0
r_s	ʀ	1.0
r_u	ʀ	1.0
r_ɑ	ʀ	1.0
r_ɑ̃	ʀ	1.0
r_ɔː	ʀ	0.492
s	z	0.415
s	s	0.391
s	-	0.186
s_k	s	0.539
s_k	ʃ	0.452
s_t	s	1.0
s_w	z	1.0
s_ɑ̃	s	1.0
t	t	0.965
t	-	0.04
t_ɑ	t	1.0
u	-	0.787
u	ə	0.204
u_n	ə	0.386
u_n	n	0.254
w	β	0.821
w	-	0.176
wː	ˈœi̯	0.242
x	ɦ	0.622
x	-	0.168
x	x	0.131
x	k	0.048
x	v	0.035
x_l	l	1.0
x_s	s	1.0
x_t	x	1.0
xʷ	β	0.718
xʷ	-	0.205
z	-	0.99
ð	-	0.506
ð	j	0.308
ð	ʦ	0.081
ð	t	0.055
ð_i	t	1.0
ð_ɑ	j	1.0
ð_ɑ̃	t	1.0
ŋ	ŋ	0.915
ŋ	-	0.085
ɑ	-	0.917
ɑ	ə	0.064
ɑ_l	l	1.0
ɑ_z	ə	1.0
ɑi̯	ˈɪː	0.492
ɑː	ə	0.242
ɑ̃	-	0.896
ɑ̃	ə	0.103
ɔː	-	0.697
ɔː	ə	0.289
ɔː_r	ʀ	0.242
ɔːu̯	-	0.242
ɔːː	-	0.878
ɔːː	ʀ	0.107
ɔ̃ː	-	0.754
ɔ̃ː	j	0.096
ɔ̃ː	ˈɔu̯	0.072
ɛː	ə	0.826
ɛː	-	0.142
ɡ	-	0.888
ɡ	k	0.101
ɡ_ɑ	k	1.0
ɡʷ	-	0.242
ɣ	ɣ	0.563
ɣ	x	0.137
ɣ	-	0.089
ɣ	ɣ_ə	0.069
ɣ	ə_ɣ	0.067
ɣ_j	k	0.492
ɣ_ɑ	x	1.0
ɸ	v	0.849
ɸ	f	0.122
ɸ	ˈv	0.036
ˈe	ˈeː	0.526
ˈe	ˈi	0.074
ˈe	ˈæː	0.056
ˈe	ˈaː	0.049
ˈe	ˈɛ	0.049
ˈe_ð	ˈeː	1.0
ˈeu̯	ˈeː	0.733
ˈeu̯	-	0.111
ˈeu̯	ˈiː	0.085
ˈeu̯	ˈi	0.063
ˈeː	ˈeː	0.492
ˈi	ˈɪː	0.344
ˈi	ˈɛ	0.178
ˈi	-	0.117
ˈi	ˈeː	0.1
ˈi	ˈiː	0.061
ˈiu̯	ˈœi̯	0.425
ˈiu̯	ˈøː	0.28
ˈiu̯	ˈyː	0.28
ˈiː	ˈiː	0.733
ˈiː	ˈɪ	0.091
ˈiː	ˈɛ	0.091
ˈiː	ˈɛi̯	0.068
ˈĩː	ˈi	1.0
ˈu	ˈʊː	0.273
ˈu	ˈɔ	0.252
ˈu	ˈoː	0.076
ˈu	ˈøː	0.061
ˈu	ˈœ	0.058
ˈuː	ˈuː	0.771
ˈuː	ˈoː	0.094
ˈuː	ˈœi̯	0.089
ˈuː	ˈʊː	0.04
ˈɑ	ˈaː	0.301
ˈɑ	ˈɑ	0.232
ˈɑ	ˈɑː	0.126
ˈɑ	ˈɒː	0.075
ˈɑ	ˈæ	0.048
ˈɑi̯	ˈɛː	0.683
ˈɑi̯	ˈɛ	0.089
ˈɑi̯	ˈi	0.084
ˈɑi̯	ˈɛːi̯	0.084
ˈɑi̯	ˈʊː	0.049
ˈɑi̯_w	ˈi	1.0
ˈɑu̯	ˈu	0.384
ˈɑu̯	ˈɔː	0.226
ˈɑu̯	ˈyː	0.089
ˈɑu̯	-	0.077
ˈɑu̯	ˈɔu̯	0.064
ˈɔ	ˈøː	1.0
ˈɔː	ˈøː	0.31
ˈɔː	ˈʊː	0.31
ˈɔː	ˈoː	0.164
ˈɔː	ˈyː	0.074
ˈɔː	ˈɔ	0.074
ˈɛː	ˈɒː	0.874
ˈɛː	ˈi	0.11
β	v	0.576
β	f	0.099
β	p	0.074
β	b	0.072
β	-	0.07
β_ɑ	f	1.0
θ	d	0.724
θ	t	0.145
θ	-	0.123
θ_ɑ	t	1.0
θ_ɑ̃	t	1.0
