Standard German	Mecklenburgisch-Vorpommersch	probability
ˈʏ	ˈʏ	1.0
ˈɛː	ˈɛɪ̯	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈoː_n	n	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaɪ̯_s	ˈɪ_t	1.0
ˈa_ɐ	ˈaː	1.0
ʃ	ʃ	1.0
ʁ_ə	æ	1.0
ɪ	ɪ	1.0
ɡ_n	ŋ	1.0
ə	-	1.0
ŋ	ŋ	1.0
ç_t	ç	1.0
z_ə	z̥	1.0
z	z	1.0
x_ə	k	1.0
tʰ	d	1.0
t_n	d_n	1.0
p	-	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ə	ç	1.0
k_s	s	1.0
k_n	ç	1.0
k	k	1.0
j	j	1.0
h	h	1.0
eː	ae̯	1.0
d̥	d̥	1.0
b̥	v̥	1.0
b_n	m	1.0
b	b	1.0
a	-	1.0
ʁ	r	0.938
n	n	0.909
ˈɪ	ˈɪ	0.877
d	d	0.858
ˈuː	ˈaʊ̯	0.845
v	v	0.838
z̥	z̥	0.818
ɐ	æ	0.798
s	t	0.797
f	f	0.781
ˈa	ˈa	0.747
ˈyː	ˈɔʏ̯	0.715
x	x	0.7
ˈøː	-	0.667
ˈʊ	ˈʊ	0.665
ˈɔʏ̯	-	0.657
ɡ	ɡ	0.642
ɡ̊	ç	0.62
p͡f	p	0.608
ˈaʊ̯	ˈuː	0.584
ˈiː	ˈae̯	0.554
ˈɛ	ˈɛ	0.543
ˈaɪ̯	ˈae̯	0.54
ç	k	0.529
ʦ	tʰ	0.519
ʦ	t	0.481
ç	ç	0.471
ˈoː	ˈɒː	0.469
ˈaː	ˈɒː	0.444
t	t	0.434
ˈaɪ̯	ˈiː	0.406
p͡f	pʰ	0.392
ɡ̊	ɣ̊	0.38
ˈɔ	ˈɔ	0.348
t	d̥	0.344
ˈɔʏ̯	ˈyː	0.343
ˈoː	ˈaʊ̯	0.336
ˈøː	ˈøː	0.333
x	k	0.3
ˈɛ	-	0.29
ˈyː	-	0.285
ˈeː	-	0.283
ˈeː	ˈae̯	0.279
ˈɔ	ˈʊ	0.246
ˈaʊ̯	ˈaʊ̯	0.242
ˈiː	ˈiː	0.239
ˈeː	ˈɛ	0.222
ˈeː	ˈeː	0.216
ˈɔ	ˈuː	0.212
ɡ	-	0.209
ˈiː	-	0.207
s	s	0.203
ˈɔ	-	0.195
ˈoː	-	0.195
t	ɾ	0.188
ˈʊ	-	0.186
z̥	-	0.182
ˈaʊ̯	-	0.174
ˈɛ	ˈɛː	0.167
v	w	0.162
ˈuː	ˈɔʏ̯	0.155
ɐ	ˈoː_æ	0.15
ɡ	j	0.149
d	ɾ	0.142
ˈaː	ˈa	0.135
f	p	0.13
ˈaː	ˈɛː	0.128
ˈaː	ˈoː	0.12
f	-	0.089
ˈaː	ˈɛ	0.086
ˈaː	ˈaː	0.086
ˈa	-	0.077
ˈɪ	ˈɛ	0.076
ˈʊ	ˈɔ	0.074
ˈʊ	ˈœː	0.074
n	-	0.069
ˈa	ˈɒː	0.068
ˈa	ˈaʊ̯	0.065
ʁ	-	0.062
ˈaɪ̯	ˈɪ	0.054
ɐ	-	0.051
