Swabian	Swabian	probability
ˈʌ	ˈɑːɑ̯_ɐ	1.0
ˈɪ	ˈɪ	1.0
ˈɔə̯	ˈœːy̯	1.0
ˈɔe̯	ˈæɪ̯	1.0
ˈuː	ˈɑʊ̯	1.0
ˈiː	-	1.0
ʦ	t	1.0
ʣ	t	1.0
ʕ_n	ɐ_n	1.0
ʕ	ɐ	1.0
ʌ	ɐ	1.0
ʋ_ˈo	v	1.0
ɪ	-	1.0
ɡ_s	s	1.0
ŋ	ŋ	1.0
x_#>	k_#>	1.0
x	χ	1.0
t	d̥	1.0
s_#>	s_#>	1.0
p͡f	-	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
l_d	l_d̥	1.0
j	j	1.0
i	ə_ŋ	1.0
h	h	1.0
f_l	f_l	1.0
f_#>	p_#>	1.0
eə̯	ɑɪ̯	1.0
e	-	1.0
d_ʌ	ɐ	1.0
d_a	n	1.0
b̥͡f	p	1.0
b_ʌ	v_ɐ	1.0
b_#>	v̥_#>	1.0
a_#>	#>	1.0
a	n	1.0
<#_ˈi	<#	1.0
<#_ʦ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
l	l	0.976
b	b	0.9
f	f	0.88
ˈuə̯	ˈɑʊ̯	0.875
ʋ	v	0.818
ʁ	r	0.786
ʃ	s	0.774
ˈɛː	-	0.714
ç	k	0.714
ˈiə̯	ˈæɪ̯	0.667
ˈeː	-	0.667
ˈe	ˈɪ	0.667
ˈae̯	-	0.667
ˈaː	-	0.625
#>	n_#>	0.615
ˈəi̯	ˈiː	0.583
ˈoː	ˈoː	0.538
ˈo	ˈʊ	0.538
ɡ	ɡ	0.524
ˈɔ	ˈɔ	0.5
ˈɔ	ˈoː	0.5
d	d	0.465
ˈi	ˈɪ	0.462
ˈu	-	0.444
ˈao̯	ˈuː	0.444
ˈa	ˈɑ	0.444
s	z	0.419
s	t	0.395
ˈi	-	0.385
#>	k_#>	0.385
ˈɔː	ˈɒː	0.375
ˈɔː	-	0.375
ˈaː	ˈɑ	0.375
ˈiə̯	-	0.333
ˈeː	ˈøː	0.333
ˈe	ˈɛ	0.333
ˈɛː	ˈeː	0.286
ɡ	ɣ̊	0.286
ç	χ	0.286
d	d̥	0.282
ˈɛ	-	0.278
d	t	0.254
ˈɔː	ˈɔː	0.25
ʃ	s_k	0.226
ˈɛ	ˈɛ	0.222
ˈɛ	ˈeː	0.222
ˈu	ˈʏə̯	0.222
ˈu	ˈɔ	0.222
s	z̥	0.186
ˈa	ˈɑː	0.185
ʋ	w	0.182
ˈɛ	ˈɑː	0.167
ˈəi̯	ˈɪ	0.167
ˈəi̯	ˈyː	0.167
ˈao̯	ˈoː	0.167
ˈao̯	-	0.167
ˈae̯	ˈɛːɪ̯	0.167
ˈae̯	n	0.167
ˈoː	ˈɒː	0.154
ˈoː	ˈøː	0.154
ˈoː	-	0.154
ˈo	ˈʊə̯	0.154
ˈo	ˈɔ	0.154
ˈo	ˈœ	0.154
ˈi	k_ˈɪ	0.154
ˈa	ˈɒː	0.148
ʁ	-	0.143
ˈuə̯	ˈøy̯	0.125
f	p	0.12
ɡ	k	0.119
ˈɛ	ˈeːe̯	0.111
ˈu	ʊ	0.111
ˈao̯	ˈɑːʊ̯	0.111
ˈao̯	ˈuːu̯	0.111
ˈa	ˈɑːɑ̯	0.111
b	v	0.1
ˈəi̯	ˈiːi̯	0.083
ˈa	ˈɔ	0.074
ʁ	r_ˈøː	0.071
