French	French	probability
ɲ	ɲː	1.0
ɡ	ɡ	1.0
z	i_ʧ	1.0
w_a	ˈe	1.0
t_ʁ	r	1.0
t_#>	t_a_#>	1.0
p	p	1.0
n	n	1.0
l_a	j_ˈa	1.0
j_ɛ	ˈɛ	1.0
e_p	s_p	1.0
a_#>	e_#>	1.0
<#_ʁ	<#_r	1.0
<#_œ	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.933
f	f	0.893
k	k	0.88
v	v	0.844
ʒ	ʤ	0.812
ʁ	r	0.767
ʃ	k	0.739
ə	e	0.714
b	b	0.714
y	ˈu	0.615
ɔ	ˈɔ	0.583
s	s	0.571
œ	ˈo	0.545
i	ˈi	0.535
t	t	0.533
ɔ̃	ˈo_n	0.467
u	ˈo	0.435
d	e_r	0.429
l	l	0.421
ɛ	ˈa	0.392
ɑ̃	ˈɛ_n	0.389
a	a	0.389
o	ˈɛ_lː	0.375
ɛ̃	ˈa_n	0.364
#>	o_#>	0.355
e	ˈa_r	0.353
l	j	0.342
ɥ	ˈɔ_ʤː	0.333
ɥ	ˈɔ	0.333
ɥ	ˈu	0.333
t	tː	0.333
#>	e_#>	0.327
o	ˈa_l	0.312
u	o	0.304
ø	ˈɔ_k	0.3
ø	o	0.3
w	ˈe	0.294
ə	a	0.286
j	ʎː	0.286
j	-	0.286
d	t	0.286
d	d	0.286
ɑ̃	n	0.278
œ	ˈɔ	0.273
<#	<#_ˈa	0.273
<#	<#_l	0.273
<#	<#_a	0.273
ɔ	o	0.25
a	ˈa	0.25
#>	a_#>	0.247
w	-	0.235
y	-	0.231
ɛ̃	n	0.227
ɛ	ˈɛ	0.216
ø	ˈɔ	0.2
ø	-	0.2
b	b_w	0.19
ʒ	j	0.188
o	ˈɔ	0.188
s	ʧ	0.184
l	lː	0.184
ɛ̃	ˈi_n	0.182
œ	w	0.182
<#	<#_ˈɔ	0.182
w	ˈu	0.176
w	ˈo_ʧ	0.176
e	ˈa	0.176
ɔ	ˈo	0.167
v	p	0.156
y	ˈu_t	0.154
j	kː_j	0.143
i	ˈɛ	0.14
ɛ	ˈe	0.137
ɛ̃	ɲː	0.136
ɔ̃	ˈɔ_n	0.133
ɔ̃	ˈu_ŋ	0.133
ɔ̃	ˈo	0.133
ɔ̃	o_n	0.133
t	s_t	0.133
ʃ	kː_a	0.13
o	ˈɔ_s	0.125
k	k_w	0.12
w	e_d	0.118
e	s	0.118
ɑ̃	ˈa_ŋ	0.111
ɑ̃	ˈa_n	0.111
ɑ̃	ˈa	0.111
j	ˈɛ	0.095
j	j	0.095
j	e	0.095
b	-	0.095
i	i	0.093
ɛ̃	ŋ	0.091
ʁ	e_r	0.089
e	e	0.088
e	-	0.088
ʃ	k_a	0.087
u	ˈɔ_kː	0.087
u	ˈu_tː	0.087
u	ˈo_j	0.087
a	ˈe	0.083
a	w_ˈa	0.083
a	e	0.083
ɛ	e	0.078
f	ˈɔ_v	0.071
i	ˈi_k	0.07
i	-	0.07
m	mː	0.067
s	ʧː	0.061
s	ʦ	0.061
s	sː	0.061
s	-	0.061
ɛ	ˈɛ_s	0.059
e	ˈa_z	0.059
e	ˈa_t	0.059
e	r	0.059
a	l	0.056
a	-	0.056
l	-	0.053
