Swiss German	Pennsylvania German	probability
b̥	b	0.638
b̥	p	0.2
b̥	v	0.144
d̥	d	0.552
d̥	t	0.329
d̥	-	0.119
f	f	1.0
fː	f	1.0
h	h	0.945
h	-	0.055
i	ɪ	0.653
i	-	0.257
i	ə	0.09
j	j	1.0
k	k	1.0
kː	k	1.0
l	l	1.0
m	m	0.937
m	ə_m	0.063
mː	m	1.0
n	n	1.0
nː	n	1.0
p	p	1.0
p͡f	p	0.321
p͡f	f	0.227
p͡f	pʰ	0.226
p͡f	p͡f	0.226
r	ɾ	0.481
r	ɑ	0.457
r	-	0.062
rː	ɑ	1.0
s	s	0.979
sː	s	1.0
t	t	0.616
t	d	0.36
tː	d	1.0
w	l	1.0
æ	eː	1.0
ŋ	ŋ	0.856
ŋ	n	0.113
ə	ə	0.699
ə	ɑ	0.287
ɡ̊	ɡ	0.416
ɡ̊	ç	0.19
ɡ̊	j	0.135
ɡ̊	-	0.092
ɡ̊	ɣ	0.085
ɡ̊	k	0.082
ɡ̊ː	k	0.901
ɡ̊ː	-	0.099
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʋ	ʋ	0.925
ʋ	v	0.075
ʦ	ʦ	0.92
ʦ	s	0.08
ˈau̯	ˈɔː	1.0
ˈe	ˈɛː	0.427
ˈe	ˈɛ	0.344
ˈe	ˈa	0.229
ˈei̯	ˈaɪ̯	0.483
ˈei̯	ˈeː	0.388
ˈei̯	ˈɔɪ̯	0.129
ˈeː	ˈeː	0.745
ˈeː	ˈiː	0.255
ˈi	ˈɪ	0.794
ˈi	ˈiː	0.059
ˈiə̯	ˈiː	0.69
ˈiə̯	ˈaɪ̯	0.155
ˈiə̯	ˈɪ	0.155
ˈiː	ˈaɪ̯	0.877
ˈiː	ˈiː	0.123
ˈo	ˈɔ	0.466
ˈo	ˈaː	0.166
ˈo	ˈa	0.126
ˈo	ˈʊ	0.109
ˈo	ˈoː	0.071
ˈou̯	ˈɔː	0.733
ˈou̯	ˈaʊ̯	0.231
ˈoː	ˈoː	0.81
ˈoː	ˈaː	0.095
ˈoː	ˈʊ	0.071
ˈu	ˈʊ	0.67
ˈu	ˈaː	0.235
ˈuə̯	ˈuː	0.813
ˈuə̯	ˈʊ	0.187
ˈuː	ˈaʊ̯	0.884
ˈuː	ˈʊ	0.116
ˈy	ˈɪ	0.689
ˈy	ˈɛ	0.161
ˈy	ˈaɪ̯	0.085
ˈy	ˈiː	0.065
ˈyə̯	ˈiː	0.706
ˈyə̯	ˈuː	0.294
ˈyː	ˈaɪ̯	0.504
ˈyː	ˈiː	0.399
ˈyː	ˈɪ	0.097
ˈæ	ˈɛ	0.515
ˈæ	ˈɛː	0.288
ˈæ	ˈa	0.105
ˈæ	ˈeː	0.055
ˈæi̯	ˈeː	1.0
ˈæː	ˈɛː	0.465
ˈæː	ˈɛ	0.36
ˈæː	ˈeː	0.175
ˈø	ˈɛ	0.896
ˈø	ˈa	0.104
ˈøi̯	ˈeː	0.355
ˈøi̯	ˈʊ	0.282
ˈøi̯	ˈaɪ̯	0.184
ˈøi̯	ˈɔː	0.179
ˈøː	ˈeː	1.0
ˈɒ	ˈa	0.765
ˈɒ	ˈɔː	0.124
ˈɒ	ˈaː	0.111
ˈɒː	ˈɔː	0.603
ˈɒː	ˈoː	0.127
ˈɒː	ˈa	0.118
ˈɒː	ˈaː	0.113
ˈɛi̯	ˈeː	0.944
ˈɛi̯	ˈaɪ̯	0.056
χ	ç	0.349
χ	kʰ	0.32
χ	x	0.19
χ	k	0.09
