Western Lombard	Western Lombard	probability
ˈɛ_#>	ˈe_r_e_#>	1.0
ˈy	ˈu	1.0
ˈo	o̯ˈa_m	1.0
ˈĩ	ˈi_n	1.0
ˈi_#>	#>	1.0
z	z	1.0
y	-	1.0
w	p	1.0
v_e	v_e	1.0
t_#>	d_#>	1.0
s_#>	#>	1.0
r_#>	#>	1.0
r	r	1.0
p	p	1.0
o	-	1.0
m_#>	m_#>	1.0
m	m	1.0
k_#>	#>	1.0
k	k	1.0
f_#>	#>	1.0
ẽ	n_e	1.0
e_r	r_u	1.0
d_a	t_ə	1.0
a_ɡ	ˈa_k	1.0
a_#>	#>	1.0
<#_ˈœ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʤ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈa	1.0
n	n	0.9
ˈa	ˈa	0.889
b	b	0.857
#>	e_#>	0.797
f	f	0.773
a	ə	0.773
ˈɑː	ˈa	0.75
t	t	0.75
u	u	0.727
ˈe	ˈe	0.714
ˈøː	ˈo	0.7
ˈuː	ˈu	0.7
ɡ	ɡ	0.7
ˈũ	ˈu_n	0.667
e	e	0.667
ˈu	ˈu	0.625
v	v	0.615
l	l	0.611
ʒ	-	0.6
l_#>	r_#>	0.6
s	s	0.58
d	d	0.577
ˈiː	ˈi	0.571
ˈi	ˈi_r	0.556
ˈã	ˈɨ_n	0.556
ˈyː	ˈu	0.5
ˈyː	-	0.5
ˈẽ	ˈi_n	0.5
ˈẽ	ˈi_m	0.5
ɲ	n	0.5
ɲ	m_n	0.5
j	l	0.5
i	i	0.5
i	-	0.5
ˈeː	ˈe	0.462
ˈi	ˈi	0.444
ˈiː	-	0.429
ˈɔ	ˈo	0.4
ʧ	kʲ	0.4
ʒ	ʒ	0.4
l_#>	#>	0.4
v	-	0.385
ˈu	ˈo	0.375
ˈɛ	ˈe	0.346
ˈɔ	o̯ˈa	0.333
ˈũ	ˈu	0.333
e	ə	0.333
ˈeː	-	0.308
ˈøː	o̯ˈa	0.3
ˈuː	o̯ˈa	0.3
ʧ	-	0.3
ɡ	b	0.3
ˈe	-	0.286
l	r	0.278
u	-	0.273
ˈɛ	j_ˈe	0.269
j	j	0.25
j	-	0.25
ˈeː	e̯ˈa	0.231
d	t	0.231
f	w	0.227
ˈã	ˈɨ_j	0.222
ˈã	-	0.222
ʧ	k_e	0.2
d	z	0.192
t	p_t	0.179
a	-	0.159
ˈɑː	ˈɨ	0.15
b	f_r	0.143
#>	ə_#>	0.141
ˈɔ	ˈu	0.133
ˈɔ	-	0.133
s	ʧ_e	0.12
ˈa	ˈɨ	0.111
l	-	0.111
ˈɑː	-	0.1
ʧ	ʦʲ	0.1
s	ʦ	0.1
n	-	0.1
s	ʃ_t	0.08
s	ʃ	0.08
ˈɛ	ˈa	0.077
ˈɛ	u_m	0.077
ˈɛ	j	0.077
ˈɛ	e	0.077
ˈɛ	-	0.077
t	ʦ	0.071
a	a	0.068
