Danish	Luxembourgish	probability
b̥	b	0.809
b̥	f	0.164
d̥	d	1.0
e	ə	1.0
f	f	0.973
h	h	0.965
i	ə_ɕ	1.0
j	-	0.447
j	h	0.266
j	ɕ	0.177
j	χ	0.097
jˀ	ˈeː	0.714
jˀ	ˈoː	0.286
k	k	0.688
k	ɕ	0.312
kʰ	kʰ	0.794
kʰ	d	0.137
kʰ	f	0.069
l	l	1.0
lˀ	l	0.732
lˀ	ɐ	0.165
lˀ	l_t	0.103
m	m	0.99
mˀ	m	0.625
mˀ	n	0.375
n	n	0.786
n	-	0.151
nˀ	n_t	0.47
nˀ	n	0.47
nˀ	s	0.06
p	f	0.854
p	p	0.146
pʰ	f	1.0
s	ʃ	0.402
s	z	0.387
s	s	0.179
t	t	0.56
t	ɕ_t	0.244
t	ʦ	0.16
w	ə	0.567
w	-	0.298
w	ɕ	0.056
wˀ	m	0.749
wˀ	ə	0.251
ð̞ˠ	s	0.435
ð̞ˠ	t	0.419
ð̞ˠ	-	0.131
ŋ	ŋ	0.796
ŋ	ɕ	0.129
ŋ	e	0.075
ŋˀ	ŋ	0.626
ŋˀ	ŋ_k	0.374
ɐ	ɐ	0.695
ɐ	-	0.13
ɐ	d_ɐ	0.112
ɐ	ə	0.057
ɐˀ	ʀ	0.581
ɐˀ	ɐ_t	0.32
ɐˀ	ɐ	0.099
ə	ə	0.51
ə	-	0.412
ə	ɐ	0.053
ɡ̊	ɡ	0.67
ɡ̊	k	0.189
ɡ̊	ɕ	0.103
ʁ	ʀ	0.947
ʁ	b	0.051
ʋ	v	0.502
ʋ	w	0.26
ʋ	-	0.111
ʋ	ə_f	0.095
ʦʰ	d	0.623
ʦʰ	ʦ	0.324
ʦʰ	-	0.054
ʨ	d	1.0
ˈa	ˈɑ	0.471
ˈa	ˈaː	0.445
ˈa	ˈu	0.057
ˈaː	ˈaː	1.0
ˈe	ˈɑ	0.483
ˈe	ˈə	0.18
ˈe	ˈe	0.107
ˈe	ˈæ	0.099
ˈe	-	0.073
ˈeˀ	ˈeː	0.615
ˈeˀ	ˈɜɪ̯	0.122
ˈeˀ	ˈaː	0.1
ˈeˀ	ˈiə̯	0.079
ˈeˀ	ə	0.05
ˈeː	ˈaː	0.5
ˈeː	ˈi	0.5
ˈi	ˈiː	0.713
ˈi	ˈɑɪ̯	0.287
ˈiˀ	ˈæːɪ̯	0.294
ˈiˀ	ˈe_ŋ	0.236
ˈiˀ	ˈæɪ̯	0.179
ˈiˀ	ˈə	0.123
ˈiˀ	ˈi	0.088
ˈiˀ	ˈɑɪ̯	0.055
ˈiː	ˈoː	0.353
ˈiː	ˈɑɪ̯	0.231
ˈiː	ˈæːɪ̯	0.19
ˈiː	ˈə	0.134
ˈiː	ˈɜɪ̯	0.092
ˈo	ˈaː	0.514
ˈo	ˈʊ	0.199
ˈo	ˈuː	0.124
ˈo	w	0.099
ˈo	ˈo	0.064
ˈoˀ	ˈəʊ̯	0.231
ˈoˀ	ˈu	0.183
ˈoˀ	ˈʊ	0.145
ˈoˀ	ˈæːʊ̯	0.128
ˈoˀ	ˈiː	0.123
ˈoˀ	ˈɛː	0.117
ˈoˀ	w	0.073
ˈoː	ˈaː	0.442
ˈoː	ˈi	0.338
ˈoː	ˈɑ	0.22
ˈu	ˈo	0.604
ˈu	ˈə	0.183
ˈu	ˈɔ	0.109
ˈu	ˈu	0.104
ˈuˀ	ˈæːʊ̯	0.713
ˈuˀ	ˈu	0.105
ˈuˀ	ˈɑɪ̯	0.105
ˈuˀ	ˈiə̯	0.076
ˈuː	ˈo	0.313
ˈuː	ˈæːʊ̯	0.259
ˈuː	ˈɜɪ̯	0.259
ˈuː	ˈɑɪ̯	0.168
ˈy	ˈe	0.756
ˈy	ˈæːɪ̯	0.244
