North Frisian	West Frisian	probability
b	b	0.98
d	d	0.54
d	t	0.292
d	-	0.115
dʲ	t	0.458
dʲ	d	0.439
dʲ	-	0.104
f	f	0.968
h	h	1.0
i	ə	0.504
i	ɪ	0.332
i	-	0.165
j	j	0.421
j	-	0.262
j	χ	0.225
k	k	0.939
k	-	0.061
l	l	0.996
lʲ	t	0.45
lʲ	l	0.342
lʲ	ˈɔː	0.123
lʲ	ˈuə̯	0.085
m	m	1.0
n	n	0.988
nʲ	n	1.0
p	p	1.0
r	r	0.913
r	-	0.08
s	s	0.843
s	-	0.107
t	t	0.919
tʲ	t	0.811
tʲ	d	0.143
v	v	0.505
v	ʋ	0.311
v	f	0.093
v	-	0.081
w	χ	0.558
w	ɣ	0.322
w	ə	0.12
x	χ	1.0
z	t	0.557
z	z	0.443
ŋ	ŋ	0.669
ŋ	-	0.201
ŋ	n	0.13
ə	ə	0.783
ə	-	0.217
ɛi̯	ɪ	1.0
ɡ	ɡ	1.0
ʃ	s	0.948
ˈa	ˈɪ	0.429
ˈa	ˈɛː	0.248
ˈa	ˈø	0.082
ˈa	ˈa	0.074
ˈa	ˈɛ	0.068
ˈa	-	0.055
ˈai̯	ˈɪ	0.581
ˈai̯	ˈɛ	0.24
ˈai̯	ˈɛi̯	0.123
ˈai̯	ˈɪə̯	0.057
ˈaː	ˈoə̯	0.428
ˈaː	ˈɪ	0.175
ˈaː	ˈyː	0.175
ˈaː	ˈɔ	0.145
ˈaː	ˈiː	0.077
ˈeː	ˈɪ	0.307
ˈeː	ˈɛ	0.159
ˈeː	ˈi	0.125
ˈeː	ˈɛː	0.107
ˈeː	ˈɪə̯	0.099
ˈeː	ˈaː	0.054
ˈi	ˈi	0.458
ˈi	ˈiː	0.215
ˈi	ˈeː	0.094
ˈi	ˈɛi̯	0.075
ˈi	ˈɪ	0.067
ˈiː	ˈiə̯	0.498
ˈiː	ˈɪə̯	0.147
ˈiː	ˈiː	0.102
ˈiː	j	0.091
ˈiː	ˈɛ_j	0.068
ˈu	ˈoə̯	0.5
ˈu	ˈɪ	0.5
ˈuː	ˈɪə̯	0.567
ˈuː	ˈuə̯	0.157
ˈuː	ˈuː	0.096
ˈuː	ˈa	0.071
ˈuː	ˈeː	0.063
ˈyː	ˈuː	0.3
ˈyː	ˈɪə̯	0.213
ˈyː	ˈøə̯	0.114
ˈyː	ˈoː	0.094
ˈyː	ˈaː	0.08
ˈyː	ˈyː	0.062
ˈøː	ˈuː	0.528
ˈøː	ˈuə̯	0.314
ˈøː	ˈu	0.135
ˈœ	ˈɔː	0.386
ˈœ	ˈuə̯	0.176
ˈœ	ˈɪ	0.138
ˈœ	ˈy	0.126
ˈœ	ˈaː	0.066
ˈœ	ˈɛ	0.054
ˈœi̯	ˈuə̯	1.0
ˈɒ	ˈa	0.618
ˈɒ	ˈiə̯	0.161
ˈɒ	ˈɔ	0.124
ˈɒ	ˈɔː	0.056
ˈɒː	ˈaː	0.445
ˈɒː	ˈa	0.302
ˈɒː	ˈɛː	0.166
ˈɒː	ˈɛ	0.087
ˈɔ	ˈoə̯	0.978
ˈɔi̯	ˈaː	1.0
ˈɔu̯	ˈoə̯	0.371
ˈɔu̯	ˈuə̯	0.276
ˈɔu̯	ˈuː	0.177
ˈɔu̯	ˈɔu̯	0.165
ˈɔː	ˈa	0.319
ˈɔː	ˈɔ	0.158
ˈɔː	ˈɪ	0.14
ˈɔː	ˈiː	0.133
ˈɔː	ˈɪə̯	0.133
ˈɛ	ˈiə̯	0.421
ˈɛ	ˈɛ	0.266
ˈɛ	ˈu̯o	0.148
ˈɛ	ˈɪ	0.101
ˈɛ	ˈi	0.064
ˈɛi̯	ˈiə̯	0.527
ˈɛi̯	ˈɛi̯	0.241
ˈɛi̯	ˈiː	0.155
ˈɛi̯	ˈɪ	0.077
ˈɛː	ˈaː	0.353
ˈɛː	ˈɛi̯	0.243
ˈɛː	ˈiə̯	0.168
ˈɛː	ˈɪə̯	0.097
ˈɛː	ˈi	0.07
ˈɛː	ˈɛ	0.07
ˈʊ	ˈɔ	0.307
ˈʊ	ˈu	0.243
ˈʊ	ˈa	0.124
ˈʊ	ˈɪə̯	0.062
ˈʊ	ʋ_ˈɔ	0.056
ˈʊ	ˈɪ	0.05
ˈʏ	ˈyː	0.311
ˈʏ	ˈɔ	0.311
ˈʏ	ˈoː	0.128
ˈʏ	ˈy	0.128
ˈʏ	ˈø	0.121
