Western Lombard	Walloon	probability
f	f	1.0
o	-	1.0
p	p	1.0
w	w	1.0
ɲ	ɲ	1.0
ʤ	-	1.0
ˈẽ	ˈɛ̃	1.0
ˈĩ	ˈẽ	1.0
ˈoː	ˈoː	1.0
ˈũ	ˈɔ̃	1.0
ˈœ	ˈuː	1.0
v	-	0.071
v	f	0.211
ʒ	ʤ	0.241
ʧ	-	0.331
ˈe	ˈɛ	0.51
ˈiː	w_ˈɛ	0.201
ˈøː	ˈuː	0.841
ˈɑː	ˈɛ	0.151
ˈɔ	ɔ	0.21
e	ˈɛː	0.12
j	l	0.592
m	m	0.832
ˈa	ˈa	0.362
ˈi	ˈiː	0.2
ˈɔ	ˈɔ	0.362
ˈɛ	ˈøː	0.052
s	ʃ	0.233
u	ɔ	0.783
ˈã	ˈɛ̃	0.3
ˈu	ˈuː	0.433
ˈyː	ˈy	0.113
ˈɑː	ˈe	0.183
ˈɛ	ˈɛ	0.293
b	b	0.874
i	-	0.794
m	m_w	0.14
t	-	0.184
z	v	0.624
ɡ	ɡ	0.304
ʒ	-	0.624
ʧ	s	0.474
ˈyː	ˈɛ	0.444
ˈɛ	j	0.44
a	ɛ	0.085
k	ʧ	0.255
k	k	0.745
n	-	0.265
n	n	0.735
r	-	0.185
r	ʀ	0.815
ʒ	ʒ	0.135
ʧ	j	0.195
ˈa	ˈe	0.375
ˈeː	j	0.385
ˈiː	ˈɛ	0.55
ˈuː	ˈɔ	0.255
a	a	0.386
b	p	0.126
i	ˈi	0.206
l	-	0.106
t	t	0.816
z	s	0.376
ɡ	-	0.696
ˈeː	ˈiː	0.176
ˈyː	ˈu	0.186
d	-	0.557
e	i	0.067
e	ɛ	0.067
e	-	0.707
l	ˈa	0.307
l	l	0.587
u	uː	0.217
ˈa	ˈiː	0.187
ˈã	ˈɑ̃	0.7
ˈuː	ˈøː	0.687
ˈyː	ˈøː	0.257
ˈɑː	ˈiː	0.057
d	d	0.398
j	-	0.408
s	s	0.728
v	v	0.718
ˈi	ˈi	0.8
ˈu	ˈɔ	0.488
ˈuː	w	0.058
ˈɑː	ˈa	0.608
ˈɔ	w_ˈa	0.428
ˈɛ	ˈe	0.058
ˈɛ	j_ˈɛ	0.088
a	j	0.529
ˈe	ˈiː	0.49
ˈeː	w	0.439
ˈiː	ˈiː	0.249
ˈu	ˈu	0.079
ˈøː	ˈøː	0.159
ˈɛ	w_ˈɛ	0.069
