Lower Sorbian	Upper Sorbian	probability
ˈɨ	ˈɪ	1.0
ˈu	ˈu	1.0
ˈi	ˈi	1.0
ʨ	ʧ	1.0
ʑ	ʤ	1.0
ʐ	ʒ	1.0
ɲ	ɲ	1.0
ɡ	ɦ	1.0
ɔ	ɔ	1.0
z	z	1.0
vʲ	ɥ	1.0
v	β	1.0
t	t	1.0
s	s	1.0
rʲ	ʀʲ	1.0
r	ʀ	1.0
pʲ	pʲ	1.0
p	p	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
l	l	1.0
kʲ	kʲ	1.0
j	j	1.0
i	i	1.0
e	ɛ	1.0
d	d	1.0
bʲ	bʲ	1.0
b	b	1.0
a	a	1.0
w	w	0.895
ɕ	ʧ	0.842
ɨ	ɪ	0.789
ˈɪ	ˈe	0.778
k	k	0.731
ʦ	ʦ	0.625
ˈa	ˈa	0.6
ɛ	ɛ	0.6
x	x	0.6
<#	β_<#	0.6
ˈɔ	ˈɔ	0.593
ˈɛ	ˈɔ	0.583
ˈe	ˈɛ	0.5
ˈe	ˈe	0.5
ʂ	ʃ	0.5
ʂ	ʀ	0.5
ɛ	ˈɛ	0.4
x	xʲ	0.4
<#	p_<#	0.4
ʦ	ʧ	0.375
ˈɔ	ˈo	0.333
k	x	0.269
ˈɛ	ˈɛ	0.25
ˈa	ˈɔ	0.2
ˈa	ˈe	0.2
ˈɛ	ˈo	0.167
ɕ	ʃ	0.158
ˈɪ	ˈɛ	0.111
ˈɪ	ˈa	0.111
ɨ	ˈɔ	0.105
ɨ	i	0.105
w	ˈɔ_w	0.105
ˈɔ	β	0.074
