American English	American English	probability
ˈɝ	-	1.0
ˈɛə̯	ˈa	1.0
ˈɛ_ɡ	ˈɔɪ̯	1.0
ˈæ_θ	ˈɔː_d̥	1.0
ˈoʊ̯_ɫ	l	1.0
ˈoʊ̯_n	ˈeː	1.0
ˈi_#>	ˈaɪ̯_#>	1.0
ʤ	k	1.0
ʔ_#>	ʦ_#>	1.0
ʃ	ʃ	1.0
ɾ	s	1.0
ɚ	ɑ	1.0
ə_n	ə	1.0
ə	-	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	-	1.0
w	ʋ	1.0
tʰ	ʦ	1.0
pʰ	-	1.0
oʊ̯	-	1.0
n_d	n	1.0
l	l	1.0
kʰ	k	1.0
i	ɪ_ç	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#	<#_ˈɛ	1.0
m	m	0.923
ɫ	l	0.92
n	n	0.905
ɡ	ɡ	0.857
ˈoʊ̯	ˈeː	0.833
ˈu	-	0.8
ˈɪ	ˈɪ	0.769
#>	ɡ̊_#>	0.75
θ	d	0.733
f_#>	b̥_#>	0.714
ˈʌ	ˈʊ	0.7
t	t	0.692
p	f	0.667
ɹ	ɾ	0.625
s	s	0.587
ˈaʊ̯	ˈaʊ̯	0.571
ˈʌɪ̯	ˈaɪ̯	0.556
d	d̥	0.532
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuː	0.5
ʔ	s	0.5
j	ɡ	0.5
j	j	0.5
ˈaɪ̯	ˈaɪ̯	0.474
ˈæ	ˈa	0.444
ˈeɪ̯	ˈɔː	0.429
ˈeɪ̯	ˈa	0.429
s	ʃ	0.413
ˈɔ	ˈaː	0.4
ˈɔ	-	0.4
v	ʋ_ə	0.375
v	f	0.375
d	d	0.362
ˈɑ	ˈa	0.357
ˈæ	-	0.333
p	f_ə	0.333
k	k	0.333
ˈi	ˈiː	0.303
ˈɛ	ˈɛ	0.29
ˈɑ	-	0.286
f_#>	#>	0.286
ʔ	t	0.273
θ	d̥	0.267
k	ç	0.267
k	x	0.267
ˈɛ	-	0.258
ɹ	ɑ	0.25
v	ˈɪ_ʋ	0.25
#>	ɑ_#>	0.25
ʔ	s_ə	0.227
ˈʌɪ̯	ˈa_x	0.222
ˈʌɪ̯	-	0.222
ˈæ	ˈa_l	0.222
ˈɑ	ˈɔ	0.214
ˈaʊ̯	ˈuː	0.214
ˈaʊ̯	-	0.214
ˈaɪ̯	ˈɪ	0.211
ˈaɪ̯	-	0.211
ˈʌ	-	0.2
ˈɔ	ˈa	0.2
ˈu	ˈuː	0.2
ˈi	ˈɔː	0.182
ˈi	ˈeː	0.182
ˈoʊ̯	ˈa	0.167
ˈɛ	ˈeː	0.161
ˈɪ	ˈɛ	0.154
t	d	0.154
t	-	0.154
ˈi	ˈoː	0.152
ˈɑ	ˈɛː	0.143
ˈeɪ̯	-	0.143
ɡ	-	0.143
k	k_ə	0.133
ˈɛ	ˈoː	0.129
ɹ	-	0.125
ˈi	-	0.121
ˈaɪ̯	ˈɪ_n	0.105
ˈʌ	ˈuː	0.1
ˈɛ	ˈɔː	0.097
n	-	0.095
ɫ	ɣ_l	0.08
ˈɪ	-	0.077
m	m_ˈoː	0.077
ˈɛ	ˈɛː	0.065
d	d_ə	0.064
ˈi	ˈuː	0.061
