Dutch	Dutch	probability
χ_t	ç	1.0
ˈʏ	ˈʏ	1.0
ˈɪ	ˈɪ	1.0
ˈɛi̯_n	ˈiː_n	1.0
ˈɛ_ɾ	ˈaː	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈøː	ˈɛː	1.0
ˈyː	ˈyː	1.0
ˈoː_ɾ	ˈuː_æ	1.0
ˈi_ɾ	ˈiː_æ	1.0
ʋ	v	1.0
ɾ_s	s	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_χ	ɪ_ç	1.0
ə_ɾ	æ	1.0
ə_n	m	1.0
ə_#>	#>	1.0
z_ʋ	ʃ_w	1.0
w	-	1.0
v̥	v̥	1.0
t_ə	t	1.0
s_χ	ʃ	1.0
n_t	n_t	1.0
n_d	n	1.0
k_ə	k	1.0
j	j	1.0
i	ae̯	1.0
b	b	1.0
<#_χ	<#_j	1.0
<#_t	<#_tʰ	1.0
ˈɑ	ˈa	0.926
t	t	0.917
p	p	0.917
z	z	0.905
n	n	0.899
m	m	0.893
d̥	d̥	0.875
ə	-	0.857
d	d	0.853
ŋ	ŋ	0.846
v	f	0.828
ˈi	ˈae̯	0.8
ˈœy̯	ˈuː	0.786
z̥	z̥	0.778
ˈɛi̯	ˈiː	0.75
s	ʃ	0.75
ɾ	r	0.7
ˈaː	ˈɒː	0.696
ˈɛ	ˈɛ	0.647
ˈu	ˈaʊ̯	0.647
ˈɔ	ˈʊ	0.609
ˈɑu̯	ˈɔ_l	0.6
χ_ə	ŋ	0.556
k	kʰ	0.556
ˈeː	ˈae̯	0.52
v̥_#>	f_#>	0.5
v̥_#>	#>	0.5
χ_ə	ɡ	0.444
k	k	0.444
ˈoː	ˈaʊ̯	0.407
ˈɑu̯	ˈuː	0.4
ˈu	ˈɔʏ̯	0.353
χ	ɡ	0.321
χ	ç	0.321
ˈɔ	ˈɔ	0.261
χ	x	0.25
s	s	0.25
ˈeː	ˈɛː	0.24
ˈɛ	-	0.235
z̥	-	0.222
ˈœy̯	ˈyː	0.214
ˈi	-	0.2
ˈaː	-	0.174
v	-	0.172
ŋ	ç	0.154
ɾ	æ	0.15
ˈoː	ˈœː	0.148
ə	æ	0.143
ˈɔ	-	0.13
ˈɛi̯	ˈɪ	0.125
ˈɛi̯	ˈae̯	0.125
ˈeː	ˈɛ	0.12
ˈeː	-	0.12
ˈɛ	ˈʏ	0.118
ˈoː	ˈɔʏ̯	0.111
ˈoː	ˈɒː	0.111
ˈoː	-	0.111
m	-	0.107
n	-	0.101
z	z_ˈeː	0.095
d	ɾ	0.088
ˈaː	ˈoː	0.087
t	-	0.083
p	pʰ	0.083
ˈɑ	ˈaː	0.074
ˈoː	ˈɔ	0.074
χ	ɣ̊	0.071
d̥	t	0.062
d̥	-	0.062
d	-	0.059
