Danish	Danish	probability
ˈʌˀ	ˈʊə̯	1.0
ˈɛˀ	ˈiː	1.0
ˈɔː	ˈɛː	1.0
ˈɒˀ	ˈɛː	1.0
ˈɑː	ˈɒː_d	1.0
ˈœ	-	1.0
ˈøː	ˈʊə̯	1.0
ˈø	-	1.0
ˈæˀ	ˈɑ	1.0
ˈyː	ˈiː	1.0
ˈy	-	1.0
ˈuː	ˈyː	1.0
ˈoː	-	1.0
ˈo_ɐˀ	ɾ	1.0
ˈo	ʋ	1.0
ˈi	-	1.0
ˈeː	-	1.0
ʨ	d_ˈʊə̯	1.0
ʋ_#>	v̥_#>	1.0
ʋ	ʋ	1.0
ɡ̊_ə	k_ə	1.0
ɕ	z	1.0
ɐˀ	ɾ	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	ə	1.0
s_ɡ̊	s	1.0
s_ə	z_ə	1.0
pʰ	p	1.0
n_#>	#>	1.0
n	n	1.0
mˀ	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
j_ˈɛ	ˈæ	1.0
j_#>	x_#>	1.0
f	v	1.0
e	i	1.0
d̥_#>	t_#>	1.0
b̥_#>	p_#>	1.0
<#_ʦʰ	<#_t	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ̊	<#_x	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_kʰ	<#_k	1.0
<#_j	<#	1.0
<#_h_ˈɛː	<#_ˈɛː	1.0
<#_h	<#	1.0
<#_d̥	<#_d	1.0
l	ɫ	0.917
ʦʰ	d	0.846
ɡ̊	x	0.8
ˈyˀ	ˈiː	0.778
b̥	b	0.75
ˈæ	ˈɑ	0.733
ˈɔˀ	ˈɛː	0.714
ʁ	ɾ	0.714
d̥	t	0.714
ˈuˀ	ˈyː	0.7
ə	ə	0.674
ˈu	ˈɔ	0.667
ˈɛ	-	0.636
ˈiˀ	ˈi	0.625
ˈøˀ	ˈʊə̯	0.6
nˀ	n_d̥	0.583
ˈʌ	-	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈoː	0.5
ˈɑˀ	ˈæ	0.5
ˈɑˀ	-	0.5
ˈœˀ	ˈʊə̯	0.5
ˈœˀ	-	0.5
ˈiː	ˈi	0.5
ˈiː	-	0.5
ɐ	ɾ	0.481
ˈe	ˈɪ	0.467
s	z	0.457
lˀ	ɫ	0.455
j	k	0.444
<#	<#_ʋ	0.444
ˈeˀ	ˈɪə̯	0.429
nˀ	n	0.417
ð̞ˠ	t	0.407
ð̞ˠ	d̥	0.407
ˈøˀ	-	0.4
s	s	0.391
w	-	0.385
#>	ə_#>	0.378
ˈiˀ	ˈɪ	0.375
ɐ	ə_ɾ	0.37
lˀ	ɫ_ə	0.364
ˈoˀ	ˈuː	0.333
ˈoˀ	ˈu	0.333
ˈoˀ	-	0.333
j	ˈɪə̯	0.333
<#	<#_ˈɑ	0.333
w	x	0.308
ˈʌ	ˈøː	0.3
ˈuˀ	-	0.3
ˈɔˀ	-	0.286
d̥	x_t	0.286
ˈe	ˈæ	0.267
ˈɑ	ˈɪ	0.25
ˈɑ	ˈɑ	0.25
ˈɑ	ˈæ_ɾ	0.25
ˈɑ	-	0.25
b̥	p	0.25
ə	-	0.233
ˈyˀ	-	0.222
j	x	0.222
<#	<#_j	0.222
ˈeˀ	ˈæi̯	0.214
ˈʌ	ˈɔ	0.2
ɡ̊	k	0.2
ˈɛ	ˈɑ	0.182
ˈɛ	ˈæ	0.182
lˀ	d̥	0.182
#>	k_#>	0.178
ˈu	ˈʏ	0.167
ˈu	ˈu	0.167
ʦʰ	t_ʋ	0.154
w	ˈeː_v	0.154
w	v	0.154
ɐ	ɾ_ə	0.148
ˈeˀ	ˈiː	0.143
ˈeˀ	-	0.143
ʁ	ˈɔ	0.143
ʁ	-	0.143
ˈæ	ˈɒː	0.133
ˈæ	-	0.133
ˈe	ˈi	0.133
ˈe	-	0.133
#>	d̥_#>	0.133
ð̞ˠ	ˈeː_t	0.111
#>	v̥_#>	0.111
#>	n_#>	0.111
s	z̥	0.109
#>	ɾ_#>	0.089
l	l	0.083
ð̞ˠ	t_ə	0.074
ˈeˀ	ˈiːə̯	0.071
ə	d_ə	0.07
