Provençal	Provençal	probability
ˈɛ_ʀ	ˈɛ_r	1.0
ˈɛ_j	ˈe	1.0
ˈɔ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_w	l_o	1.0
ˈe_s	sː	1.0
ˈã	ˈa	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈa	1.0
ʧ	tː	1.0
ʤ_e	d_i	1.0
ʀ_k	r_k	1.0
ɾ_ɔ	r_a	1.0
ɾ_e	r_o	1.0
ɲ	ɲː	1.0
ɥ_ˈe	ˈɔ	1.0
ŋ_d	n_e	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
w_b	l_b	1.0
v	v	1.0
ũ	o	1.0
u_l	o_l	1.0
s_ˈe	s_ˈe	1.0
p	p	1.0
n	n	1.0
mː	i_m	1.0
m	m	1.0
lː	ʧ	1.0
l_ɔ	lː_a	1.0
k_ɾ	k_r	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ˈi	1.0
j_s	ʃː	1.0
j_#>	#>	1.0
ĩ	i	1.0
ẽ	-	1.0
e_s	s	1.0
d_ɔ	t_a	1.0
ã	a	1.0
a_d	a_t	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_u	1.0
f	f	0.958
ɔ	a	0.923
k	k	0.863
ˈy	ˈu	0.846
ɾ	r	0.844
t	t	0.789
ʤ	ʤ	0.778
ɡ	ɡ	0.75
ˈɛ	ˈɛ	0.708
ˈi	ˈi	0.696
l	j	0.682
u	o	0.667
i	i	0.667
<#_a	<#_a	0.667
b	b	0.654
ˈũ	ˈo	0.636
ˈu	ˈo	0.607
ˈa	ˈa	0.593
ˈẽ	ˈɛ	0.588
d	t	0.571
ʀ	r	0.565
#>	e_#>	0.556
e	e	0.542
ˈe	ˈe	0.5
ɥ	ˈɔ	0.5
ɥ	w	0.5
s	s	0.491
#>	o_#>	0.444
z	ʧ	0.429
d	d	0.429
ŋ	n	0.383
ˈũ	ˈu	0.364
i	e	0.333
<#_a	<#	0.333
s	ʧ	0.309
z	ʤ	0.286
z	d	0.286
b	p	0.269
ˈa	ˈa_r	0.259
ŋ	n_o	0.255
ˈe	ˈɔ	0.25
ɡ	-	0.25
j	j	0.25
l	l	0.227
ʤ	-	0.222
ˈi	ˈi_r	0.217
j	ˈɛ	0.214
ŋ	n_t	0.213
t	tː	0.211
ˈu	ˈu	0.179
j	ʎː	0.179
ˈẽ	-	0.176
w	w	0.176
ˈɛ	ˈe	0.167
u	ˈo	0.167
u	o_l	0.167
e	i	0.167
w	lː_o	0.157
ɾ	e_r	0.156
ˈy	-	0.154
ŋ	ŋ	0.149
ˈu	ˈo_r	0.143
w	o	0.137
ʀ	r_t	0.13
ʀ	r_n	0.13
ˈɛ	j_ˈɛ	0.125
ˈẽ	ˈɔ	0.118
ˈẽ	ˈe	0.118
ˈe	o	0.111
e	o	0.104
w	v_e	0.098
l	lː	0.091
ˈi	-	0.087
ʀ	rː	0.087
ʀ	-	0.087
ˈe	-	0.083
e	a	0.083
w	ˈo	0.078
w	l_o	0.078
k	kː	0.078
b	bː	0.077
s	ʧː	0.073
ˈu	ˈɔ_kː	0.071
j	ˈi	0.071
j	o	0.071
j	kː_j	0.071
j	kː	0.071
j	-	0.071
e	r_e	0.062
w	ˈɔ	0.059
w	l_e	0.059
w	l	0.059
w	-	0.059
k	ɡ_o	0.059
ˈe	ˈɛ	0.056
ˈa	ˈa_l	0.056
ˈa	w_ˈa	0.056
s	ʦ	0.055
