Latin	Latin	probability
ˈʊ_p	ˈy	1.0
ˈɪ_ɡ	ˈɛː	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈuː_t	ˈu	1.0
ˈu	ˈu	1.0
ˈoː_n	ˈɔ̃	1.0
ˈoe̯	ˈɛː	1.0
ˈĩː	ˈi	1.0
ˈiː_r	ˈi	1.0
ˈi	-	1.0
ˈe	ˈi_w	1.0
ˈaː_n	ˈɑ̃	1.0
ˈae̯	j_ˈɛ	1.0
ˈa_ɫ	ˈoː	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ʊ̃ː_#>	#>	1.0
ʊ̃ː	o	1.0
ʊ̃	w_o	1.0
ʊ_ɫ	ʎ	1.0
ɫ_ˈa	l	1.0
ɫ_ʊ̃ː_#>	#>	1.0
ɪ̃	ə	1.0
ɪ_k	o	1.0
ɡʷ	-	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃ː	o	1.0
ɛ̃	-	1.0
ɛ_r	ʁ	1.0
ɛ_#>	#>	1.0
ɔ_r	ʁ_o	1.0
w_ɛ̃ː	f	1.0
uː	-	1.0
u	-	1.0
t_ãː	ˈe	1.0
s_ˈɪ	s_ˈɛ	1.0
s_ˈa	s	1.0
s_p	e_p	1.0
s_#>	#>	1.0
r_ɛ̃ː	ə	1.0
r_n	ʁ	1.0
p_ɛ	v	1.0
n_e	ɲ	1.0
mː	m	1.0
lʲː	l	1.0
lʲ_i	ʎ	1.0
kʷ	k	1.0
kʰ	ˈɛ_f	1.0
k_ˈa	ʃ_j	1.0
k_ʊ̃ː	ˈa	1.0
k_ɪ	s_ˈĩ	1.0
k_r	k_ʁ	1.0
i_ʊ̃ː_#>	ˈe_#>	1.0
i_oː	o	1.0
i_ãː	ə	1.0
i_a	ə	1.0
f	f	1.0
eː	-	1.0
e	-	1.0
ãː_#>	#>	1.0
ae̯	-	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_m	ĩ	1.0
<#_ˈɔ	<#_w	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_k	<#_ʃ	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
m	m	0.871
w	v	0.852
ɪ	-	0.824
ˈaː_r	ˈa	0.778
ɫ	l	0.724
oː	o	0.714
r	ʁ	0.707
ãː	a	0.707
d	-	0.706
ŋ	-	0.7
b	b	0.692
ɛ	ə	0.682
tː	t	0.667
lʲ	l	0.667
a	a	0.667
p	p	0.636
i	-	0.636
ˈa	ˈa	0.625
ˈaː_t	ˈaː_ð	0.6
ˈau̯	-	0.6
ɔ	-	0.6
t	-	0.6
sː	s	0.6
aː	a	0.6
ˈiː_n	ˈĩ	0.571
ˈiː	ˈi	0.556
ˈeː	ˈɛː	0.545
ˈaː	ˈa	0.538
n	n	0.516
ˈuː	ˈu	0.5
kː	ʃ	0.5
kː	t	0.5
iː	i	0.5
iː	-	0.5
ˈeː	-	0.455
ˈiː_n	ˈe_n	0.429
ˈoː	ˈo	0.417
ʊ	-	0.417
ˈɪ	ˈɛː	0.4
ˈɪ	-	0.4
ˈaː_t	ˈaː	0.4
ˈau̯	w	0.4
ɔ	o	0.4
sː	-	0.4
aː	-	0.4
ˈɛ	ˈe	0.387
ɡ	ɡ	0.381
i	j	0.364
ˈʊ	w	0.353
ʊ	o	0.333
ɡ	ð	0.333
tː	-	0.333
lʲ	-	0.333
ɛ	-	0.318
t	t	0.311
b	-	0.308
ŋ	ˈɛ̃	0.3
ˈʊ	-	0.294
s	s	0.286
oː	ɔ	0.286
k	-	0.271
ˈɔ	w	0.269
k	k	0.254
ˈuː	ˈo	0.25
ˈuː	j	0.25
ˈoː	-	0.25
ʊ	ˈø	0.25
s	e	0.238
ˈʊ	ˈo	0.235
ˈɔ	ˈoː	0.231
p	-	0.227
ãː	ə	0.224
ˈiː	ˈe	0.222
ˈiː	-	0.222
ˈaː_r	ˈe	0.222
r	ð	0.207
ˈɪ	ˈɛ	0.2
a	-	0.2
ˈɛ	ˈɛ	0.194
ɡ	-	0.19
d	d	0.176
ˈoː	ˈɔ̃	0.167
ˈoː	ˈø	0.167
ˈɔ	-	0.154
ˈaː	ˈe	0.154
ˈaː	ˈaː	0.154
ˈaː	-	0.154
w	-	0.148
s	ʃ	0.143
s	ʁ	0.143
ɫ	ʎ	0.138
ɫ	-	0.138
p	v	0.136
a	ə	0.133
ˈɛ	ˈi	0.129
ˈɛ	j_ˈe	0.129
n	ˈɛ̃	0.129
m	-	0.129
ˈa	ˈaː	0.125
k	ʃ	0.119
k	s	0.119
ˈʊ	ˈɔ	0.118
ɪ	ˈɑː	0.118
d	ʒ	0.118
ˈɔ	ˈɔ	0.115
ˈɔ	ˈø	0.115
ˈɔ	ˈu	0.115
k	ˈe	0.102
ˈɛ	ˈɛː	0.097
n	ɲ	0.097
n	d	0.097
n	-	0.097
ɡ	ˈɛː	0.095
s	ˈe	0.095
s	-	0.095
k	z	0.085
ˈa	ˈɛː	0.083
ˈa	ˈɑː	0.083
ˈa	-	0.083
ãː	i	0.069
ˈɛ	j	0.065
n	ˈɔ̃	0.065
ɪ	ɛ̃	0.059
r	ˈoː_ʁ	0.052
k	ˈɛ	0.051
