Lengadocian	Lengadocian	probability
β_ɾ	v_r	1.0
ˈu_#>	ˈõũ̯_#>	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_j	ˈɛ	1.0
ˈa_w	ˈɔə̯	1.0
ˈa_j	ˈeə̯_d	1.0
ʧ	t	1.0
ʦ_#>	θ_#>	1.0
ʦ	z	1.0
ʎ_ɔ	ɐ	1.0
ʀ	r	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_ˈa	r_ˈʌ̃	1.0
ɾ_e	ɐ_r	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɥ_ˈɔ	ˈu	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ	ŋ	1.0
z_ˈa	j	1.0
z	-	1.0
y	-	1.0
t	t	1.0
s_ˈɛ	θ_ˈɛ	1.0
s_ˈa	s_ˈʌ̃	1.0
p	p	1.0
nː	m_n	1.0
n_#>	n_t_#>	1.0
n	n	1.0
mː	t_m	1.0
m_#>	m_#>	1.0
m	m	1.0
lː	-	1.0
l_ˈy	l	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈɛə̯	1.0
j	-	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
b_ɾ	b_r	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a_w	<#_u	1.0
k	k	0.953
ɔ	ɐ	0.932
u	u	0.846
s_#>	#>	0.833
a	ɐ	0.812
l	l	0.774
l_ˈa	j_ˈʌ̃	0.75
ɾ	r	0.727
t_#>	d_#>	0.667
i	i	0.667
s	s	0.659
ˈa_#>	ˈeə̯_#>	0.643
ð	d	0.625
ˈy	ˈo	0.615
ˈɔ	ˈɔə̯	0.6
w	-	0.6
β	v	0.583
ʤ	ð	0.562
b	v	0.559
k_#>	ɡ_#>	0.556
ˈu	ˈou̯	0.5
ɥ	ˈu	0.5
ɥ	-	0.5
w_#>	v_#>	0.5
w_#>	#>	0.5
<#_a	<#_ɐ	0.5
<#_a	<#	0.5
k_#>	k_#>	0.444
b	b	0.441
ˈi	ˈi	0.44
ˈɛ	ˈɛə̯	0.438
β	b	0.417
ˈa	ˈeə̯	0.386
ð	t	0.375
e	ɐ	0.36
ˈa_#>	ˈʌ̃_#>	0.357
ˈu	ˈo	0.333
t_#>	#>	0.333
i	-	0.333
#>	ɐ_#>	0.32
ˈa	ˈa	0.318
ʤ	-	0.312
e	-	0.28
ɾ	-	0.273
ˈe	ˈɛ	0.258
ˈe	ˈeː	0.258
ˈɔ	ˈɔ	0.25
s	θ	0.25
l_ˈa	ˈaː	0.25
ˈi	ˈɛ	0.24
ˈi	ˈẽ	0.24
ˈy	ˈu	0.231
ˈa	ˈʌ̃	0.227
ˈe	-	0.226
ˈɛ	ˈɛ	0.219
w	ˈeː	0.2
w	v_ɐ	0.2
e	ɐ_r	0.2
#>	r_#>	0.2
a	a	0.188
s_#>	p_#>	0.167
ˈe	ˈi	0.161
e	i	0.16
ˈɛ	ˈeː	0.156
ˈy	-	0.154
u	-	0.154
ˈɔ	ˈo	0.15
l	j	0.145
ʤ	ʤ	0.125
#>	v_#>	0.12
#>	j̃_#>	0.12
ˈu	ˈɔ	0.1
ˈɛ	ˈi	0.094
ˈɛ	ˈẽ	0.094
s	z	0.091
ˈi	-	0.08
#>	ˈeə̯_#>	0.08
#>	l_#>	0.08
#>	d_#>	0.08
ˈa	ˈeə̯_l	0.068
ˈu	ˈu	0.067
