Palatine German	Middle English	probability
ˈɪ_n	ˈiː	1.0
ˈɛ̃ː	ˈɔː_n	1.0
ˈɛː_l	ɔu̯	1.0
ˈɑ̃ɪ̯	ˈiː_n	1.0
ˈɑː_ɣ̊	ˈæi̯	1.0
ˈõː	ˈu_n	1.0
ˈo	ˈɛː	1.0
ˈĩː	ˈeː_n	1.0
ˈi	ˈiː	1.0
ˈẽː	-	1.0
ˈau̯̯	ˈiː	1.0
ˈau̯	ˈuː	1.0
ʣ̥	t	1.0
ɣ̊	-	1.0
ɡ̊_r	ɡ_r	1.0
ɑ	ə	1.0
ɐ_ʣ̥	r_t	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_d	1.0
l_ˈɑ	l_ˈɔː	1.0
h	h	1.0
eː	eː_n	1.0
d̥_ˈɪ	θ_ˈi	1.0
m	m	0.939
b̥	b	0.85
n	n	0.792
ŋ	ŋ	0.784
ə	ə_n	0.752
ˈoː	ˈɛː	0.748
β	w	0.744
f	f	0.741
r	r	0.737
ˈuː	ˈoː	0.734
ˈu	ˈu	0.727
ˈɪ	ˈi	0.715
ˈaɪ̯	ˈiː	0.713
j	ə	0.703
d̥	d	0.666
ʃ_d̥	s_t	0.657
ˈɛ	ˈɛ	0.644
kʰ	k	0.635
l	l	0.622
ɐ	r	0.607
ɪ	iː	0.6
ˈiː	ˈeː	0.583
s	s	0.567
ˈɛː	ˈɔː	0.565
ʃ	ʃ	0.447
ˈɔ	ˈu	0.446
ˈɑ	ˈa	0.427
ɡ̊	k	0.415
ɪ	-	0.4
ˈeː	-	0.391
l	ɫ	0.378
x	ç	0.375
x	x	0.375
kʰ	ʧ	0.365
ɡ̊	ɡ	0.347
ʃ_d̥	ç_t	0.343
ˈɑː	ˈɛː	0.342
ˈɔ	ˈɔ	0.341
ˈeː	ˈeː	0.326
s	t	0.319
ˈɑː	ˈa	0.311
j	j	0.297
ʃ	s	0.276
ˈuː	ˈeː	0.266
d̥	θ	0.263
ˈoː	ˈoː	0.252
x	k	0.25
ˈɑː	ˈaː	0.249
ˈiː	-	0.24
ˈɛː	ˈæi̯	0.225
ɐ	ə_r	0.224
f	p	0.221
ˈɑ	ˈaː	0.219
ŋ	n_ɡ	0.216
ˈɪ	ˈiː	0.212
ˈɛː	ˈɛː	0.21
ˈaɪ̯	ˈeː	0.191
β	v	0.188
ˈiː	ˈiː	0.177
ˈɑ	ˈɔː	0.176
ˈu	ˈoː	0.17
ʃ	k	0.17
ˈɛ	ˈi	0.157
n	n_d	0.155
b̥	p	0.15
ɡ̊	j	0.149
ɐ	r_ə	0.145
ˈeː	ˈɛː	0.144
ə	n	0.141
ˈeː	ˈɔu̯	0.139
r	d	0.131
ˈɛ	-	0.124
ˈɔ	ˈeː	0.107
ˈɔ	-	0.107
ʃ	x	0.107
ə	ə	0.107
ˈu	ˈɔ	0.103
ˈɑː	-	0.099
ˈaɪ̯	-	0.096
ɡ̊	ʤ	0.088
ˈɑ	-	0.086
r	d_ə	0.08
ˈɪ	-	0.073
β	ʍ	0.068
m	m_b	0.061
d̥	t	0.06
s	z	0.058
s	t_ə	0.056
ˈɛ	ˈa	0.053
n	-	0.053
r	ð	0.052
