Emilian	Emilian	probability
ˈʌu̯	ˈu	1.0
ˈɛː	ˈɛ	1.0
ˈɛ_r_#>	ˈa_#>	1.0
ˈɛ_d	ˈa_j	1.0
ˈuː_r	ˈy	1.0
ˈi	-	1.0
ˈe_ŋ	ˈi	1.0
ˈa_ŋ	ˈa	1.0
ˈa_j	ˈe	1.0
ʤ	ɡ_l	1.0
ɡ_#>	k_#>	1.0
ŋ_t_#>	n_#>	1.0
w_ˈaː	ˈa	1.0
w	-	1.0
u	u	1.0
t_m	mː	1.0
t_a	t_ɔ	1.0
t_#>	ʧ_#>	1.0
t	t	1.0
r_#>	#>	1.0
n_#>	#>	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
k_r	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_r_#>	#>	1.0
f	f	1.0
e_r	e	1.0
e_n_#>	#>	1.0
d_i	ʤ_e	1.0
b_j	β_l	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_a_w	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
p	p	0.926
ˈaː	ˈa	0.882
l	l	0.838
s	s	0.825
b	b	0.818
ˈʌ	ˈu	0.8
θ	s	0.778
ɲ	ɲ	0.75
a	ɔ	0.739
ð	ʤ	0.714
v_#>	w_#>	0.714
i	i	0.714
ˈæ	ˈɛ	0.667
ˈe	ˈi	0.667
ɡ	ɣ	0.667
d_#>	t_#>	0.667
e	ɾ	0.636
v	b	0.607
d	ð	0.583
ˈɔː	ˈɔ	0.579
ʧ	l	0.556
ˈɔ	ˈɔ	0.538
ˈo	ˈy	0.5
ˈiː	ˈi	0.5
z	ʦ	0.5
a_r	e_ʀ	0.5
a_r	a_ɾ	0.5
j	l	0.412
ˈɛ	ˈa	0.405
ˈuː	ɥ	0.4
ˈa	ˈe	0.37
ŋ	n	0.36
ŋ	-	0.36
r	ɾ	0.356
#>	s_#>	0.35
ˈæ	-	0.333
d_#>	#>	0.333
v	β	0.321
ˈo	ˈu	0.312
ˈɛ	ˈɛ	0.31
r	ʀ	0.305
ˈuː	ˈy	0.3
ˈuː	ˈu	0.3
ˈa	ˈa	0.296
j	ʎ	0.294
j	-	0.294
ð	-	0.286
v_#>	#>	0.286
i	e	0.286
ŋ	ŋ	0.28
e	e	0.273
r	e	0.271
ˈa	ˈɛ	0.259
ˈiː	ˈe	0.25
ɲ	-	0.25
d	j	0.25
#>	ɔ_#>	0.25
#>	e_#>	0.25
ˈɔ	ˈu	0.231
ˈɔ	ɥ_ˈɛ	0.231
ʧ	ʎ	0.222
ʧ	k_l	0.222
ˈɔː	ˈa_w	0.211
ˈɔː	-	0.211
a	a	0.203
ˈʌ	-	0.2
ˈe	ˈe	0.2
ˈo	-	0.188
b	β	0.182
s	e_s	0.175
ɡ	ˈɔ_k	0.167
ɡ	k	0.167
z	s_e	0.167
z	s	0.167
z	lː	0.167
d	d	0.167
l	-	0.162
#>	t_#>	0.15
ˈe	-	0.133
ˈiː	ˈɛ	0.125
ˈiː	j_ˈɛ	0.125
ˈaː	-	0.118
θ	t	0.111
θ	-	0.111
ˈɛ	j_ˈɛ	0.095
e	ˈi	0.091
ˈa	ˈe_j	0.074
p	s	0.074
v	w	0.071
